[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250321 QC_AB(M1-42)_001_04.lcd
Output Date	1/27/2026
Output Time	3:50:06 PM

[File Information]
Type	Data File
Generated	3/21/2025 6:32:33 PM
Generated by	System Administrator
Modified	3/23/2025 11:52:01 AM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/21/2025 6:33:05 PM
Sample Type	0:Unknown
Level	0
Sample Name	AB(M1-42)
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A11
Injection Volume	2
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250321 QC_AB(M1-42)_001_04.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250321 QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1797683	13.28
0.517	1768263	13.06
0.533	1789181	13.22
0.550	1825540	13.49
0.567	1911248	14.12
0.583	2001573	14.79
0.600	1892089	13.98
0.617	1795245	13.26
0.633	1822057	13.46
0.650	1817684	13.43
0.667	1791475	13.24
0.683	1780048	13.15
0.700	1767696	13.06
0.717	1788031	13.21
0.733	1791562	13.24
0.750	1757273	12.98
0.767	1748732	12.92
0.783	1789732	13.22
0.800	1794275	13.26
0.817	1786532	13.20
0.833	1755061	12.97
0.850	1761852	13.02
0.867	1760514	13.01
0.883	1732519	12.80
0.900	1766089	13.05
0.917	1781904	13.17
0.933	1828356	13.51
0.950	1886437	13.94
0.967	1868528	13.81
0.983	1865972	13.79
1.000	1912446	14.13
1.017	1872261	13.83
1.033	1845247	13.63
1.050	1789819	13.22
1.067	1704369	12.59
1.083	1728293	12.77
1.100	1782526	13.17
1.117	1768989	13.07
1.133	1758049	12.99
1.150	1760421	13.01
1.167	1782508	13.17
1.183	1790395	13.23
1.200	1867764	13.80
1.217	1877956	13.87
1.233	1805232	13.34
1.250	1812456	13.39
1.267	1867461	13.80
1.283	1841732	13.61
1.300	1789849	13.22
1.317	1792819	13.25
1.333	1770431	13.08
1.350	1767880	13.06
1.367	1765579	13.04
1.383	1800509	13.30
1.400	1778927	13.14
1.417	1773689	13.10
1.433	1830937	13.53
1.450	1796705	13.27
1.467	1692774	12.51
1.483	1708789	12.63
1.500	1778968	13.14
1.517	1823945	13.48
1.533	1794002	13.25
1.550	1680848	12.42
1.567	1670862	12.34
1.583	1731184	12.79
