[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250321 QC_buffer (250319)_001_02.lcd
Output Date	1/27/2026
Output Time	3:50:07 PM

[File Information]
Type	Data File
Generated	3/21/2025 6:01:08 PM
Generated by	System Administrator
Modified	3/23/2025 11:31:48 AM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/21/2025 6:01:46 PM
Sample Type	2:Control
Level	0
Sample Name	buffer (250319)
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A12
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250321 QC_buffer (250319)_001_02.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250321 QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3531137	17.66
0.517	3405444	17.03
0.533	3271630	16.36
0.550	3199481	16.00
0.567	3175912	15.88
0.583	3076543	15.39
0.600	2891474	14.46
0.617	2769522	13.85
0.633	2787568	13.94
0.650	2847939	14.24
0.667	2909578	14.55
0.683	2930803	14.66
0.700	2791904	13.96
0.717	2547388	12.74
0.733	2486155	12.43
0.750	2574976	12.88
0.767	2565659	12.83
0.783	2466767	12.34
0.800	2643362	13.22
0.817	2940842	14.71
0.833	2799153	14.00
0.850	2583506	12.92
0.867	2506973	12.54
0.883	2580269	12.90
0.900	2745358	13.73
0.917	2635430	13.18
0.933	2554145	12.77
0.950	2571312	12.86
0.967	2502515	12.52
0.983	2486572	12.44
1.000	2616019	13.08
1.017	2831989	14.16
1.033	2930322	14.65
1.050	2830098	14.15
1.067	2649885	13.25
1.083	2888852	14.45
1.100	3164119	15.82
1.117	2897028	14.49
1.133	2676648	13.39
1.150	2741453	13.71
1.167	2694708	13.48
1.183	2566483	12.84
1.200	2519441	12.60
1.217	2568684	12.85
1.233	2545872	12.73
1.250	2494757	12.48
1.267	2657766	13.29
1.283	2844611	14.23
1.300	2696943	13.49
1.317	2441206	12.21
1.333	2536835	12.69
1.350	2731270	13.66
1.367	2695274	13.48
1.383	2653827	13.27
1.400	2691023	13.46
1.417	2606502	13.04
1.433	2512959	12.57
1.450	2537115	12.69
1.467	2591114	12.96
1.483	2565029	12.83
1.500	2540267	12.70
1.517	2496077	12.48
1.533	2358804	11.80
1.550	2293841	11.47
1.567	2354589	11.78
1.583	2461776	12.31
