[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250321 QC_clean_001_05.lcd
Output Date	1/27/2026
Output Time	3:50:07 PM

[File Information]
Type	Data File
Generated	3/21/2025 6:48:12 PM
Generated by	System Administrator
Modified	3/23/2025 11:31:49 AM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/21/2025 6:48:18 PM
Sample Type	2:Control
Level	0
Sample Name	clean
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250321 QC_clean_001_05.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250321 QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1704768	29.37
0.517	1755317	30.24
0.533	1676698	28.88
0.550	1702198	29.32
0.567	1812768	31.23
0.583	1777346	30.62
0.600	1705932	29.39
0.617	1682539	28.98
0.633	1667939	28.73
0.650	1673158	28.82
0.667	1804426	31.08
0.683	1866913	32.16
0.700	1719895	29.63
0.717	1597443	27.52
0.733	1557019	26.82
0.750	1552065	26.74
0.767	1612181	27.77
0.783	1682746	28.99
0.800	1698824	29.26
0.817	1744505	30.05
0.833	1793917	30.90
0.850	1741357	30.00
0.867	1714727	29.54
0.883	1721986	29.66
0.900	1718360	29.60
0.917	1825519	31.45
0.933	1851309	31.89
0.950	1712901	29.51
0.967	1628238	28.05
0.983	1692816	29.16
1.000	1738782	29.95
1.017	1702743	29.33
1.033	1718285	29.60
1.050	1795712	30.93
1.067	1739011	29.96
1.083	1652850	28.47
1.100	1807756	31.14
1.117	1978872	34.09
1.133	1782523	30.71
1.150	1650836	28.44
1.167	1721232	29.65
1.183	1722840	29.68
1.200	1715333	29.55
1.217	1732348	29.84
1.233	1747223	30.10
1.250	1793360	30.89
1.267	1783827	30.73
1.283	1700186	29.29
1.300	1666155	28.70
1.317	1686222	29.05
1.333	1790799	30.85
1.350	1906498	32.84
1.367	1923268	33.13
1.383	1886519	32.50
1.400	1760237	30.32
1.417	1658377	28.57
1.433	1653958	28.49
1.450	1661864	28.63
1.467	1701283	29.31
1.483	1731117	29.82
1.500	1715021	29.54
1.517	1696965	29.23
1.533	1735889	29.90
1.550	1775556	30.59
1.567	1739293	29.96
