[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250321 QC_none_001_01.lcd
Output Date	1/27/2026
Output Time	3:50:07 PM

[File Information]
Type	Data File
Generated	3/21/2025 5:44:47 PM
Generated by	System Administrator
Modified	3/23/2025 11:31:48 AM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/21/2025 5:46:00 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250321 QC_none_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250321 QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3882278	63.24
0.517	3856938	62.83
0.533	3921047	63.87
0.550	3993581	65.05
0.567	4117726	67.08
0.583	4297108	70.00
0.600	4380081	71.35
0.617	4396426	71.62
0.633	4466491	72.76
0.650	4407320	71.79
0.667	4334765	70.61
0.683	4365545	71.11
0.700	4337011	70.65
0.717	4270404	69.56
0.733	4204769	68.50
0.750	4196458	68.36
0.767	4136583	67.38
0.783	3982245	64.87
0.800	3912508	63.73
0.817	3951643	64.37
0.833	3963619	64.57
0.850	3988135	64.97
0.867	3978444	64.81
0.883	3827258	62.35
0.900	3742808	60.97
0.917	3729776	60.76
0.933	3744325	60.99
0.950	3758359	61.22
0.967	3660592	59.63
0.983	3600583	58.65
1.000	3609912	58.81
1.017	3656331	59.56
1.033	3655550	59.55
1.050	3603845	58.71
1.067	3517365	57.30
1.083	3630580	59.14
1.100	3786175	61.68
1.117	3678472	59.92
1.133	3539977	57.67
1.150	3585389	58.41
1.167	3614978	58.89
1.183	3616049	58.90
1.200	3570534	58.16
1.217	3602081	58.68
1.233	3661720	59.65
1.250	3674980	59.86
1.267	3607129	58.76
1.283	3610777	58.82
1.300	3664651	59.70
1.317	3721084	60.62
1.333	3720257	60.60
1.350	3699432	60.26
1.367	3738897	60.91
1.383	3869169	63.03
1.400	3866588	62.99
1.417	3820090	62.23
1.433	3870861	63.06
1.450	3844194	62.62
1.467	3722498	60.64
1.483	3632662	59.18
1.500	3612687	58.85
1.517	3695078	60.19
1.533	3694196	60.18
1.550	3689278	60.10
1.567	3691366	60.13
