[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_2_001_09.lcd
Output Date	1/27/2026
Output Time	3:50:08 PM

[File Information]
Type	Data File
Generated	3/23/2025 6:22:13 PM
Generated by	System Administrator
Modified	3/23/2025 6:37:52 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/23/2025 6:22:51 PM
Sample Type	0:Unknown
Level	0
Sample Name	AB(M1-42) 70deg 45.5h 0.5uM_2
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B12
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_2_001_09.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250323 sol.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2859125	11.48
0.517	2743180	11.01
0.533	2533136	10.17
0.550	2345885	9.42
0.567	2232292	8.96
0.583	2169128	8.71
0.600	2251514	9.04
0.617	2432845	9.77
0.633	2480226	9.96
0.650	2465922	9.90
0.667	2317021	9.30
0.683	2102924	8.44
0.700	2021202	8.12
0.717	2009912	8.07
0.733	1925960	7.73
0.750	1794796	7.21
0.767	1812625	7.28
0.783	1862915	7.48
0.800	1909160	7.67
0.817	1828013	7.34
0.833	1750965	7.03
0.850	1804615	7.25
0.867	1895040	7.61
0.883	1848916	7.42
0.900	1737888	6.98
0.917	1690762	6.79
0.933	1661432	6.67
0.950	1679972	6.75
0.967	1663194	6.68
0.983	1705132	6.85
1.000	1831178	7.35
1.017	1860221	7.47
1.033	1789570	7.19
1.050	1697104	6.81
1.067	1652711	6.64
1.083	1646594	6.61
1.100	1707967	6.86
1.117	1763612	7.08
1.133	1881799	7.56
1.150	1962929	7.88
1.167	1853250	7.44
1.183	1814601	7.29
1.200	1826835	7.33
1.217	1803436	7.24
1.233	1775409	7.13
1.250	1777405	7.14
1.267	1791940	7.19
1.283	1801501	7.23
1.300	1782782	7.16
1.317	1813579	7.28
1.333	1828125	7.34
1.350	1751503	7.03
1.367	1664774	6.68
1.383	1773981	7.12
1.400	1894971	7.61
1.417	1798596	7.22
1.433	1688991	6.78
1.450	1629539	6.54
1.467	1606542	6.45
1.483	1634436	6.56
1.500	1671506	6.71
1.517	1703329	6.84
1.533	1809149	7.26
1.550	1759802	7.07
1.567	1682524	6.76
1.583	1780245	7.15
1.600	2007582	8.06
1.617	1955919	7.85
1.633	1718244	6.90
1.650	1654745	6.64
1.667	1698478	6.82
