[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250323 sol_AB(M1-42) 70deg 45.5h 10uM_2_001_06.lcd
Output Date	1/27/2026
Output Time	3:50:08 PM

[File Information]
Type	Data File
Generated	3/23/2025 5:35:28 PM
Generated by	System Administrator
Modified	3/23/2025 6:16:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/23/2025 5:36:06 PM
Sample Type	0:Unknown
Level	0
Sample Name	AB(M1-42) 70deg 45.5h 10uM_2
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B10
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250323 sol_AB(M1-42) 70deg 45.5h 10uM_2_001_06.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250323 sol.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2716233	10.82
0.517	2685849	10.70
0.533	2510021	10.00
0.550	2376708	9.46
0.567	2339541	9.32
0.583	2311325	9.20
0.600	2219590	8.84
0.617	2312625	9.21
0.633	2435753	9.70
0.650	2427869	9.67
0.667	2332214	9.29
0.683	2297967	9.15
0.700	2202900	8.77
0.717	2114582	8.42
0.733	2111495	8.41
0.750	2009648	8.00
0.767	1911390	7.61
0.783	1871802	7.45
0.800	1802339	7.18
0.817	1821454	7.25
0.833	1883168	7.50
0.850	1876250	7.47
0.867	1831236	7.29
0.883	1817208	7.24
0.900	1786371	7.11
0.917	1863995	7.42
0.933	1832017	7.30
0.950	1818482	7.24
0.967	1837075	7.32
0.983	1818304	7.24
1.000	1858099	7.40
1.017	1873498	7.46
1.033	1845546	7.35
1.050	1840933	7.33
1.067	1810929	7.21
1.083	1818238	7.24
1.100	1822996	7.26
1.117	1802024	7.18
1.133	1775491	7.07
1.150	1809358	7.21
1.167	1830411	7.29
1.183	1824811	7.27
1.200	1841364	7.33
1.217	1823027	7.26
1.233	1899615	7.56
1.250	1971746	7.85
1.267	1948001	7.76
1.283	1872588	7.46
1.300	1882605	7.50
1.317	1893339	7.54
1.333	1882851	7.50
1.350	1929336	7.68
1.367	1927833	7.68
1.383	1940440	7.73
1.400	2037535	8.11
1.417	2075753	8.27
1.433	1995196	7.95
1.450	1884744	7.51
1.467	1824725	7.27
1.483	1847493	7.36
1.500	1886012	7.51
1.517	1915892	7.63
1.533	1944624	7.74
1.550	1958107	7.80
1.567	1921815	7.65
1.583	1944308	7.74
1.600	1922624	7.66
1.617	1897195	7.56
1.633	1892453	7.54
1.650	1846702	7.35
