[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250323 sol_buffer 70deg 45.5h_001_10.lcd
Output Date	1/27/2026
Output Time	3:50:09 PM

[File Information]
Type	Data File
Generated	3/23/2025 6:37:59 PM
Generated by	System Administrator
Modified	3/23/2025 6:53:39 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/23/2025 6:38:38 PM
Sample Type	0:Unknown
Level	0
Sample Name	buffer 70deg 45.5h
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C1
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250323 sol_buffer 70deg 45.5h_001_10.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250323 sol.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2649251	10.27
0.517	2522335	9.77
0.533	2422111	9.39
0.550	2429286	9.41
0.567	2352875	9.12
0.583	2118227	8.21
0.600	2001216	7.76
0.617	2084277	8.08
0.633	2227899	8.63
0.650	2305019	8.93
0.667	2165019	8.39
0.683	1985448	7.69
0.700	1843769	7.15
0.717	2141424	8.30
0.733	2534518	9.82
0.750	2151313	8.34
0.767	1690894	6.55
0.783	1638683	6.35
0.800	1646434	6.38
0.817	1657422	6.42
0.833	1704108	6.60
0.850	1721924	6.67
0.867	1663900	6.45
0.883	1652960	6.41
0.900	1643432	6.37
0.917	1635315	6.34
0.933	1602971	6.21
0.950	1570062	6.08
0.967	1606936	6.23
0.983	1646806	6.38
1.000	1641857	6.36
1.017	1710349	6.63
1.033	1738385	6.74
1.050	1637081	6.34
1.067	1615726	6.26
1.083	1708069	6.62
1.100	1650062	6.39
1.117	1559778	6.04
1.133	1528905	5.92
1.150	1574406	6.10
1.167	1608584	6.23
1.183	1606206	6.22
1.200	1581587	6.13
1.217	1601395	6.21
1.233	1682180	6.52
1.250	1736906	6.73
1.267	1698540	6.58
1.283	1610908	6.24
1.300	1556442	6.03
1.317	1617337	6.27
1.333	1681275	6.52
1.350	1668462	6.47
1.367	1616015	6.26
1.383	1585234	6.14
1.400	1616880	6.27
1.417	1641259	6.36
1.433	1597016	6.19
1.450	1621330	6.28
1.467	1665608	6.45
1.483	1659893	6.43
1.500	1659835	6.43
1.517	1591899	6.17
1.533	1579532	6.12
1.550	1593273	6.17
1.567	1566822	6.07
1.583	1580099	6.12
1.600	1589451	6.16
