[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250323 sol_clean_001_08.lcd
Output Date	1/27/2026
Output Time	3:50:09 PM

[File Information]
Type	Data File
Generated	3/23/2025 6:06:59 PM
Generated by	System Administrator
Modified	3/23/2025 6:22:06 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/23/2025 6:07:05 PM
Sample Type	2:Control
Level	0
Sample Name	clean
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250323 sol_clean_001_08.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250323 sol.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1689121	27.92
0.517	1603733	26.51
0.533	1571400	25.98
0.550	1580346	26.13
0.567	1602834	26.50
0.583	1671360	27.63
0.600	1723540	28.49
0.617	1643578	27.17
0.633	1610956	26.63
0.650	1660856	27.46
0.667	1662675	27.49
0.683	1680876	27.79
0.700	1759471	29.09
0.717	1700733	28.12
0.733	1613764	26.68
0.750	1594348	26.36
0.767	1592575	26.33
0.783	1617655	26.74
0.800	1586720	26.23
0.817	1560601	25.80
0.833	1584749	26.20
0.850	1585629	26.21
0.867	1604222	26.52
0.883	1590447	26.29
0.900	1566363	25.89
0.917	1598304	26.42
0.933	1627119	26.90
0.950	1652680	27.32
0.967	1637921	27.08
0.983	1599069	26.44
1.000	1559644	25.78
1.017	1554614	25.70
1.033	1567176	25.91
1.050	1582957	26.17
1.067	1622392	26.82
1.083	1605870	26.55
1.100	1595419	26.37
1.117	1624540	26.86
1.133	1643457	27.17
1.150	1605432	26.54
1.167	1637966	27.08
1.183	1792569	29.63
1.200	1816039	30.02
1.217	1756906	29.04
1.233	1746989	28.88
1.250	1716511	28.38
1.267	1673963	27.67
1.283	1680261	27.78
1.300	1734668	28.68
1.317	1706828	28.22
1.333	1645682	27.21
1.350	1654404	27.35
1.367	1747237	28.88
1.383	1686320	27.88
1.400	1597364	26.41
1.417	1661352	27.46
1.433	1721441	28.46
1.450	1735497	28.69
1.467	1723422	28.49
1.483	1648092	27.25
1.500	1569202	25.94
1.517	1548631	25.60
1.533	1542546	25.50
1.550	1612881	26.66
1.567	1701466	28.13
