[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_12uM_1_001_04.lcd
Output Date	1/20/2026
Output Time	10:58:02 PM

[File Information]
Type	Data File
Generated	3/28/2025 4:48:41 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 4:49:14 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_12uM_1
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_12uM_1_001_04.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1919712	9.09
0.517	1888691	8.94
0.533	1825103	8.64
0.550	1869678	8.85
0.567	1932819	9.15
0.583	1850405	8.76
0.600	1778121	8.42
0.617	1809901	8.57
0.633	1871295	8.86
0.650	1840672	8.72
0.667	1807185	8.56
0.683	1782638	8.44
0.700	1808415	8.56
0.717	1805937	8.55
0.733	1781273	8.44
0.750	1768259	8.37
0.767	1804022	8.54
0.783	1787017	8.46
0.800	1755910	8.32
0.817	1765547	8.36
0.833	1753168	8.30
0.850	1773838	8.40
0.867	1804718	8.55
0.883	1736339	8.22
0.900	1678438	7.95
0.917	1666490	7.89
0.933	1669960	7.91
0.950	1676940	7.94
0.967	1712290	8.11
0.983	1709631	8.10
1.000	1745870	8.27
1.017	1719365	8.14
1.033	1648361	7.81
1.050	1650623	7.82
1.067	1724190	8.17
1.083	1747179	8.27
1.100	1731097	8.20
1.117	1694947	8.03
1.133	1660320	7.86
1.150	1668250	7.90
1.167	1703688	8.07
1.183	1693596	8.02
1.200	1734092	8.21
1.217	1767835	8.37
1.233	1767506	8.37
1.250	1732892	8.21
1.267	1710942	8.10
1.283	1757929	8.33
1.300	1755801	8.32
1.317	1687936	7.99
1.333	1698020	8.04
1.350	1743518	8.26
1.367	1761746	8.34
1.383	1753206	8.30
1.400	1769760	8.38
1.417	1771459	8.39
1.433	1718151	8.14
1.450	1711271	8.10
1.467	1765415	8.36
1.483	1771214	8.39
1.500	1718215	8.14
1.517	1707854	8.09
1.533	1740632	8.24
1.550	1734405	8.21
1.567	1718272	8.14
1.583	1722264	8.16
1.600	1745865	8.27
1.617	1772933	8.40
