[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_12uM_2_001_07.lcd
Output Date	1/20/2026
Output Time	10:58:02 PM

[File Information]
Type	Data File
Generated	3/28/2025 5:35:44 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 5:36:18 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_12uM_2
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_12uM_2_001_07.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1507740	8.96
0.517	1513148	8.99
0.533	1529463	9.09
0.550	1553172	9.23
0.567	1553180	9.23
0.583	1569854	9.33
0.600	1580966	9.39
0.617	1582790	9.40
0.633	1549869	9.21
0.650	1503307	8.93
0.667	1504776	8.94
0.683	1538019	9.14
0.700	1604017	9.53
0.717	1652109	9.82
0.733	1623878	9.65
0.750	1588101	9.44
0.767	1599098	9.50
0.783	1585710	9.42
0.800	1571453	9.34
0.817	1544278	9.17
0.833	1532555	9.11
0.850	1577614	9.37
0.867	1564429	9.29
0.883	1583786	9.41
0.900	1639307	9.74
0.917	1606985	9.55
0.933	1573920	9.35
0.950	1562113	9.28
0.967	1544024	9.17
0.983	1550583	9.21
1.000	1529700	9.09
1.017	1501090	8.92
1.033	1534396	9.12
1.050	1580220	9.39
1.067	1563994	9.29
1.083	1507712	8.96
1.100	1478605	8.78
1.117	1509330	8.97
1.133	1523748	9.05
1.150	1474702	8.76
1.167	1478902	8.79
1.183	1553823	9.23
1.200	1552377	9.22
1.217	1556446	9.25
1.233	1575977	9.36
1.250	1583693	9.41
1.267	1579197	9.38
1.283	1573313	9.35
1.300	1612522	9.58
1.317	1596091	9.48
1.333	1569916	9.33
1.350	1579957	9.39
1.367	1552664	9.22
1.383	1558523	9.26
1.400	1577947	9.37
1.417	1548045	9.20
1.433	1521020	9.04
1.450	1545145	9.18
1.467	1567537	9.31
1.483	1598135	9.49
1.500	1612681	9.58
1.517	1598118	9.49
1.533	1599236	9.50
1.550	1552220	9.22
1.567	1530223	9.09
1.583	1605979	9.54
1.600	1632217	9.70
1.617	1590238	9.45
