[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_1_001_03.lcd
Output Date	1/20/2026
Output Time	10:58:02 PM

[File Information]
Type	Data File
Generated	3/28/2025 4:32:59 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 4:33:33 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_25uM_1
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_1_001_03.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1461818	7.84
0.517	1381150	7.41
0.533	1360258	7.30
0.550	1350772	7.25
0.567	1344141	7.21
0.583	1354963	7.27
0.600	1321031	7.09
0.617	1278050	6.86
0.633	1266782	6.80
0.650	1225305	6.58
0.667	1174017	6.30
0.683	1208704	6.49
0.700	1249363	6.70
0.717	1242152	6.67
0.733	1223630	6.57
0.750	1263271	6.78
0.767	1243706	6.67
0.783	1244873	6.68
0.800	1266006	6.79
0.817	1237584	6.64
0.833	1215665	6.52
0.850	1224526	6.57
0.867	1232739	6.62
0.883	1209512	6.49
0.900	1172511	6.29
0.917	1190216	6.39
0.933	1228104	6.59
0.950	1243220	6.67
0.967	1269124	6.81
0.983	1272020	6.83
1.000	1276460	6.85
1.017	1247958	6.70
1.033	1224082	6.57
1.050	1198585	6.43
1.067	1138981	6.11
1.083	1165619	6.25
1.100	1177029	6.32
1.117	1209188	6.49
1.133	1209990	6.49
1.150	1197298	6.42
1.167	1220702	6.55
1.183	1232462	6.61
1.200	1155721	6.20
1.217	1142750	6.13
1.233	1197956	6.43
1.250	1189894	6.39
1.267	1205937	6.47
1.283	1199865	6.44
1.300	1157756	6.21
1.317	1179069	6.33
1.333	1242878	6.67
1.350	1297904	6.96
1.367	1268164	6.81
1.383	1224909	6.57
1.400	1211864	6.50
1.417	1232811	6.62
1.433	1254441	6.73
1.450	1274535	6.84
1.467	1273678	6.83
1.483	1275859	6.85
1.500	1344398	7.21
1.517	1436731	7.71
1.533	1437595	7.71
1.550	1410155	7.57
1.567	1385285	7.43
1.583	1385546	7.44
1.600	1424759	7.65
1.617	1376184	7.38
