[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_2_001_06.lcd
Output Date	1/20/2026
Output Time	10:58:01 PM

[File Information]
Type	Data File
Generated	3/28/2025 5:20:03 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 5:20:36 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_25uM_2
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_2_001_06.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1714763	7.35
0.517	1712800	7.34
0.533	1719861	7.37
0.550	1694938	7.27
0.567	1648919	7.07
0.583	1646166	7.06
0.600	1691138	7.25
0.617	1710036	7.33
0.633	1734244	7.43
0.650	1682221	7.21
0.667	1617573	6.93
0.683	1653999	7.09
0.700	1707054	7.32
0.717	1694526	7.26
0.733	1693074	7.26
0.750	1704824	7.31
0.767	1659363	7.11
0.783	1678253	7.19
0.800	1692409	7.26
0.817	1689351	7.24
0.833	1666851	7.15
0.850	1683887	7.22
0.867	1673453	7.17
0.883	1668474	7.15
0.900	1687967	7.24
0.917	1679246	7.20
0.933	1694198	7.26
0.950	1689008	7.24
0.967	1659346	7.11
0.983	1652399	7.08
1.000	1653839	7.09
1.017	1645902	7.06
1.033	1670868	7.16
1.050	1666196	7.14
1.067	1641474	7.04
1.083	1667103	7.15
1.100	1715657	7.35
1.117	1738289	7.45
1.133	1719700	7.37
1.150	1708540	7.32
1.167	1677850	7.19
1.183	1617191	6.93
1.200	1593063	6.83
1.217	1612052	6.91
1.233	1614606	6.92
1.250	1650632	7.08
1.267	1666347	7.14
1.283	1652971	7.09
1.300	1644444	7.05
1.317	1669957	7.16
1.333	1690926	7.25
1.350	1646583	7.06
1.367	1616122	6.93
1.383	1609792	6.90
1.400	1641246	7.04
1.417	1708698	7.33
1.433	1720646	7.38
1.450	1665417	7.14
1.467	1643327	7.04
1.483	1674526	7.18
1.500	1703739	7.30
1.517	1667751	7.15
1.533	1628707	6.98
1.550	1639910	7.03
1.567	1644053	7.05
1.583	1646615	7.06
1.600	1647124	7.06
1.617	1649715	7.07
