[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_3_001_09.lcd
Output Date	1/20/2026
Output Time	10:58:01 PM

[File Information]
Type	Data File
Generated	3/28/2025 6:07:05 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 6:07:40 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_25uM_3
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	H7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_25uM_3_001_09.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1530086	8.13
0.517	1491528	7.93
0.533	1478971	7.86
0.550	1484776	7.89
0.567	1446298	7.69
0.583	1434565	7.63
0.600	1484430	7.89
0.617	1533230	8.15
0.633	1517887	8.07
0.650	1481641	7.88
0.667	1439947	7.65
0.683	1443077	7.67
0.700	1491237	7.93
0.717	1523923	8.10
0.733	1527687	8.12
0.750	1499334	7.97
0.767	1529333	8.13
0.783	1577377	8.39
0.800	1550938	8.24
0.817	1535249	8.16
0.833	1526327	8.11
0.850	1525539	8.11
0.867	1573912	8.37
0.883	1551166	8.25
0.900	1515229	8.05
0.917	1542179	8.20
0.933	1485407	7.90
0.950	1406751	7.48
0.967	1417112	7.53
0.983	1458223	7.75
1.000	1469588	7.81
1.017	1515747	8.06
1.033	1533546	8.15
1.050	1515590	8.06
1.067	1512917	8.04
1.083	1511052	8.03
1.100	1515465	8.06
1.117	1556863	8.28
1.133	1597468	8.49
1.150	1576388	8.38
1.167	1531602	8.14
1.183	1504166	8.00
1.200	1468467	7.81
1.217	1512221	8.04
1.233	1543319	8.20
1.250	1542605	8.20
1.267	1610929	8.56
1.283	1637459	8.70
1.300	1550140	8.24
1.317	1514941	8.05
1.333	1528226	8.12
1.350	1505518	8.00
1.367	1480735	7.87
1.383	1535142	8.16
1.400	1533458	8.15
1.417	1495273	7.95
1.433	1500402	7.98
1.450	1520657	8.08
1.467	1525609	8.11
1.483	1534357	8.16
1.500	1557870	8.28
1.517	1527610	8.12
1.533	1493804	7.94
1.550	1504746	8.00
1.567	1512379	8.04
1.583	1515308	8.06
1.600	1511319	8.03
1.617	1525244	8.11
