[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_1_001_01.lcd
Output Date	1/20/2026
Output Time	10:58:01 PM

[File Information]
Type	Data File
Generated	3/28/2025 4:01:38 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 4:02:10 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_50uM_1
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A7
Injection Volume	2
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_1_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1720049	17.24
0.517	1724703	17.29
0.533	1711196	17.15
0.550	1703959	17.08
0.567	1754273	17.58
0.583	1717905	17.22
0.600	1833687	18.38
0.617	2038357	20.43
0.633	1827181	18.32
0.650	1666701	16.71
0.667	1647401	16.51
0.683	1645239	16.49
0.700	1647659	16.52
0.717	1661356	16.65
0.733	1691272	16.95
0.750	1674915	16.79
0.767	1690938	16.95
0.783	1718521	17.23
0.800	1740901	17.45
0.817	1706598	17.11
0.833	1674469	16.79
0.850	1717953	17.22
0.867	1729942	17.34
0.883	1673446	16.77
0.900	1633325	16.37
0.917	1676026	16.80
0.933	1713348	17.17
0.950	1632199	16.36
0.967	1575443	15.79
0.983	1576581	15.80
1.000	1621242	16.25
1.017	1622822	16.27
1.033	1673975	16.78
1.050	1645072	16.49
1.067	1602781	16.07
1.083	1647862	16.52
1.100	1656029	16.60
1.117	1648698	16.53
1.133	1650745	16.55
1.150	1663237	16.67
1.167	1651366	16.55
1.183	1666584	16.71
1.200	1644089	16.48
1.217	1614385	16.18
1.233	1660383	16.64
1.250	1642944	16.47
1.267	1637303	16.41
1.283	1651567	16.56
1.300	1665732	16.70
1.317	1700257	17.04
1.333	1719879	17.24
1.350	1732624	17.37
1.367	1728813	17.33
1.383	1657530	16.62
1.400	1603459	16.07
1.417	1605781	16.10
1.433	1667931	16.72
1.450	1731437	17.36
1.467	1672654	16.77
1.483	1624246	16.28
1.500	1592022	15.96
1.517	1604930	16.09
1.533	1684231	16.88
1.550	1657386	16.61
1.567	1648403	16.52
1.583	1611369	16.15
1.600	1559695	15.63
1.617	1558661	15.62
