[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_2_001_05.lcd
Output Date	1/20/2026
Output Time	10:58:00 PM

[File Information]
Type	Data File
Generated	3/28/2025 5:04:22 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 5:04:56 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_50uM_2
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_2_001_05.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1731158	9.99
0.517	1674896	9.66
0.533	1643772	9.48
0.550	1619582	9.34
0.567	1601355	9.24
0.583	1573719	9.08
0.600	1600781	9.24
0.617	1628281	9.40
0.633	1630962	9.41
0.650	1621184	9.35
0.667	1633005	9.42
0.683	1619572	9.34
0.700	1602950	9.25
0.717	1609916	9.29
0.733	1593527	9.19
0.750	1574894	9.09
0.767	1579156	9.11
0.783	1567888	9.05
0.800	1540963	8.89
0.817	1538876	8.88
0.833	1550178	8.94
0.850	1539433	8.88
0.867	1572476	9.07
0.883	1620692	9.35
0.900	1598323	9.22
0.917	1571292	9.07
0.933	1584787	9.14
0.950	1582864	9.13
0.967	1547571	8.93
0.983	1549036	8.94
1.000	1570935	9.06
1.017	1585465	9.15
1.033	1617979	9.34
1.050	1618740	9.34
1.067	1546886	8.93
1.083	1563358	9.02
1.100	1602131	9.24
1.117	1567203	9.04
1.133	1553627	8.96
1.150	1579168	9.11
1.167	1578214	9.11
1.183	1580133	9.12
1.200	1604505	9.26
1.217	1584703	9.14
1.233	1553836	8.97
1.250	1570477	9.06
1.267	1585007	9.15
1.283	1593846	9.20
1.300	1553493	8.96
1.317	1542853	8.90
1.333	1577663	9.10
1.350	1607376	9.27
1.367	1622643	9.36
1.383	1660671	9.58
1.400	1611744	9.30
1.417	1594393	9.20
1.433	1626648	9.39
1.450	1646948	9.50
1.467	1621560	9.36
1.483	1590943	9.18
1.500	1578177	9.11
1.517	1598642	9.22
1.533	1613316	9.31
1.550	1586616	9.15
1.567	1567894	9.05
1.583	1558836	8.99
1.600	1550751	8.95
1.617	1574734	9.09
