[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_3_001_08.lcd
Output Date	1/20/2026
Output Time	10:58:00 PM

[File Information]
Type	Data File
Generated	3/28/2025 5:51:26 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 5:52:00 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_50uM_3
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	G7
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_50uM_3_001_08.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1659643	10.44
0.517	1618824	10.18
0.533	1533607	9.64
0.550	1498441	9.42
0.567	1571628	9.88
0.583	1616686	10.17
0.600	1588212	9.99
0.617	1551034	9.75
0.633	1607744	10.11
0.650	1603639	10.08
0.667	1556481	9.79
0.683	1572776	9.89
0.700	1619895	10.19
0.717	1573763	9.90
0.733	1527115	9.60
0.750	1585048	9.97
0.767	1611154	10.13
0.783	1617883	10.17
0.800	1583009	9.95
0.817	1569337	9.87
0.833	1595294	10.03
0.850	1592709	10.01
0.867	1563881	9.83
0.883	1627841	10.24
0.900	1692926	10.65
0.917	1608167	10.11
0.933	1549986	9.75
0.950	1528359	9.61
0.967	1548247	9.74
0.983	1551748	9.76
1.000	1492609	9.39
1.017	1473176	9.26
1.033	1520928	9.56
1.050	1564014	9.83
1.067	1544709	9.71
1.083	1531350	9.63
1.100	1596424	10.04
1.117	1598697	10.05
1.133	1619521	10.18
1.150	1645488	10.35
1.167	1632467	10.26
1.183	1608201	10.11
1.200	1617275	10.17
1.217	1604116	10.09
1.233	1582965	9.95
1.250	1607926	10.11
1.267	1575067	9.90
1.283	1555664	9.78
1.300	1548013	9.73
1.317	1577083	9.92
1.333	1594659	10.03
1.350	1560463	9.81
1.367	1550802	9.75
1.383	1578347	9.92
1.400	1598576	10.05
1.417	1608495	10.11
1.433	1604084	10.09
1.450	1559832	9.81
1.467	1558194	9.80
1.483	1585500	9.97
1.500	1599510	10.06
1.517	1612161	10.14
1.533	1607882	10.11
1.550	1597929	10.05
1.567	1564436	9.84
1.583	1583642	9.96
1.600	1590400	10.00
1.617	1576126	9.91
