[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_5deg_B_001_11.lcd
Output Date	1/20/2026
Output Time	10:58:00 PM

[File Information]
Type	Data File
Generated	3/28/2025 6:38:29 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:09 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 6:39:02 PM
Sample Type	0:Unknown
Level	0
Sample Name	5deg_B
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B8
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_5deg_B_001_11.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1648087	8.25
0.517	1605167	8.03
0.533	1557964	7.79
0.550	1576517	7.89
0.567	1549601	7.75
0.583	1505549	7.53
0.600	1482886	7.42
0.617	1457314	7.29
0.633	1444924	7.23
0.650	1475417	7.38
0.667	1525809	7.63
0.683	1562384	7.82
0.700	1490358	7.46
0.717	1512814	7.57
0.733	1540475	7.71
0.750	1519791	7.60
0.767	1485069	7.43
0.783	1492211	7.47
0.800	1508374	7.55
0.817	1588198	7.95
0.833	1606198	8.04
0.850	1561599	7.81
0.867	1476122	7.39
0.883	1489119	7.45
0.900	1490797	7.46
0.917	1501062	7.51
0.933	1526706	7.64
0.950	1533847	7.67
0.967	1526058	7.64
0.983	1526909	7.64
1.000	1496826	7.49
1.017	1461534	7.31
1.033	1470824	7.36
1.050	1477955	7.39
1.067	1475222	7.38
1.083	1479882	7.40
1.100	1464609	7.33
1.117	1451844	7.26
1.133	1480112	7.41
1.150	1452131	7.27
1.167	1454029	7.27
1.183	1496522	7.49
1.200	1497847	7.49
1.217	1473101	7.37
1.233	1474040	7.38
1.250	1457133	7.29
1.267	1416261	7.09
1.283	1407023	7.04
1.300	1472720	7.37
1.317	1564978	7.83
1.333	1562473	7.82
1.350	1468064	7.35
1.367	1414354	7.08
1.383	1439728	7.20
1.400	1466281	7.34
1.417	1504780	7.53
1.433	1522852	7.62
1.450	1478899	7.40
1.467	1435336	7.18
1.483	1478397	7.40
1.500	1479655	7.40
1.517	1460634	7.31
1.533	1463781	7.32
1.550	1464576	7.33
1.567	1446949	7.24
1.583	1463480	7.32
1.600	1466995	7.34
