[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_clean_001_12.lcd
Output Date	1/20/2026
Output Time	10:58:00 PM

[File Information]
Type	Data File
Generated	3/28/2025 6:54:10 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:08 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 6:54:15 PM
Sample Type	2:Control
Level	0
Sample Name	clean
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_clean_001_12.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	1433093	28.55
0.517	1497857	29.84
0.533	1491174	29.71
0.550	1453027	28.95
0.567	1425592	28.40
0.583	1438730	28.67
0.600	1459844	29.09
0.617	1402719	27.95
0.633	1387920	27.65
0.650	1463469	29.16
0.667	1476101	29.41
0.683	1417453	28.24
0.700	1416529	28.22
0.717	1467469	29.24
0.733	1484328	29.58
0.750	1459859	29.09
0.767	1442021	28.73
0.783	1411343	28.12
0.800	1453577	28.96
0.817	1520268	30.29
0.833	1576820	31.42
0.850	1572847	31.34
0.867	1566887	31.22
0.883	1553292	30.95
0.900	1531055	30.51
0.917	1491460	29.72
0.933	1492682	29.74
0.950	1504077	29.97
0.967	1472492	29.34
0.983	1411068	28.12
1.000	1402803	27.95
1.017	1440350	28.70
1.033	1461340	29.12
1.050	1441211	28.72
1.067	1437178	28.64
1.083	1438542	28.66
1.100	1470704	29.30
1.117	1504690	29.98
1.133	1472166	29.33
1.150	1462900	29.15
1.167	1545311	30.79
1.183	1594787	31.78
1.200	1557286	31.03
1.217	1507024	30.03
1.233	1435981	28.61
1.250	1446739	28.83
1.267	1494582	29.78
1.283	1494072	29.77
1.300	1491667	29.72
1.317	1520715	30.30
1.333	1482523	29.54
1.350	1474536	29.38
1.367	1434788	28.59
1.383	1442178	28.74
1.400	1461397	29.12
1.417	1495028	29.79
1.433	1572452	31.33
1.450	1550396	30.89
1.467	1520466	30.30
1.483	1483861	29.57
1.500	1426025	28.41
1.517	1454751	28.99
1.533	1480241	29.49
1.550	1479519	29.48
1.567	1514433	30.18
1.583	1502293	29.93
