[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\250328 4d sol_none_001_01.lcd
Output Date	1/20/2026
Output Time	10:57:59 PM

[File Information]
Type	Data File
Generated	3/28/2025 3:40:18 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:08 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	3/28/2025 3:41:26 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\250328 4d sol_none_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\250328 4d sol.lcb
Report Format File	C:\LabSolutions\Data\Max\Max_test_report.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4710780	83.99
0.517	4667255	83.21
0.533	4545317	81.04
0.550	4483775	79.94
0.567	4509573	80.40
0.583	4547509	81.07
0.600	4694933	83.70
0.617	4874530	86.91
0.633	4870454	86.83
0.650	4799729	85.57
0.667	4774396	85.12
0.683	4658809	83.06
0.700	4583154	81.71
0.717	4622662	82.41
0.733	4708578	83.95
0.750	4657866	83.04
0.767	4561716	81.33
0.783	4568130	81.44
0.800	4634315	82.62
0.817	4688397	83.59
0.833	4629693	82.54
0.850	4508757	80.38
0.867	4503872	80.30
0.883	4491529	80.08
0.900	4426597	78.92
0.917	4441053	79.18
0.933	4439191	79.14
0.950	4363411	77.79
0.967	4377880	78.05
0.983	4364062	77.80
1.000	4286552	76.42
1.017	4371840	77.94
1.033	4501412	80.25
1.050	4454645	79.42
1.067	4280173	76.31
1.083	4196937	74.82
1.100	4237326	75.54
1.117	4214653	75.14
1.133	4104260	73.17
1.150	4060774	72.40
1.167	4087531	72.87
1.183	4040802	72.04
1.200	4036086	71.96
1.217	4081128	72.76
1.233	4048727	72.18
1.250	3975065	70.87
1.267	3945308	70.34
1.283	3974537	70.86
1.300	4021006	71.69
1.317	4078993	72.72
1.333	3933796	70.13
1.350	3777570	67.35
1.367	3783471	67.45
1.383	3837993	68.43
1.400	3942172	70.28
1.417	3997306	71.27
1.433	3989618	71.13
1.450	3994410	71.21
1.467	3925975	69.99
1.483	4034256	71.92
1.500	4171811	74.38
1.517	4133909	73.70
1.533	4067064	72.51
1.550	4097807	73.06
1.567	4089928	72.92
