wavelength / nm	10	10	22	22	37	37	60	60	80	80	10 av	22 av	37 av	60 av	80 av
250.00	0.00060890	0.0070731	0.0099553	-0.012743	0.027432	0.0065460	-0.014712	0.010703	-0.0021426	0.013183	0.0038410	-0.0013937	0.016989	-0.0020045	0.0055203
249.00	-0.0031607	-0.00022075	-0.030171	-0.010650	-0.015151	-0.016540	-0.018006	-0.012801	-0.0084430	-0.013248	-0.0016907	-0.020410	-0.015845	-0.015403	-0.010845
248.00	-0.0045450	-0.0091364	-0.056678	-0.041876	-0.049079	-0.050469	-0.039291	-0.051273	-0.030417	-0.036232	-0.0068407	-0.049277	-0.049774	-0.045282	-0.033324
247.00	-0.022800	-0.022551	-0.080046	-0.065727	-0.061881	-0.060774	-0.077219	-0.068669	-0.044460	-0.060296	-0.022675	-0.072886	-0.061328	-0.072944	-0.052378
246.00	-0.042576	-0.044319	-0.10262	-0.094785	-0.10808	-0.10504	-0.089745	-0.10451	-0.043072	-0.072433	-0.043447	-0.098702	-0.10656	-0.097129	-0.057753
245.00	-0.065969	-0.076991	-0.13580	-0.13786	-0.19196	-0.14565	-0.12902	-0.12084	-0.054533	-0.11615	-0.071480	-0.13683	-0.16881	-0.12493	-0.085344
244.00	-0.096129	-0.10707	-0.19339	-0.20805	-0.24594	-0.20012	-0.16916	-0.15490	-0.090990	-0.15131	-0.10160	-0.20072	-0.22303	-0.16203	-0.12115
243.00	-0.13371	-0.14477	-0.27149	-0.27822	-0.32023	-0.28057	-0.23338	-0.21464	-0.091290	-0.17777	-0.13924	-0.27485	-0.30040	-0.22401	-0.13453
242.00	-0.18270	-0.19783	-0.38412	-0.36236	-0.42761	-0.40940	-0.30237	-0.30938	-0.12050	-0.21065	-0.19026	-0.37324	-0.41851	-0.30588	-0.16558
241.00	-0.23720	-0.25487	-0.51868	-0.46832	-0.58493	-0.54750	-0.39846	-0.40255	-0.15732	-0.24648	-0.24604	-0.49350	-0.56622	-0.40051	-0.20190
240.00	-0.30281	-0.33092	-0.70426	-0.64276	-0.74292	-0.72027	-0.50762	-0.51423	-0.20651	-0.30747	-0.31687	-0.67351	-0.73160	-0.51092	-0.25699
239.00	-0.37821	-0.41253	-0.90727	-0.82504	-0.95270	-0.93240	-0.65509	-0.63587	-0.26887	-0.37429	-0.39537	-0.86615	-0.94255	-0.64548	-0.32158
238.00	-0.46574	-0.50815	-1.1682	-1.0451	-1.1979	-1.1842	-0.82109	-0.79475	-0.34593	-0.46663	-0.48694	-1.1066	-1.1911	-0.80792	-0.40628
237.00	-0.55743	-0.61729	-1.4733	-1.3065	-1.4960	-1.4610	-1.0288	-0.96862	-0.44119	-0.56624	-0.58736	-1.3899	-1.4785	-0.99871	-0.50372
236.00	-0.66398	-0.75820	-1.8135	-1.5953	-1.8333	-1.7968	-1.2581	-1.2395	-0.55836	-0.70065	-0.71109	-1.7044	-1.8151	-1.2488	-0.62951
235.00	-0.78035	-0.90446	-2.1769	-1.9145	-2.2293	-2.1668	-1.5218	-1.4947	-0.66480	-0.82998	-0.84241	-2.0457	-2.1981	-1.5082	-0.74739
234.00	-0.92488	-1.0802	-2.5973	-2.2732	-2.6679	-2.5904	-1.7954	-1.7576	-0.79751	-0.96709	-1.0025	-2.4353	-2.6292	-1.7765	-0.88230
