wavelength/nm	10	10	22	22	37	37	60	60	80	10 av	22 av	37 av	60 av	80 av
250.00	0.015048	0.012976	0.016437	0.025402	0.0092700	0.012000	0.013090	0.015433	0.021555	0.014012	0.020920	0.010635	0.014262	0.021555
249.00	-0.0010835	-0.0094020	0.0029160	0.0063820	-0.0055900	-0.0045400	0.00018000	-0.0029310	0.0035950	-0.0052427	0.0046490	-0.0050650	-0.0013755	0.0035950
248.00	-0.022953	-0.034719	-0.025184	-0.048332	-0.028370	-0.013370	-0.010370	-0.036782	-0.014243	-0.028836	-0.036758	-0.020870	-0.023576	-0.014243
247.00	-0.051352	-0.067859	-0.072061	-0.041300	-0.062620	-0.011410	-0.036030	-0.052248	-0.051745	-0.059606	-0.056680	-0.037015	-0.044139	-0.051745
246.00	-0.070949	-0.10282	-0.099794	-0.069198	-0.090830	-0.081300	-0.042720	-0.11304	-0.051205	-0.086882	-0.084496	-0.086065	-0.077882	-0.051205
245.00	-0.11146	-0.12755	-0.16751	-0.083876	-0.13774	-0.14422	-0.068520	-0.10790	-0.065805	-0.11951	-0.12569	-0.14098	-0.088211	-0.065805
244.00	-0.15070	-0.19171	-0.23460	-0.11035	-0.19602	-0.20621	-0.090500	-0.15571	-0.098022	-0.17120	-0.17248	-0.20112	-0.12311	-0.098022
243.00	-0.20722	-0.25501	-0.31869	-0.15871	-0.27472	-0.29669	-0.13465	-0.19883	-0.10975	-0.23112	-0.23870	-0.28571	-0.16674	-0.10975
242.00	-0.27458	-0.33043	-0.40968	-0.21681	-0.39112	-0.40301	-0.19679	-0.26458	-0.13659	-0.30251	-0.31324	-0.39707	-0.23068	-0.13659
241.00	-0.36140	-0.42477	-0.54812	-0.29453	-0.53678	-0.50729	-0.26040	-0.30312	-0.17770	-0.39308	-0.42132	-0.52203	-0.28176	-0.17770
240.00	-0.45954	-0.54302	-0.68157	-0.44073	-0.70354	-0.64490	-0.35140	-0.37220	-0.24156	-0.50128	-0.56115	-0.67422	-0.36180	-0.24156
239.00	-0.58862	-0.65306	-0.85142	-0.59492	-0.90746	-0.83567	-0.45314	-0.49890	-0.30684	-0.62084	-0.72317	-0.87156	-0.47602	-0.30684
238.00	-0.74038	-0.78192	-1.0869	-0.77516	-1.1782	-1.0612	-0.57761	-0.63245	-0.37263	-0.76115	-0.93102	-1.1197	-0.60503	-0.37263
237.00	-0.91396	-0.95087	-1.3679	-1.0159	-1.4650	-1.3417	-0.75221	-0.75478	-0.44797	-0.93241	-1.1919	-1.4034	-0.75350	-0.44797
236.00	-1.1298	-1.1497	-1.6739	-1.2747	-1.8087	-1.6576	-0.95805	-0.96770	-0.53787	-1.1397	-1.4743	-1.7331	-0.96287	-0.53787
235.00	-1.3638	-1.3677	-2.0064	-1.5644	-2.2027	-2.0252	-1.1778	-1.1974	-0.61340	-1.3658	-1.7854	-2.1139	-1.1876	-0.61340
234.00	-1.6442	-1.6705	-2.4064	-1.9054	-2.6468	-2.4718	-1.4199	-1.3971	-0.70484	-1.6573	-2.1559	-2.5593	-1.4085	-0.70484
233.00	-1.9477	-1.9878	-2.8220	-2.2565	-3.1230	-2.9278	-1.7082	-1.6904	-0.82004	-1.9678	-2.5392	-3.0254	-1.6993	-0.82004
232.00	-2.2847	-2.3644	-3.2454	-2.6397	-3.6526	-3.3914	-1.9612	-1.9451	-0.95274	-2.3245	-2.9425	-3.5220	-1.9532	-0.95274
231.00	-2.6699	-2.7359	-3.7301	-3.0264	-4.2226	-3.8978	-2.2446	-2.2674	-1.1070	-2.7029	-3.3783	-4.0602	-2.2560	-1.1070
