wavelength / nm	10oC	20oC	30oC	40oC	50oC	60oC	70oC	80oC	10oC again	bas10	bas30	bas50	bas80	basmv	10	20	30	40	50	60	70	80	10again
250.00	1.3110	1.1264	0.84723	1.0994	1.0848	0.67232	0.44207	0.55984	0.84067	1.1402	1.1227	1.1158	1.1641	1.1357	0.20873	-0.011065	-0.34340	-0.043256	-0.060542	-0.55163	-0.82573	-0.68553	-0.35121
249.00	1.2880	1.1204	0.82958	1.1250	1.1098	0.75509	0.51865	0.53241	0.82233	1.1472	1.1295	1.1272	1.0964	1.1251	0.19390	-0.0055536	-0.35178	-4.1667e-05	-0.018208	-0.44046	-0.72193	-0.70555	-0.36041
248.00	1.2919	1.1061	0.84102	1.1088	1.1271	0.79687	0.56878	0.48822	0.79561	1.1644	1.1258	1.1332	1.0293	1.1132	0.21278	-0.0084554	-0.32396	-0.0051458	0.016640	-0.37653	-0.64806	-0.74396	-0.37802
247.00	1.2681	1.0749	0.83219	1.0947	1.1086	0.81438	0.57160	0.42641	0.75860	1.1915	1.1147	1.1421	0.96266	1.1027	0.19683	-0.033196	-0.32209	-0.0095411	0.0069232	-0.34329	-0.63231	-0.80516	-0.40970
246.00	1.2348	1.0735	0.81415	1.0185	1.0609	0.78951	0.54587	0.37150	0.69796	1.1749	1.1114	1.1084	0.91014	1.0762	0.18880	-0.0032271	-0.31196	-0.068656	-0.018203	-0.34130	-0.63135	-0.83893	-0.45029
245.00	1.1669	1.0347	0.76007	0.96028	0.99105	0.76016	0.50363	0.30175	0.65023	1.1686	1.0824	1.0852	0.83198	1.0420	0.14870	-0.0087071	-0.33567	-0.097321	-0.060693	-0.33557	-0.64095	-0.88129	-0.46643
244.00	1.1115	0.97504	0.69216	0.90214	0.94916	0.69363	0.43131	0.17742	0.58028	1.1559	1.0651	1.0867	0.79851	1.0265	0.10119	-0.061310	-0.39808	-0.14810	-0.092125	-0.39633	-0.70862	-1.0109	-0.53127
243.00	1.0617	0.92936	0.61594	0.80690	0.86206	0.58837	0.29681	0.019665	0.49935	1.1466	1.0771	1.0668	0.78357	1.0185	0.051391	-0.10615	-0.47926	-0.25194	-0.18626	-0.51209	-0.85918	-1.1891	-0.61806
242.00	0.95671	0.87192	0.52983	0.66712	0.70590	0.44015	0.17248	-0.11611	0.37332	1.1318	1.0608	1.0578	0.74925	0.99988	-0.051395	-0.15233	-0.55958	-0.39614	-0.34998	-0.66635	-0.98500	-1.3286	-0.74591
241.00	0.85023	0.79039	0.42906	0.55074	0.58614	0.31181	0.0014594	-0.27548	0.26579	1.1196	1.0310	1.0466	0.73021	0.98186	-0.15671	-0.22794	-0.65810	-0.51325	-0.47110	-0.79768	-1.1671	-1.4968	-0.85247
240.00	0.75643	0.68029	0.29631	0.42147	0.45102	0.14206	-0.19106	-0.45519	0.15097	1.1180	1.0270	1.0300	0.71205	0.97175	-0.25633	-0.34698	-0.80410	-0.65509	-0.61991	-0.98772	-1.3843	-1.6987	-0.97711
239.00	0.66129	0.55706	0.15035	0.24895	0.27334	-0.054837	-0.37733	-0.65241	0.019764	1.1252	1.0169	1.0076	0.73901	0.97216	-0.37008	-0.49416	-0.97835	-0.86097	-0.83193	-1.2226	-1.6065	-1.9340	-1.1338
238.00	0.50906	0.41116	-0.0019441	0.069605	0.089073	-0.23259	-0.60388	-0.90022	-0.11301	1.1477	0.98800	0.95311	0.72918	0.95450	-0.53029	-0.64683	-1.1386	-1.0534	-1.0303	-1.4132	-1.8552	-2.2080	-1.2708
237.00	0.36783	0.24027	-0.19844	-0.096364	-0.093973	-0.46881	-0.84978	-1.1328	-0.24149	1.1277	0.97916	0.93937	0.71067	0.93922	-0.68022	-0.83208	-1.3544	-1.2328	-1.2300	-1.6762	-2.1298	-2.4667	-1.4056
236.00	0.24444	0.055092	-0.41706	-0.32325	-0.30294	-0.72581	-1.1054	-1.4198	-0.40552	1.1352	0.97692	0.90142	0.75352	0.94176	-0.83014	-1.0556	-1.6176	-1.5060	-1.4818	-1.9852	-2.4371	-2.8113	-1.6039
235.00	0.088884	-0.12828	-0.58969	-0.54928	-0.51318	-0.98353	-1.3667	-1.7190	-0.57659	1.1235	0.97297	0.88346	0.72873	0.92715	-0.99794	-1.2565	-1.8058	-1.7577	-1.7147	-2.2746	-2.7308	-3.1502	-1.7902
234.00	-0.070912	-0.33582	-0.76750	-0.76805	-0.74008	-1.2296	-1.6614	-2.0016	-0.75105	1.0915	0.97029	0.87154	0.73319	0.91663	-1.1756	-1.4910	-2.0049	-2.0056	-1.9723	-2.5550	-3.0691	-3.4740	-1.9853
233.00	-0.24234	-0.54044	-1.0083	-0.99026	-1.0029	-1.5000	-1.9368	-2.2692	-0.92907	1.0521	0.94607	0.88948	0.72778	0.90384	-1.3645	-1.7194	-2.2764	-2.2549	-2.2700	-2.8617	-3.3817	-3.7775	-2.1820
232.00	-0.37207	-0.70401	-1.1757	-1.2204	-1.2812	-1.7320	-2.1953	-2.5503	-1.1330	1.0108	0.95732	0.89837	0.72072	0.89680	-1.5106	-1.9057	-2.4673	-2.5205	-2.5928	-3.1295	-3.6811	-4.1037	-2.4164
231.00	-0.50575	-0.87111	-1.3621	-1.4320	-1.5590	-1.9964	-2.4507	-2.7960	-1.3034	1.0178	0.97384	0.88903	0.70658	0.89680	-1.6697	-2.1047	-2.6891	-2.7724	-2.9236	-3.4442	-3.9851	-4.3962	-2.6193
230.00	-0.63176	-1.0165	-1.6096	-1.6342	-1.7728	-2.2414	-2.7258	-3.0509	-1.4798	1.0093	0.94713	0.90285	0.70141	0.89018	-1.8118	-2.2698	-2.9759	-3.0052	-3.1703	-3.7281	-4.3047	-4.6917	-2.8214
229.00	-0.71537	-1.1440	-1.7963	-1.8154	-1.9891	-2.4761	-3.0036	-3.3198	-1.6491	1.0266	0.94115	0.92100	0.69177	0.89514	-1.9173	-2.4276	-3.2041	-3.2268	-3.4336	-4.0133	-4.6413	-5.0178	-3.0288
