pH	RALS
8.51	2127.203
8.41	2188.855
8.31	2183.014
8.21	2056.815
8.12	2137.039
8.01	2005.029
7.91	1865.642
7.81	1849.447
7.71	1870.921
7.62	1888.097
7.53	1918.214
7.46	1847.65
7.39	1935.936
7.34	1843.578
7.28	1907.669
7.24	1818.681
7.2	1821.761
7.16	1772.186
7.12	1832.476
7.09	1827.547
7.06	1833.011
7.03	1822.213
7.01	1792.235
6.98	1889.164
6.96	1853.733
6.93	1809.24
6.91	1767.173
6.89	1862.287
6.87	1848.435
6.85	1870.907
6.82	1859.918
6.8	1856.242
6.79	1921.623
6.77	1946.39
6.74	1996.136
6.73	2018.908
6.71	2078.98
6.69	2120.977
6.66	2159.444
6.64	2245.539
6.63	2368.063
6.61	2395.566
6.6	2514.929
6.58	2666.867
6.56	2713.564
6.54	2989.566
6.53	3217.099
6.51	3339.313
6.49	3530.108
6.47	3746.054
6.46	3967.789
6.44	4221.932
6.42	4446.932
6.4	4673.157
6.38	4936.454
6.37	5092.932
6.36	5342.901
6.35	5581.889
6.33	5732.238
6.32	5914.83
6.32	6073.763
6.31	6269.63
6.31	6394.899
6.3	6511.647
6.29	6588.433
6.29	6652.928
6.28	6613.36
6.27	6654.803
6.26	6623.973
6.25	6534.386
6.24	6470.818
6.24	6454.091
6.23	6281.368
6.22	6130.768
6.21	6040.139
6.2	5876.666
6.19	5691.763
6.18	5499.231
6.17	5369.711
6.16	5195.897
6.15	4992.043
6.14	4854.605
6.13	4668.056
6.12	4611.648
6.11	4373.495
6.1	4204.018
6.09	4061.171
6.08	3935.406
6.07	3756.845
6.06	3657.96
6.05	3508.575
6.04	3356.038
6.03	3200.586
6.02	3089.388
6.01	2933.557
6	2876.563
6	2747.865
5.99	2631.994
5.98	2496.807
5.97	2462.231
5.96	2318.589
5.95	2240.556
5.94	2157.271
5.93	2072.07
5.92	1976.702
5.91	1912.881
5.9	1840.867
5.89	1813.538
5.88	1768.463
5.87	1689.075
5.86	1624.94
5.85	1609.627
5.84	1552.146
5.83	1515.702
5.82	1471.761
5.81	1414.872
5.8	1372.081
5.79	1354.909
5.78	1329.41
5.77	1301.2
5.76	1290.027
5.75	1243.725
5.74	1225.894
5.73	1232.733
5.72	1203.685
5.71	1186.761
5.7	1166.062
5.69	1156.321
5.68	1149.593
5.67	1134.414
5.66	1143.855
5.65	1123.032
5.64	1102.849
5.63	1101.35
5.62	1097.339
5.61	1086.364
5.6	1056.393
5.6	1057.754
5.59	1042.55
5.58	1046.37
5.57	1034.533
5.56	1033.906
5.55	1060.366
5.54	1048.938
5.53	1054.513
5.53	1025.253
5.52	1035.04
5.51	1022.403
5.5	1011.128
5.49	1030.005
5.49	1027.654
5.47	1027.087
5.47	1003.752
5.46	1021.817
5.45	1023.78
5.44	1004.516
5.43	1023.912
5.42	1014.122
5.42	1000.046
5.41	996.1527
5.41	1011.693
5.4	1014.249
5.39	1012.56
5.38	989.0865
5.38	983.2631
5.37	987.8829
5.36	1005.386
5.35	1003.562
5.35	999.843
5.34	986.9727
5.34	996.3526
5.33	983.9325
5.32	996.7224
5.31	996.7038
5.31	977.3488
5.3	996.7179
5.28	987.5099
5.27	983.6234
5.26	972.4219
5.25	974.0893
5.23	969.8878
5.21	991.1014
5.19	981.1419
5.17	965.8653
5.14	964.4016
5.1	962.9567
5.08	979.4278
5.02	965.212
4.97	974.3756
4.91	974.1601
4.84	978.0217
4.78	962.574
	
