pH	RALS
8.52	655.3899
7.89	659.4775
7.87	612.4065
7.87	751.3581
7.86	799.2732
7.86	993.1953
7.85	953.8005
7.83	676.4718
7.83	897.7595
7.82	768.9967
7.27	952.8735
7.23	1117.994
7.19	2254.792
7.16	1053.857
7.12	1636.048
7.1	919.3243
7.06	1126.534
7.04	1893.791
7.02	1597.949
6.99	1608.666
6.96	1499.885
6.94	1339
6.91	1545.824
6.89	1870.795
6.87	2443.07
6.84	2539.003
6.82	2364.42
6.8	1726.538
6.78	2264.907
6.75	2105.181
6.74	2659.411
6.72	2515.776
6.7	2932.53
6.68	3615.268
6.66	3497.232
6.64	3642.475
6.62	4413.323
6.61	4497.41
6.59	5023.76
6.57	5618.356
6.54	6610.843
6.53	7670.245
6.51	8734.828
6.49	10585.43
6.48	12583.18
6.45	16415.12
6.44	18934.76
6.41	22414.98
6.4	27350.76
6.38	30869.48
6.36	34076.76
6.34	39117.07
6.32	42154.8
6.3	44711.5
6.28	47918.42
6.26	47474.47
6.25	45024.44
6.22	39531.08
6.19	34455.9
6.16	27408.77
6.14	26434.3
6.11	24094.68
6.08	18174.42
6.05	15985.26
6.02	12571.01
5.99	10422.77
5.95	9128.672
5.91	8362.186
5.87	6095.698
5.83	4785.094
5.78	4132.556
5.73	3609.795
5.67	3331.079
5.61	2692.43
5.54	2518.497
5.45	2457.415
5.35	2760.108
5.22	1828.092
5.05	1697.093
4.87	2580.405
4.69	3157.537
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
