pH	RALS	
8.46	1925.95
8.44	1791.98
8.35	1721.569
8.28	2916.012
8.21	1335.078
8.14	1350.012
8.08	1876.902
8.03	1748.762
7.49	1610.812
7.47	1683.788
7.45	2384.928
7.43	2100.679
7.43	1366.907
7.41	1231.771
7.4	1387.946
7.39	1346.567
7.04	1365.309
7.05	1504.399
7.05	1460.913
7.06	1352.843
7.06	1616.214
7.06	1456.096
7.07	1638.762
7.07	1544.906
7.07	1502.295
6.82	1550.583
6.84	1658.566
6.84	1697.745
6.86	1664.744
6.86	2463.165
6.87	4881.474
6.88	2145.497
6.88	5957.838
6.89	3821.551
6.69	2175.83
6.7	2481.609
6.71	2699.991
6.73	2653.32
6.73	5580.368
6.74	7251.335
6.76	2983.747
6.77	2897.981
6.77	2925.77
6.58	3956.078
6.58	5414.159
6.58	6237.227
6.57	7875.188
6.56	8130.013
6.56	8932.276
6.55	10158.34
6.54	11433.64
6.53	11812.97
6.53	13344.15
6.52	13581.27
6.5	16313.55
6.52	15263.38
6.5	18274.24
6.5	15460.59
6.48	16384.96
6.48	16928.28
6.47	17540.26
6.45	18023.94
6.44	19002.85
6.44	19172.24
6.43	19743.95
6.41	20296.34
6.41	21311.17
6.39	22384.26
6.38	22817.98
6.37	23653.58
6.36	24429.73
6.35	25853.86
6.33	28715.87
6.32	30108.54
6.3	33083.76
6.31	30666.96
6.29	30895.35
6.27	31462.65
6.26	30611.77
6.25	29818.1
6.23	27744.38
6.22	24520.75
6.2	21205.88
6.19	18319.69
6.17	15571.09
6.16	13067.09
6.14	12477.84
6.12	11070.89
6.09	9314.431
6.08	8350.839
6.06	7605.271
6.04	7189.11
6.02	7293.241
6	8362.631
5.97	6307.121
5.94	5604.115
5.93	4355.165
5.89	4476.347
5.87	3580.984
5.84	3045.164
5.81	3442.631
5.78	2725.949
5.74	3749.542
5.71	2934.328
5.66	3595.278
5.62	7502.878
5.56	3537.866
5.51	5573.019
5.45	3679.296
5.37	4268.073
5.29	4970.722
5.19	4565.127
5.07	
4.96	
4.85	
4.74	4189.968
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
