X	RALS
9.51	3295
9.51	3235
9.41	2536
9.31	3065
9.2	3501
9.07	3663
8.91	3430
8.68	3760
8.43	3351
8.18	3742
7.98	3792
7.81	3756
7.67	3743
7.56	3630
7.46	4089
7.37	3793
7.29	4144
7.22	4012
7.15	4145
7.08	4088
7.02	4004
6.96	4219
6.91	4023
6.85	3885
6.79	4075
6.73	3901
6.68	4162
6.62	4030
6.58	3832
6.52	3890
6.47	3824
6.41	3891
6.35	3982
6.29	3876
6.24	3926
6.18	3918
6.11	3702
6.04	3646
5.96	3537
5.87	3597
5.77	3688
5.66	3805
5.52	3697
5.34	3707
5.13	3714
4.89	3701
4.66	3679
4.47	3549
