[GdnHCl] (M)	full-length (mdeg)	NTD (mdeg)	CTD (mdeg)
0	-11.097413	-7.091373	-3.978243
0.17	-11.073279	-7.412229	-4.102179
0.33	-11.069979	-7.546469	-3.622719
0.5	-11.040014	-7.745344	-3.505994
0.67	-9.96477	-7.53316	-2.49227
0.83	-9.442897	-7.965457	-2.314527
1	-9.030828	-7.529978	-1.819808
1.17	-8.625837	-7.586467	-1.524767
1.33	-8.3072	-7.2651	-1.55173
1.5	-7.731964	-6.813474	-1.131864
1.67	-7.421903	-5.926863	-0.913803
1.83	-7.190317	-4.749487	-0.673517
2	-7.122824	-3.419784	-0.959374
2.1	-6.38516	-2.7294	-0.63583
2.2	-6.561297	-2.317857	-0.803427
2.3	-5.771923	-1.747253	-0.060345
2.4	-5.592717	-1.150947	-0.457837
2.5	-4.834793	-1.125593	-0.808853
2.6	-3.54515	-0.63805	-0.5823
2.7	-3.428578	-0.823968	-0.557568
2.8	-2.027847	-0.753207	-0.470277
2.9	-1.718551	-0.472641	-0.615401
3	-1.018474	-0.485994	-0.696404
3.25	-0.421693	-0.521383	-0.579803
3.5	-0.478919	-0.148739	-0.363779
4	-0.107489	-0.262394	-0.613473
4.5	0.097073	0.047608	-0.478223
5	0.598127	-0.003412	-0.209658
5.5	0.9712478	0.053706	-0.139657
6	0.524695	-0.142094	-0.622341
