wavelength	0% native	50% native	100% native	0.5 M	1 M	1.5 M	1.8 M	2 M	2.1 M	2.2 M	2.3 M	2.4 M	2.5 M	2.6 M	2.7 M	2.8 M	2.9 M	3 M	3.2 M	3.5 M	4 M	4.5 M	5 M
250	-19.05249	-11.99941	-4.94632	-58.34825	-9.86766	-128.55435	-39.54558	-36.67271	-57.88193	-38.02171	-6.78662	-23.41591	-39.0626	-68.87375	-9.78439	-35.82335	-62.64506	-1.59881	-15.74662	-50.92045	-15.66335	-21.00937	-29.91108
249.5	8.83509	7.41115	5.97888	-35.08223	-1.05755	-123.89948	-2.71465	-5.63747	-25.86409	-69.79807	-32.90052	-19.55212	-32.2177	-63.01978	-16.28788	1.28238	-74.27807	-23.99048	-14.12283	-41.15271	-31.20178	0.31601	-30.21918
249	-34.81576	-26.81338	-18.80268	-58.70632	-7.52773	-106.23762	-0.63391	-4.72149	-30.80208	-39.429	-51.48669	-48.72208	-40.27836	-66.91688	-31.24342	-5.54587	-53.39361	-30.91033	-4.82974	-51.73651	0.91599	3.53903	-43.75078
248.5	-28.09576	-14.86394	-1.63212	-101.39955	-49.97948	-87.11851	-18.72773	-5.82067	-40.56149	-0.94929	-58.01517	-57.54052	-56.09993	-80.73993	-42.61829	-20.80119	-67.85784	-29.90275	-29.99435	-69.22349	33.00045	-29.25323	-11.00015
248	-20.21829	-8.47703	3.27257	-111.44208	-41.37755	-104.35569	-46.71524	-22.15019	-43.85071	-22.54156	-44.39197	-70.9139	-65.74275	-79.84059	-58.12342	-18.40297	-69.51494	-45.21636	-31.95955	-52.7774	13.09026	-73.07896	-18.80268
247.5	-34.00803	-16.09636	1.81532	-92.17309	-28.03747	-100.70007	-50.77888	-35.83167	-35.28208	-42.49338	-35.7484	-55.74186	-77.30082	-70.08119	-65.84268	-26.66349	-91.22379	-60.90468	-6.67004	-33.09204	7.89413	-107.62825	-8.86007
247	-39.429	-32.66736	-25.8974	-91.98156	-17.68684	-126.2061	-36.43955	-41.669	-58.43152	-78.02528	-43.30944	-48.58052	-44.25874	-89.71658	-36.49784	-22.83301	-106.15435	-59.20595	-12.91539	-51.44506	37.66364	-101.44952	-45.84922
246.5	-12.3658	-15.39688	-18.41963	-74.30305	-43.4177	-115.43911	-46.01576	-33.57502	-92.75599	-74.7777	-58.19836	-26.92996	-51.58662	-97.86052	-53.80164	-19.91851	-94.54632	-24.23197	-33.15866	-61.65413	3.63063	-60.6632	-48.91361
246	5.7374	-23.94885	-53.62677	-67.94944	-69.92297	-140.31227	-42.04372	-40.69472	-92.18974	-75.77695	-98.38513	-42.90141	-73.79509	-89.73323	-72.49606	-52.65249	-105.90454	-38.45472	-51.71985	-59.67227	-30.5939	-48.54721	-82.93829
245.5	-39.89532	-38.58796	-37.28059	-90.69918	-98.72654	-135.05784	-74.811	-31.78468	-94.80446	-65.1432	-95.09591	-88.50082	-108.52758	-128.38781	-65.0516	-46.91509	-89.8748	-66.10082	-42.26022	-92.25636	-66.91688	-52.36937	-89.37517
