IDs:;240714_01_240712A;01_DNAJB6_05_000_uM;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.025;70.541;50.452;38.928
6.004;68.856;50.534;38.925
6.991;67.623;50.61;38.926
7.982;66.436;50.688;38.929
8.981;65.563;50.749;38.929
9.997;64.876;50.796;38.925
11.007;64.333;50.85;38.933
11.991;63.855;50.882;38.928
12.979;63.464;50.912;38.926
13.97;63.189;50.937;38.923
14.964;62.934;50.965;38.926
15.961;62.715;50.992;38.933
16.96;62.51;51.002;38.923
17.954;62.326;51.023;38.927
18.954;62.201;51.038;38.928
19.953;62.063;51.051;38.927
20.938;61.947;51.064;38.928
21.915;61.844;51.076;38.93
22.896;61.757;51.083;38.927
23.884;61.651;51.097;38.93
24.858;61.593;51.103;38.929
25.843;61.545;51.109;38.928
26.84;61.475;51.118;38.93
27.838;61.391;51.128;38.932
28.815;61.338;51.134;38.932
29.812;61.262;51.14;38.931
30.822;61.211;51.141;38.927
31.83;61.181;51.151;38.93
32.819;61.114;51.155;38.93
33.82;61.077;51.161;38.93
34.829;61.035;51.168;38.931
35.812;60.978;51.172;38.93
36.811;60.955;51.177;38.931
37.811;60.916;51.181;38.93
38.822;60.857;51.183;38.928
39.839;60.823;51.195;38.934
40.839;60.783;51.2;38.935
41.843;60.743;51.206;38.936
42.826;60.717;51.209;38.936
43.811;60.676;51.214;38.936
44.807;60.661;51.217;38.935
45.805;60.595;51.218;38.932
46.798;60.574;51.221;38.932
47.797;60.54;51.224;38.93
48.78;60.514;51.231;38.933
49.769;60.487;51.238;38.936
50.764;60.452;51.242;38.936
51.766;60.393;51.245;38.937
52.764;60.376;51.247;38.936
53.767;60.354;51.251;38.936
54.77;60.335;51.254;38.935
55.753;60.308;51.257;38.934
56.74;60.292;51.26;38.934
57.752;60.269;51.263;38.933
58.757;60.223;51.264;38.932
59.777;60.187;51.269;38.934
60.785;60.158;51.274;38.936
61.766;60.12;51.28;38.938
62.755;60.092;51.281;38.936
63.766;60.088;51.286;38.937
64.761;60.082;51.285;38.934
65.772;60.049;51.289;38.935
66.754;60.033;51.29;38.933
67.764;60.029;51.293;38.933
68.739;59.976;51.294;38.931
69.734;59.983;51.298;38.932
70.728;59.962;51.302;38.933
71.733;59.929;51.304;38.933
72.733;59.906;51.308;38.934
73.724;59.898;51.313;38.937
74.744;59.873;51.317;38.938
75.752;59.826;51.318;38.936
76.757;59.789;51.317;38.932
77.76;59.797;51.322;38.934
78.776;59.777;51.323;38.934
79.771;59.747;51.321;38.929
80.761;59.732;51.327;38.933
81.779;59.711;51.326;38.929
82.775;59.693;51.328;38.929
83.764;59.68;51.329;38.928
84.746;59.668;51.331;38.927
85.731;59.644;51.334;38.928
86.737;59.627;51.339;38.931
87.739;59.616;51.34;38.929
88.713;59.591;51.344;38.931
89.73;59.573;51.349;38.934
90.74;59.563;51.351;38.933
91.751;59.544;51.351;38.932
92.745;59.527;51.354;38.933
93.741;59.515;51.357;38.934
94.75;59.495;51.359;38.933
95.755;59.489;51.359;38.932
96.774;59.466;51.364;38.934
97.765;59.457;51.364;38.932
98.774;59.453;51.365;38.932
99.782;59.438;51.367;38.931
100.771;59.418;51.369;38.931
101.785;59.416;51.37;38.931
102.798;59.41;51.373;38.932
103.786;59.396;51.375;38.932
104.79;59.379;51.377;38.932
105.804;59.356;51.38;38.933
106.817;59.347;51.383;38.934
107.805;59.327;51.386;38.935
108.827;59.315;51.388;38.935
109.839;59.312;51.39;38.935
110.849;59.294;51.394;38.937
111.831;59.276;51.396;38.937
112.85;59.239;51.396;38.936
113.851;59.244;51.395;38.935
114.85;59.227;51.4;38.937
115.854;59.223;51.399;38.934
116.86;59.214;51.403;38.937
117.854;59.2;51.403;38.935
118.853;59.192;51.405;38.935
119.853;59.18;51.408;38.936
120.855;59.173;51.408;38.935
121.855;59.168;51.404;38.932
122.861;59.157;51.411;38.935
123.865;59.146;51.412;38.935
124.851;59.136;51.414;38.935
125.858;59.13;51.417;38.937
126.854;59.11;51.42;38.937
127.863;59.093;51.423;38.938
128.852;59.102;51.423;38.937
129.865;59.065;51.427;38.939
130.852;59.045;51.429;38.939
131.851;59.043;51.43;38.938
132.859;59.034;51.431;38.938
133.856;59.022;51.432;38.938
134.854;59.022;51.434;38.938
135.858;59.006;51.435;38.937
136.865;58.993;51.437;38.938
137.869;58.981;51.439;38.938
138.867;58.972;51.439;38.937
139.871;58.968;51.441;38.937
140.879;58.956;51.442;38.937
141.864;58.944;51.445;38.938
142.866;58.944;51.444;38.935
143.865;58.944;51.445;38.936
144.871;58.938;51.446;38.935
145.878;58.926;51.447;38.935
146.866;58.899;51.449;38.934
147.869;58.909;51.449;38.934
148.867;58.879;51.449;38.933
149.868;58.886;51.452;38.934
150.874;58.859;51.453;38.934
151.876;58.846;51.451;38.931
152.881;58.823;51.455;38.932
153.88;58.815;51.457;38.932
154.866;58.802;51.458;38.932
155.871;58.796;51.461;38.934
156.872;58.779;51.464;38.936
157.872;58.771;51.465;38.935
158.881;58.725;51.464;38.932
159.876;58.761;51.466;38.934
160.859;58.745;51.466;38.933
161.839;58.719;51.464;38.927
162.85;58.704;51.468;38.931
