IDs:;240715_03_240712B;03_DNAJB6_03_330_uM;
Concentration [uM]:;3.33;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.983;63.767;50.885;38.913
6.983;63.094;50.951;38.918
7.982;62.604;50.997;38.918
8.982;62.255;51.033;38.919
9.965;61.969;51.061;38.918
10.954;61.739;51.089;38.922
11.956;61.578;51.106;38.921
12.946;61.405;51.129;38.927
13.939;61.264;51.139;38.923
14.942;61.166;51.154;38.925
15.954;61.065;51.168;38.928
16.955;60.964;51.175;38.924
17.945;60.897;51.184;38.925
18.947;60.816;51.198;38.93
19.927;60.753;51.206;38.93
20.916;60.694;51.211;38.928
21.893;60.609;51.215;38.925
22.871;60.579;51.221;38.925
23.866;60.513;51.232;38.929
24.864;60.434;51.24;38.931
25.865;60.407;51.247;38.932
26.872;60.369;51.249;38.927
27.858;60.316;51.255;38.928
28.855;60.289;51.265;38.933
29.86;60.233;51.267;38.929
30.849;60.182;51.275;38.931
31.846;60.144;51.283;38.934
32.854;60.096;51.285;38.931
33.875;60.059;51.291;38.932
34.872;60.027;51.292;38.931
35.861;60.009;51.299;38.932
36.863;59.968;51.306;38.934
37.849;59.916;51.31;38.933
38.85;59.875;51.315;38.935
39.839;59.858;51.321;38.936
40.839;59.806;51.321;38.932
41.836;59.809;51.328;38.935
42.856;59.733;51.328;38.931
43.861;59.73;51.33;38.93
44.86;59.7;51.334;38.93
45.866;59.689;51.344;38.935
46.865;59.665;51.344;38.933
47.864;59.608;51.35;38.935
48.856;59.586;51.353;38.934
49.848;59.563;51.355;38.934
50.829;59.528;51.362;38.936
51.838;59.516;51.362;38.933
52.84;59.493;51.367;38.935
53.844;59.476;51.369;38.934
54.834;59.445;51.371;38.933
55.823;59.436;51.377;38.936
56.832;59.396;51.382;38.937
57.836;59.389;51.384;38.937
58.853;59.362;51.39;38.939
59.867;59.327;51.393;38.939
60.866;59.321;51.399;38.942
61.862;59.31;51.402;38.942
62.846;59.263;51.403;38.942
63.824;59.247;51.404;38.94
64.82;59.241;51.407;38.94
65.809;59.22;51.41;38.941
66.8;59.212;51.412;38.941
67.79;59.197;51.415;38.941
68.782;59.184;51.416;38.939
69.776;59.168;51.42;38.942
70.778;59.135;51.425;38.942
71.789;59.134;51.428;38.944
72.805;59.113;51.431;38.945
73.807;59.084;51.435;38.944
74.817;59.067;51.439;38.946
75.803;59.054;51.441;38.946
76.806;59.03;51.443;38.945
77.826;59.015;51.444;38.945
78.844;59.006;51.446;38.945
79.84;58.998;51.45;38.946
80.851;58.984;51.452;38.946
81.834;58.982;51.452;38.944
82.817;58.948;51.455;38.945
83.818;58.92;51.455;38.942
84.816;58.925;51.459;38.945
85.821;58.892;51.459;38.942
86.84;58.879;51.462;38.944
87.859;58.857;51.465;38.944
88.882;58.839;51.468;38.945
89.887;58.829;51.47;38.944
90.891;58.8;51.474;38.946
91.885;58.794;51.475;38.946
92.887;58.794;51.476;38.944
93.891;58.771;51.48;38.946
94.881;58.765;51.48;38.944
95.871;58.744;51.478;38.94
96.874;58.719;51.481;38.942
97.864;58.705;51.482;38.941
98.848;58.702;51.482;38.94
99.843;58.694;51.484;38.94
100.845;58.687;51.487;38.939
101.848;58.654;51.485;38.935
102.851;58.679;51.492;38.941
103.857;58.641;51.489;38.936
104.842;58.634;51.493;38.939
105.828;58.619;51.496;38.939
106.826;58.62;51.5;38.942
107.824;58.614;51.504;38.944
108.844;58.582;51.502;38.94
109.843;58.575;51.505;38.942
110.844;58.574;51.51;38.945
111.855;58.559;51.506;38.938
112.86;58.54;51.507;38.938
113.87;58.527;51.511;38.941
114.869;58.51;51.513;38.941
115.875;58.514;51.514;38.941
116.876;58.507;51.514;38.938
117.869;58.491;51.518;38.941
118.868;58.49;51.518;38.94
119.877;58.475;51.519;38.939
120.859;58.468;51.521;38.94
121.866;58.456;51.523;38.94
122.845;58.454;51.522;38.938
123.838;58.439;51.526;38.941
124.836;58.424;51.527;38.94
125.825;58.428;51.527;38.939
126.817;58.414;51.53;38.94
127.812;58.408;51.531;38.94
128.816;58.394;51.533;38.939
129.806;58.378;51.535;38.94
130.827;58.348;51.533;38.936
131.826;58.351;51.536;38.938
132.829;58.331;51.536;38.936
133.819;58.349;51.544;38.943
134.81;58.314;51.542;38.939
135.806;58.296;51.544;38.94
136.805;58.298;51.546;38.941
137.81;58.294;51.546;38.938
138.797;58.28;51.547;38.939
139.791;58.302;51.553;38.944
140.788;58.266;51.551;38.94
141.785;58.282;51.555;38.943
142.788;58.284;51.557;38.944
143.775;58.278;51.557;38.942
144.776;58.274;51.559;38.944
145.776;58.241;51.558;38.941
146.78;58.259;51.562;38.943
147.789;58.22;51.56;38.941
148.782;58.213;51.56;38.94
149.764;58.211;51.563;38.941
150.746;58.213;51.564;38.941
151.746;58.199;51.564;38.94
152.731;58.201;51.564;38.937
153.746;58.195;51.567;38.939
154.74;58.183;51.566;38.936
155.748;58.183;51.571;38.942
156.761;58.195;51.575;38.943
157.786;58.166;51.57;38.937
158.791;58.154;51.575;38.94
159.796;58.142;51.574;38.938
160.807;58.158;51.574;38.936
161.842;58.129;51.577;38.939
162.835;58.119;51.578;38.937
163.838;58.122;51.586;38.946
164.836;58.105;51.583;38.941
165.842;58.104;51.586;38.943
166.837;58.09;51.59;38.947
167.847;58.075;51.586;38.94
168.849;58.089;51.592;38.946
169.858;58.081;51.59;38.942
170.865;58.071;51.59;38.941
171.874;58.059;51.593;38.944
172.863;58.07;51.595;38.946
173.853;58.06;51.595;38.942
174.864;58.052;51.596;38.942
175.874;58.053;51.596;38.941
176.888;58.046;51.599;38.944
177.886;58.043;51.599;38.941
178.883;58.043;51.601;38.942
179.888;58.031;51.602;38.942
180.882;58.03;51.602;38.941
181.871;58.025;51.604;38.943
182.866;58.015;51.605;38.944
183.865;58.019;51.605;38.941
184.865;58.016;51.607;38.942
185.852;58.007;51.608;38.942
186.861;57.993;51.609;38.942
187.864;57.996;51.61;38.942
188.86;57.996;51.611;38.942
189.858;57.988;51.613;38.942
190.858;57.963;51.613;38.942
191.84;57.965;51.617;38.944
192.847;57.965;51.617;38.943
193.842;57.95;51.618;38.943
194.856;57.944;51.62;38.945
195.856;57.941;51.623;38.945
196.863;57.931;51.626;38.949
197.855;57.923;51.624;38.944
198.856;57.94;51.625;38.939
199.852;57.91;51.629;38.948
200.847;57.912;51.629;38.947
201.852;57.901;51.629;38.948
202.867;57.924;51.628;38.939
203.863;57.914;51.628;38.939
204.88;57.909;51.629;38.938
205.879;57.911;51.629;38.936
206.867;57.908;51.63;38.936
207.855;57.904;51.631;38.936
208.854;57.854;51.636;38.945
209.853;57.85;51.635;38.942
210.859;57.85;51.636;38.943
211.853;57.849;51.635;38.941
212.876;57.846;51.637;38.943
213.879;57.831;51.639;38.944
214.883;57.836;51.638;38.942
215.875;57.836;51.639;38.941
216.87;57.824;51.641;38.942
217.867;57.805;51.643;38.943
218.852;57.813;51.644;38.943
219.847;57.812;51.643;38.94
220.845;57.807;51.645;38.94
221.828;57.796;51.645;38.941
222.814;57.817;51.639;38.929
223.808;57.818;51.642;38.931
224.812;57.766;51.645;38.94
225.81;57.813;51.643;38.93
226.793;57.81;51.646;38.932
227.777;57.778;51.645;38.931
228.778;57.781;51.645;38.929
229.786;57.763;51.647;38.932
230.776;57.765;51.647;38.931
231.772;57.765;51.648;38.93
232.759;57.775;51.651;38.932
233.751;57.733;51.653;38.934
234.75;57.72;51.649;38.927
235.754;57.712;51.654;38.934
236.737;57.713;51.653;38.93
237.737;57.695;51.655;38.931
238.739;57.711;51.657;38.931
239.727;57.681;51.657;38.933
240.746;57.683;51.657;38.93
241.745;57.675;51.657;38.93
242.75;57.693;51.652;38.919
243.762;57.644;51.659;38.93
244.776;57.647;51.66;38.931
245.793;57.668;51.654;38.918
246.779;57.661;51.654;38.916
247.781;57.632;51.658;38.925
248.767;57.625;51.661;38.927
249.767;57.621;51.659;38.925
250.766;57.643;51.655;38.914
251.756;57.608;51.661;38.927
252.763;57.632;51.655;38.914
253.758;57.633;51.657;38.915
254.738;57.627;51.659;38.917
255.729;57.63;51.656;38.912
256.721;57.631;51.655;38.908
257.705;57.622;51.657;38.909
258.697;57.623;51.658;38.912
259.698;57.611;51.655;38.906
260.69;57.598;51.657;38.909
261.688;57.589;51.658;38.909
262.667;57.645;51.661;38.909
263.668;57.574;51.659;38.909
264.674;57.566;51.662;38.911
265.682;57.575;51.66;38.908
266.698;57.554;51.662;38.909
267.693;57.56;51.661;38.907
268.693;57.56;51.662;38.906
269.675;57.551;51.664;38.909
270.663;57.555;51.661;38.905
271.673;57.599;51.668;38.91
272.678;57.524;51.664;38.907
273.676;57.584;51.669;38.91
274.67;57.518;51.666;38.908
275.675;57.502;51.67;38.911
276.68;57.577;51.67;38.908
277.667;57.496;51.671;38.91
278.724;57.496;51.671;38.91
279.734;57.552;51.674;38.909
280.726;57.489;51.673;38.91
281.706;57.483;51.674;38.909
282.694;57.474;51.675;38.911
283.673;57.477;51.676;38.908
284.675;57.478;51.673;38.906
285.66;57.458;51.677;38.909
286.667;57.462;51.676;38.905
287.682;57.449;51.678;38.91
288.684;57.447;51.677;38.905
289.689;57.449;51.679;38.908
290.694;57.433;51.681;38.908
291.681;57.437;51.681;38.907
292.682;57.422;51.683;38.91
293.691;57.44;51.681;38.904
294.693;57.42;51.684;38.91
295.67;57.425;51.684;38.907
296.653;57.423;51.682;38.904
297.672;57.412;51.685;38.907
298.655;57.412;51.684;38.905
299.635;57.41;51.684;38.904
300.653;57.409;51.686;38.907
301.652;57.46;51.688;38.905
302.653;57.394;51.688;38.907
303.662;57.392;51.688;38.905
304.651;57.386;51.689;38.907
305.647;57.452;51.69;38.904
306.643;57.388;51.686;38.902
307.629;57.381;51.689;38.905
308.612;57.383;51.69;38.905
309.61;57.363;51.691;38.905
310.605;57.377;51.69;38.903
311.605;57.427;51.696;38.907
312.607;57.371;51.689;38.9
313.611;57.367;51.692;38.903
314.61;57.359;51.692;38.902
315.612;57.363;51.693;38.903
316.613;57.36;51.694;38.901
317.592;57.357;51.694;38.901
318.601;57.355;51.696;38.903
319.582;57.342;51.696;38.901
320.57;57.344;51.695;38.9
321.582;57.336;51.699;38.902
322.571;57.336;51.696;38.901
323.578;57.334;51.7;38.903
324.558;57.321;51.7;38.905
325.549;57.326;51.7;38.901
326.555;57.316;51.7;38.902
327.552;57.316;51.702;38.902
328.553;57.319;51.699;38.898
329.526;57.304;51.703;38.904
330.54;57.3;51.704;38.904
331.559;57.298;51.704;38.902
332.555;57.294;51.705;38.903
333.556;57.292;51.705;38.902
334.563;57.287;51.706;38.903
335.57;57.295;51.706;38.901
336.553;57.288;51.707;38.9
337.552;57.283;51.709;38.903
338.553;57.265;51.711;38.903
339.553;57.281;51.712;38.903
340.533;57.275;51.711;38.902
341.536;57.271;51.714;38.903
342.512;57.259;51.716;38.905
343.52;57.255;51.716;38.904
344.52;57.254;51.719;38.907
345.506;57.251;51.72;38.907
346.485;57.239;51.72;38.907
347.484;57.252;51.719;38.904
348.49;57.242;51.722;38.907
349.484;57.239;51.721;38.904
350.481;57.238;51.723;38.906
351.492;57.232;51.723;38.906
352.49;57.237;51.724;38.904
353.49;57.228;51.726;38.908
354.478;57.221;51.724;38.905
355.481;57.224;51.724;38.903
356.487;57.219;51.725;38.904
357.471;57.199;51.728;38.909
358.458;57.209;51.727;38.906
359.435;57.209;51.728;38.907
360.439;57.209;51.727;38.904
361.466;57.2;51.73;38.906
362.466;57.206;51.729;38.905
363.465;57.194;51.732;38.908
364.453;57.198;51.73;38.904
365.451;57.197;51.73;38.904
366.452;57.175;51.735;38.91
367.453;57.183;51.734;38.907
368.449;57.176;51.736;38.909
369.455;57.193;51.732;38.904
370.454;57.199;51.735;38.905
371.454;57.167;51.737;38.909
372.469;57.172;51.737;38.908
373.461;57.173;51.737;38.906
374.444;57.166;51.738;38.906
375.434;57.17;51.74;38.907
376.429;57.156;51.741;38.911
377.409;57.17;51.737;38.904
378.414;57.17;51.741;38.906
379.398;57.152;51.743;38.909
380.385;57.155;51.742;38.909
381.38;57.152;51.743;38.907
382.365;57.161;51.744;38.906
383.352;57.147;51.745;38.909
384.352;57.135;51.746;38.909
385.352;57.138;51.747;38.909
386.358;57.136;51.746;38.908
387.37;57.131;51.746;38.908
388.356;57.133;51.747;38.909
389.359;57.142;51.745;38.904
390.36;57.121;51.75;38.91
391.366;57.122;51.75;38.907
392.342;57.108;51.751;38.908
393.353;57.122;51.753;38.911
394.348;57.111;51.751;38.906
395.342;57.104;51.754;38.909
396.337;57.107;51.754;38.908
397.343;57.109;51.754;38.909
398.352;57.102;51.758;38.911
399.343;57.078;51.757;38.911
400.339;57.076;51.761;38.913
401.333;57.107;51.758;38.91
402.318;57.082;51.76;38.91
403.314;57.087;51.761;38.911
404.303;57.078;51.763;38.913
405.291;57.073;51.762;38.911
406.276;57.059;51.762;38.912
407.261;57.073;51.764;38.91
408.261;57.071;51.767;38.915
409.248;57.056;51.764;38.91
410.247;57.049;51.767;38.913
411.237;57.047;51.768;38.914
412.242;57.038;51.768;38.912
413.222;57.028;51.769;38.914
414.218;57.037;51.77;38.914
415.219;57.038;51.768;38.911
416.225;57.034;51.77;38.913
417.21;57.04;51.769;38.911
418.203;57.028;51.771;38.911
419.216;57.027;51.772;38.912
420.241;57.024;51.774;38.914
421.249;57.026;51.772;38.912
422.259;57.017;51.775;38.914
423.275;57.02;51.773;38.91
