IDs:;240715_04_240712C;04_DNAJB6_02_220_uM;
Concentration [uM]:;2.22;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.013;68.419;50.609;38.954
6.009;67.089;50.686;38.953
6.978;66.36;50.743;38.959
7.96;65.613;50.795;38.96
8.953;64.973;50.845;38.964
9.937;64.513;50.889;38.97
10.922;64.095;50.925;38.971
11.919;63.718;50.954;38.969
12.902;63.406;50.974;38.963
13.904;63.159;51.002;38.967
14.907;62.947;51.029;38.973
15.89;62.757;51.044;38.97
16.875;62.545;51.064;38.975
17.872;62.429;51.076;38.97
18.873;62.282;51.095;38.976
19.883;62.136;51.104;38.972
20.872;62.047;51.114;38.971
21.878;61.922;51.13;38.977
22.852;61.827;51.138;38.975
23.834;61.797;51.145;38.975
24.822;61.718;51.153;38.976
25.817;61.621;51.167;38.981
26.814;61.563;51.174;38.981
27.819;61.515;51.184;38.985
28.796;61.451;51.184;38.979
29.784;61.399;51.191;38.98
30.784;61.354;51.2;38.983
31.803;61.295;51.207;38.985
32.802;61.267;51.214;38.987
33.809;61.225;51.221;38.988
34.812;61.182;51.226;38.988
35.811;61.128;51.23;38.987
36.81;61.092;51.232;38.985
37.793;61.043;51.236;38.986
38.803;60.994;51.244;38.988
39.796;60.966;51.25;38.99
40.79;60.936;51.258;38.994
41.796;60.917;51.263;38.994
42.777;60.868;51.265;38.992
43.764;60.83;51.269;38.992
44.765;60.796;51.273;38.991
45.741;60.757;51.271;38.986
46.742;60.707;51.28;38.991
47.743;60.652;51.287;38.993
48.729;60.64;51.29;38.993
49.746;60.612;51.297;38.996
50.753;60.577;51.299;38.994
51.764;60.553;51.303;38.994
52.762;60.533;51.306;38.994
53.759;60.516;51.312;38.997
54.773;60.498;51.315;38.995
55.787;60.437;51.317;38.994
56.782;60.396;51.322;38.995
57.78;60.381;51.325;38.995
58.772;60.344;51.331;38.997
59.768;60.317;51.333;38.996
60.776;60.31;51.339;38.999
61.768;60.257;51.339;38.995
62.758;60.244;51.342;38.995
63.742;60.231;51.345;38.996
64.745;60.2;51.35;38.997
65.735;60.186;51.352;38.997
66.731;60.163;51.36;39.002
67.724;60.126;51.366;39.003
68.729;60.102;51.369;39.004
69.731;60.068;51.371;39.003
70.749;60.053;51.375;39.003
71.733;60.034;51.376;39.002
72.714;60.027;51.379;39.003
73.704;59.97;51.381;39.002
74.681;59.995;51.384;39.001
75.691;59.968;51.387;39.002
76.68;59.925;51.386;39
77.686;59.894;51.394;39.005
78.698;59.896;51.396;39.003
79.726;59.88;51.397;39.001
80.739;59.854;51.402;39.004
81.752;59.834;51.406;39.005
82.739;59.797;51.41;39.006
83.729;59.78;51.413;39.007
84.727;59.774;51.415;39.006
85.728;59.73;51.417;39.006
86.729;59.722;51.418;39.005
87.718;59.699;51.419;39.002
88.7;59.676;51.423;39.004
89.696;59.682;51.423;39.003
90.703;59.675;51.429;39.005
91.679;59.634;51.427;39.002
92.672;59.616;51.43;39.002
93.67;59.597;51.432;39.001
94.676;59.563;51.437;39.005
95.675;59.544;51.438;39.003
96.685;59.534;51.441;39.004
97.669;59.517;51.444;39.004
98.664;59.509;51.448;39.006
99.674;59.497;51.45;39.006
100.668;59.486;51.449;39.004
101.657;59.472;51.454;39.006
102.643;59.46;51.455;39.006
103.634;59.452;51.458;39.007
104.633;59.44;51.461;39.007
105.617;59.425;51.462;39.007
106.629;59.413;51.465;39.007
107.62;59.403;51.465;39.006
108.615;59.369;51.469;39.008
109.627;59.359;51.469;39.005
110.609;59.359;51.472;39.007
111.608;59.343;51.475;39.007
112.608;59.342;51.475;39.005
113.583;59.305;51.481;39.01
114.597;59.272;51.482;39.009
115.592;59.257;51.484;39.01
116.584;59.24;51.489;39.013
117.596;59.228;51.49;39.011
118.595;59.223;51.491;39.011
119.58;59.218;51.493;39.012
120.567;59.208;51.492;39.009
121.56;59.194;51.496;39.012
122.568;59.186;51.497;39.011
123.577;59.177;51.499;39.011
124.57;59.171;51.502;39.013
125.585;59.159;51.503;39.012
126.573;59.147;51.507;39.013
127.567;59.142;51.507;39.013
128.578;59.127;51.51;39.013
129.586;59.122;51.509;39.011
130.598;59.113;51.51;39.011
131.615;59.098;51.513;39.012
132.605;59.094;51.515;39.013
133.611;59.081;51.518;39.013
134.615;59.042;51.52;39.013
135.625;59.031;51.52;39.012
136.608;59.014;51.523;39.013
137.613;59.012;51.524;39.013
138.614;58.999;51.522;39.01
139.615;58.993;51.524;39.011
140.627;58.979;51.525;39.009
141.623;58.975;51.529;39.013
142.616;58.97;51.532;39.013
143.613;58.948;51.532;39.012
144.603;58.945;51.534;39.013
145.604;58.931;51.534;39.011
146.612;58.931;51.538;39.013
147.617;58.907;51.538;39.012
148.617;58.912;51.538;39.012
149.61;58.898;51.539;39.011
150.608;58.88;51.541;39.011
151.614;58.876;51.543;39.012
152.614;58.865;51.542;39.01
153.613;58.861;51.546;39.012
154.625;58.849;51.546;39.01
155.616;58.853;51.551;39.013
156.625;58.86;51.549;39.011
157.626;58.818;51.548;39.009
158.62;58.832;51.553;39.012
159.624;58.83;51.552;39.009
160.633;58.789;51.553;39.01
161.644;58.77;51.556;39.011
162.646;58.778;51.561;39.015
163.645;58.753;51.56;39.012
164.648;58.755;51.561;39.013
165.657;58.734;51.564;39.014
166.669;58.735;51.566;39.014
167.668;58.725;51.566;39.014
168.66;58.716;51.569;39.015
169.654;58.71;51.568;39.013
170.651;58.704;51.569;39.012
171.652;58.69;51.571;39.013
172.638;58.69;51.572;39.013
173.647;58.686;51.574;39.014
174.658;58.667;51.575;39.013
175.657;58.674;51.575;39.013
176.641;58.657;51.576;39.013
177.632;58.642;51.577;39.012
178.618;58.643;51.577;39.011
179.633;58.648;51.581;39.014
180.622;58.634;51.582;39.012
181.618;58.639;51.582;39.012
182.62;58.621;51.583;39.012
183.629;58.61;51.586;39.013
184.641;58.604;51.584;39.01
185.622;58.592;51.587;39.012
186.601;58.587;51.586;39.01
187.613;58.592;51.587;39.011
188.603;58.582;51.587;39.009
189.595;58.572;51.59;39.011
190.602;58.533;51.591;39.011
191.597;58.522;51.594;39.012
192.587;58.519;51.595;39.012
193.583;58.537;51.596;39.013
194.582;58.506;51.594;39.009
195.587;58.513;51.595;39.01
196.596;58.505;51.599;39.011
197.59;58.491;51.602;39.012
198.583;58.497;51.604;39.014
199.58;58.467;51.604;39.012
200.579;58.473;51.607;39.014
201.553;58.474;51.605;39.011
202.55;58.46;51.608;39.012
203.529;58.452;51.608;39.012
204.526;58.466;51.609;39.012
205.538;58.46;51.609;39.011
206.537;58.45;51.611;39.012
207.524;58.444;51.613;39.013
208.517;58.435;51.612;39.011
209.517;58.431;51.613;39.011
210.512;58.425;51.613;39.01
211.501;58.423;51.615;39.011
212.48;58.428;51.617;39.012
213.494;58.404;51.618;39.011
214.495;58.407;51.621;39.013
215.504;58.396;51.62;39.012
216.52;58.402;51.621;39.013
217.524;58.395;51.619;39.009
218.516;58.395;51.619;39.009
219.511;58.393;51.621;39.01
220.512;58.374;51.624;39.01
221.518;58.372;51.626;39.012
222.499;58.355;51.628;39.013
223.515;58.35;51.631;39.015
224.52;58.348;51.63;39.012
225.526;58.317;51.631;39.013
226.538;58.31;51.63;39.01
227.553;58.33;51.635;39.014
228.571;58.286;51.634;39.013
229.596;58.296;51.633;39.01
230.592;58.3;51.637;39.014
231.586;58.279;51.638;39.015
232.586;58.264;51.639;39.014
233.586;58.267;51.641;39.015
234.591;58.264;51.639;39.01
235.59;58.248;51.644;39.016
236.589;58.241;51.642;39.013
237.587;58.252;51.64;39.011
238.589;58.242;51.645;39.014
239.592;58.233;51.646;39.014
240.591;58.224;51.645;39.013
241.583;58.222;51.647;39.013
242.58;58.218;51.65;39.016
243.564;58.21;51.648;39.013
244.553;58.207;51.649;39.013
245.548;58.213;51.648;39.011
246.536;58.207;51.649;39.012
247.556;58.198;51.649;39.011
248.554;58.199;51.651;39.012
249.557;58.208;51.65;39.009
250.568;58.196;51.654;39.013
251.586;58.212;51.648;39.007
252.589;58.188;51.655;39.012
253.6;58.175;51.655;39.012
254.598;58.175;51.659;39.013
