IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.996;69.75;50.528;38.964
7.006;69.318;50.555;38.967
7.99;68.685;50.593;38.97
8.992;68.14;50.628;38.973
9.994;67.628;50.662;38.975
10.998;67.123;50.701;38.981
11.975;66.64;50.731;38.98
12.961;66.132;50.761;38.978
13.966;65.699;50.794;38.98
14.967;65.321;50.826;38.984
15.968;65.003;50.855;38.986
16.971;64.654;50.878;38.984
17.952;64.361;50.895;38.979
18.953;64.076;50.917;38.979
19.955;63.868;50.939;38.983
20.945;63.669;50.963;38.987
21.959;63.521;50.98;38.989
22.962;63.301;50.995;38.987
23.968;63.185;51.012;38.991
24.96;63.001;51.016;38.983
25.968;62.848;51.032;38.985
26.956;62.751;51.039;38.983
27.941;62.646;51.049;38.982
28.925;62.513;51.065;38.988
29.937;62.438;51.074;38.988
30.942;62.377;51.079;38.985
31.953;62.307;51.088;38.987
32.949;62.232;51.099;38.989
33.962;62.158;51.109;38.993
34.952;62.1;51.115;38.992
35.945;62.062;51.121;38.993
36.953;62.013;51.128;38.995
37.963;61.963;51.133;38.994
38.955;61.92;51.142;38.998
39.946;61.844;51.146;38.997
40.93;61.813;51.151;38.998
41.925;61.728;51.153;38.994
42.926;61.712;51.158;38.996
43.918;61.668;51.162;38.995
44.902;61.644;51.167;38.996
45.899;61.614;51.174;39
46.9;61.533;51.177;38.998
47.887;61.529;51.181;38.999
48.865;61.486;51.184;38.998
49.853;61.454;51.188;39
50.832;61.429;51.19;38.998
51.835;61.402;51.195;39
52.832;61.375;51.199;39
53.834;61.359;51.2;38.997
54.823;61.328;51.205;39
55.816;61.269;51.209;39
56.828;61.245;51.211;38.999
57.813;61.214;51.217;39.002
58.811;61.179;51.218;38.999
59.812;61.158;51.222;39.001
60.799;61.13;51.223;38.999
61.787;61.105;51.227;39
62.798;61.076;51.23;39
63.809;61.057;51.231;38.999
64.805;61.034;51.234;38.999
65.798;61.019;51.237;38.999
66.809;60.985;51.242;39
67.809;60.961;51.246;39.002
68.789;60.917;51.251;39.005
69.783;60.916;51.253;39.003
70.77;60.889;51.258;39.005
71.759;60.862;51.262;39.007
72.755;60.848;51.263;39.005
73.756;60.816;51.266;39.005
74.734;60.814;51.269;39.006
75.739;60.79;51.271;39.006
76.731;60.767;51.273;39.005
77.718;60.751;51.276;39.006
78.735;60.733;51.278;39.005
79.737;60.709;51.283;39.007
80.726;60.699;51.283;39.006
81.713;60.65;51.29;39.009
82.707;60.628;51.293;39.009
