IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.94;70.971;50.476;38.971
6.93;71.434;50.454;38.968
7.923;71.182;50.471;38.973
8.919;71.227;50.469;38.974
9.916;71.076;50.475;38.975
10.905;70.87;50.489;38.977
11.897;70.774;50.497;38.98
12.87;70.594;50.51;38.985
13.87;70.468;50.516;38.983
14.87;70.21;50.526;38.982
15.862;70.01;50.539;38.985
16.852;69.832;50.552;38.987
17.837;69.599;50.562;38.985
18.827;69.357;50.572;38.985
19.834;69.153;50.588;38.987
20.816;68.872;50.605;38.99
21.816;68.662;50.619;38.991
22.8;68.424;50.635;38.993
23.794;68.237;50.651;38.995
24.797;67.961;50.659;38.99
25.784;67.717;50.675;38.991
26.776;67.514;50.687;38.989
27.782;67.238;50.711;38.997
28.79;67.041;50.724;38.996
29.777;66.784;50.742;39
30.782;66.588;50.756;38.999
31.796;66.363;50.773;39
32.793;66.175;50.786;39
33.802;65.918;50.796;38.995
34.818;65.727;50.809;38.994
35.812;65.569;50.824;38.996
36.805;65.381;50.843;39.001
37.816;65.236;50.853;39
38.824;65.048;50.869;39.002
39.827;64.877;50.878;39
40.824;64.731;50.887;38.997
41.823;64.596;50.9;38.999
42.833;64.442;50.911;38.998
43.838;64.342;50.918;38.996
44.84;64.17;50.925;38.992
45.843;64.057;50.936;38.994
46.837;63.938;50.944;38.992
47.855;63.879;50.952;38.992
48.857;63.753;50.965;38.995
49.851;63.668;50.977;39
50.844;63.597;50.985;39
51.829;63.527;50.99;38.998
52.815;63.423;51.003;39.003
53.819;63.352;51.011;39.004
54.828;63.249;51.011;38.998
55.82;63.216;51.02;39
56.816;63.154;51.025;38.999
57.834;63.067;51.032;39
58.822;62.996;51.039;39.001
59.828;62.927;51.045;39.002
60.831;62.859;51.048;38.999
61.827;62.801;51.049;38.993
62.816;62.771;51.055;38.996
63.816;62.678;51.061;38.996
64.834;62.63;51.065;38.996
65.835;62.577;51.071;38.997
66.846;62.544;51.074;38.997
67.827;62.498;51.08;38.999
68.83;62.472;51.08;38.995
69.826;62.423;51.086;38.996
70.826;62.413;51.087;38.996
71.833;62.367;51.091;38.995
72.848;62.329;51.094;38.994
73.863;62.297;51.101;38.999
74.86;62.257;51.104;38.998
75.865;62.23;51.111;39.001
76.876;62.197;51.112;38.999
77.862;62.177;51.118;39.003
78.856;62.16;51.119;39.001
79.842;62.142;51.124;39.002
80.827;62.096;51.126;39.002
81.821;62.099;51.127;39.001
82.83;62.064;51.13;39.002
83.812;62.041;51.132;39.001
84.801;62.021;51.137;39.004
85.774;61.988;51.14;39.003
86.79;61.964;51.143;39.005
87.812;61.935;51.147;39.006
88.819;61.907;51.149;39.005
89.808;61.9;51.152;39.007
90.804;61.878;51.155;39.007
91.823;61.85;51.16;39.009
92.809;61.835;51.161;39.009
93.808;61.806;51.161;39.006
94.805;61.774;51.163;39.007
95.805;61.749;51.165;39.006
96.804;61.747;51.166;39.006
97.805;61.715;51.168;39.006
98.799;61.705;51.17;39.005
99.8;61.682;51.171;39.005
100.795;61.661;51.174;39.006
101.789;61.647;51.176;39.006
102.789;61.631;51.178;39.006
103.804;61.604;51.179;39.005
104.801;61.593;51.183;39.008
105.801;61.571;51.184;39.006
106.807;61.553;51.187;39.007
107.819;61.52;51.188;39.005
108.819;61.513;51.19;39.006
109.818;61.515;51.192;39.007
110.825;61.509;51.194;39.007
111.805;61.458;51.193;39.004
112.808;61.432;51.193;39.002
113.81;61.436;51.2;39.007
114.813;61.42;51.199;39.005
115.822;61.399;51.198;39.002
116.822;61.397;51.205;39.007
117.82;61.378;51.206;39.006
118.822;61.357;51.207;39.005
119.812;61.345;51.208;39.005
120.813;61.33;51.209;39.004
121.796;61.302;51.212;39.005
122.78;61.299;51.214;39.006
123.788;61.283;51.215;39.005
124.793;61.241;51.221;39.009
125.802;61.232;51.22;39.006
126.803;61.222;51.223;39.008
127.813;61.193;51.224;39.007
128.813;61.199;51.223;39.005
129.818;61.183;51.224;39.004
130.802;61.169;51.226;39.004
131.804;61.163;51.228;39.006
132.791;61.139;51.227;39.003
133.814;61.126;51.23;39.004
134.81;61.121;51.232;39.004
135.812;61.108;51.235;39.006
136.8;61.084;51.237;39.006
137.818;61.088;51.236;39.005
138.813;61.07;51.239;39.006
139.811;61.055;51.238;39.003
140.814;61.037;51.243;39.007
141.809;61.032;51.243;39.005
142.799;61.022;51.243;39.004
143.795;60.997;51.248;39.007
144.794;60.977;51.247;39.004
145.792;60.967;51.249;39.005
146.799;60.94;51.252;39.006
147.795;60.926;51.255;39.007
148.787;60.919;51.257;39.009
149.794;60.906;51.259;39.008
150.79;60.904;51.261;39.01
151.782;60.881;51.265;39.012
152.788;60.875;51.265;39.01
153.789;60.864;51.267;39.011
154.792;60.855;51.267;39.01
155.78;60.847;51.269;39.011
156.787;60.84;51.27;39.01
157.796;60.835;51.27;39.009
158.778;60.819;51.271;39.009
159.791;60.801;51.272;39.007
160.781;60.793;51.275;39.009
161.796;60.778;51.274;39.007
162.806;60.778;51.275;39.008
163.798;60.761;51.276;39.007
164.792;60.748;51.28;39.009
165.794;60.741;51.283;39.011
166.783;60.727;51.283;39.009
167.767;60.713;51.281;39.007
168.761;60.702;51.286;39.01
169.758;60.69;51.288;39.011
170.76;60.687;51.288;39.009
171.767;60.669;51.292;39.012
172.758;60.622;51.291;39.009
173.751;60.649;51.299;39.015
174.752;60.601;51.297;39.013
175.753;60.592;51.297;39.011
176.76;60.571;51.3;39.013
177.75;60.573;51.298;39.01
178.75;60.559;51.303;39.013
179.752;60.57;51.302;39.011
180.75;60.552;51.306;39.013
181.73;60.543;51.308;39.014
182.735;60.531;51.305;39.01
183.73;60.521;51.307;39.01
184.743;60.51;51.31;39.013
185.74;60.512;51.311;39.012
