IDs:;240715_07_240712F;07_DNAJB6_00_658_uM;;*shifted by 3 s
Concentration [uM]:;0.658;;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3];
5.063;71.041;50.467;38.968;
6.058;72.024;50.434;38.97;
7.043;71.409;50.464;38.975;
8.016;71.433;50.463;38.976;
9;71.608;50.461;38.98;
10.003;71.406;50.474;38.985;
10.982;71.377;50.475;38.986;
11.976;71.469;50.474;38.987;
12.955;71.37;50.483;38.992;
13.938;71.367;50.484;38.992;
14.932;71.346;50.484;38.993;
15.907;71.293;50.49;38.997;
16.902;71.277;50.493;38.997;
17.899;71.201;50.491;38.995;
18.879;71.237;50.497;38.998;
19.879;71.135;50.5;39;
20.886;71.161;50.505;39.001;
21.87;71.075;50.507;39.002;
22.861;71.029;50.51;39.004;
23.864;70.967;50.513;39.004;
24.868;70.943;50.517;39.006;
25.852;70.859;50.523;39.009;
26.845;70.789;50.529;39.011;
27.837;70.741;50.534;39.013;
28.808;70.691;50.536;39.012;
29.82;70.632;50.541;39.014;
30.813;70.58;50.543;39.012;
31.817;70.517;50.55;39.016;
32.818;70.44;50.552;39.014;
33.816;70.347;50.561;39.018;
34.81;70.251;50.568;39.021;
35.816;70.176;50.57;39.019;
36.805;70.093;50.576;39.021;
37.806;69.991;50.579;39.018;
38.811;69.91;50.585;39.02;
39.814;69.769;50.587;39.017;
40.812;69.657;50.594;39.018;
41.803;69.555;50.602;39.02;
42.799;69.419;50.603;39.016;
43.811;69.351;50.609;39.015;
44.818;69.26;50.611;39.012;
45.815;69.121;50.619;39.015;
46.816;69.005;50.626;39.015;
47.806;68.894;50.633;39.015;
48.803;68.805;50.638;39.016;
49.79;68.723;50.643;39.015;
50.805;68.593;50.655;39.02;
51.807;68.475;50.665;39.023;
52.81;68.387;50.669;39.02;
53.826;68.271;50.675;39.019;
54.812;68.145;50.682;39.02;
55.815;68.019;50.691;39.022;
56.818;67.923;50.698;39.023;
