IDs:;240716_09_240712G;09_DNAJB6_00_439_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.98;71.772;50.415;38.962
6.974;72.349;50.387;38.96
7.972;71.748;50.422;38.969
8.969;72.047;50.405;38.965
9.969;72.108;50.403;38.965
10.979;72.091;50.406;38.968
11.98;72.002;50.413;38.97
12.979;72.044;50.41;38.969
13.956;71.979;50.417;38.973
14.97;71.975;50.419;38.976
15.992;72;50.419;38.976
16.982;71.99;50.418;38.976
17.963;72.003;50.417;38.974
18.967;71.989;50.421;38.979
19.942;71.987;50.424;38.981
20.951;71.981;50.423;38.98
21.933;72.006;50.422;38.98
22.927;71.984;50.423;38.981
23.913;71.97;50.424;38.98
24.899;71.985;50.425;38.982
25.899;71.978;50.425;38.982
26.886;71.992;50.426;38.983
27.873;71.98;50.426;38.982
28.867;71.996;50.43;38.986
29.861;71.967;50.428;38.985
30.869;71.975;50.427;38.984
31.868;71.967;50.43;38.986
32.847;71.975;50.43;38.986
33.845;71.981;50.43;38.986
34.848;71.965;50.435;38.991
35.832;71.966;50.431;38.986
36.823;71.966;50.436;38.992
37.816;71.943;50.434;38.99
38.802;71.956;50.434;38.989
39.789;71.962;50.435;38.991
40.765;71.974;50.432;38.988
41.767;71.948;50.437;38.992
42.751;71.955;50.434;38.99
43.728;71.955;50.434;38.989
44.73;71.951;50.437;38.992
45.729;71.956;50.436;38.991
46.732;71.93;50.439;38.994
47.729;71.954;50.44;38.995
48.704;71.954;50.436;38.991
49.688;71.947;50.439;38.993
50.691;71.946;50.439;38.994
51.673;71.937;50.439;38.994
52.693;71.922;50.44;38.994
53.677;71.917;50.444;38.998
54.657;71.908;50.443;38.997
55.673;71.939;50.443;38.997
56.667;71.909;50.443;38.997
57.659;71.915;50.445;38.998
58.624;71.923;50.444;38.997
59.627;71.915;50.445;38.998
60.618;71.897;50.446;38.999
61.614;71.899;50.446;38.998
62.6;71.894;50.446;38.998
63.587;71.889;50.451;39.004
64.567;71.895;50.451;39.003
65.553;71.874;50.45;39.002
66.554;71.86;50.45;39.002
67.529;71.883;50.451;39.003
68.522;71.856;50.453;39.005
69.518;71.866;50.454;39.005
70.516;71.845;50.456;39.006
71.538;71.856;50.453;39.003
72.531;71.843;50.454;39.005
73.526;71.829;50.455;39.005
74.535;71.841;50.455;39.006
75.514;71.832;50.456;39.006
76.518;71.836;50.455;39.005
77.521;71.827;50.456;39.006
78.514;71.816;50.457;39.006
79.52;71.821;50.457;39.007
80.523;71.802;50.458;39.007
81.512;71.821;50.456;39.006
82.508;71.801;50.459;39.007
83.486;71.818;50.46;39.009
84.477;71.8;50.46;39.008
85.455;71.773;50.459;39.006
86.465;71.795;50.459;39.007
87.45;71.792;50.458;39.006
88.467;71.775;50.46;39.006
89.468;71.762;50.461;39.008
90.467;71.782;50.461;39.008
91.472;71.747;50.461;39.007
92.469;71.781;50.461;39.007
93.454;71.742;50.461;39.007
94.46;71.743;50.462;39.008
95.465;71.749;50.462;39.008
96.468;71.726;50.464;39.008
97.457;71.727;50.463;39.007
98.457;71.719;50.464;39.008
99.456;71.739;50.463;39.007
100.451;71.712;50.465;39.009
101.456;71.715;50.464;39.007
102.439;71.702;50.464;39.007
103.431;71.717;50.467;39.01
104.423;71.68;50.466;39.008
105.42;71.677;50.466;39.007
106.428;71.674;50.467;39.007
107.429;71.655;50.465;39.006
108.417;71.675;50.465;39.005
109.405;71.658;50.466;39.006
110.408;71.658;50.464;39.004
