IDs:;240716_10_240712H;10_DNAJB6_00_293_uM;
Concentration [uM]:;0.293;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.006;72.26;50.393;38.953
5.985;71.9;50.412;38.958
6.987;72.206;50.402;38.959
7.986;71.62;50.434;38.969
8.975;71.708;50.434;38.971
9.973;71.766;50.432;38.972
10.961;71.709;50.436;38.974
11.971;71.903;50.43;38.974
12.95;71.756;50.435;38.975
13.93;71.802;50.439;38.979
14.931;71.779;50.44;38.98
15.918;71.785;50.439;38.98
16.914;71.791;50.44;38.981
17.93;71.802;50.441;38.982
18.919;71.769;50.442;38.983
19.9;71.779;50.443;38.984
20.895;71.783;50.442;38.983
21.872;71.776;50.445;38.986
22.851;71.779;50.447;38.988
23.829;71.814;50.444;38.985
24.825;71.78;50.449;38.989
25.825;71.733;50.445;38.985
26.809;71.784;50.449;38.989
27.799;71.809;50.446;38.987
28.779;71.759;50.451;38.99
29.773;71.758;50.451;38.99
30.758;71.789;50.45;38.991
31.76;71.776;50.453;38.993
32.744;71.778;50.454;38.993
33.742;71.767;50.452;38.992
34.721;71.772;50.452;38.992
35.714;71.786;50.454;38.994
36.719;71.769;50.452;38.992
37.72;71.763;50.454;38.994
38.712;71.753;50.455;38.994
39.702;71.797;50.453;38.994
40.71;71.79;50.458;38.998
41.714;71.747;50.455;38.994
42.723;71.76;50.459;38.998
43.735;71.803;50.457;38.997
44.71;71.782;50.458;38.997
45.702;71.758;50.461;38.999
46.698;71.792;50.457;38.997
47.708;71.779;50.462;39.001
48.712;71.772;50.459;38.998
49.725;71.759;50.461;39.001
50.709;71.766;50.46;38.999
51.704;71.746;50.46;38.998
52.714;71.749;50.461;39
53.728;71.77;50.462;39.001
54.737;71.747;50.463;39.001
55.75;71.748;50.465;39.003
56.751;71.733;50.459;38.998
57.733;71.763;50.461;39
58.736;71.739;50.465;39.003
59.707;71.732;50.463;39.002
60.726;71.755;50.464;39.003
61.741;71.743;50.463;39.001
62.734;71.762;50.464;39.003
63.727;71.753;50.464;39.002
64.74;71.747;50.465;39.003
65.74;71.765;50.466;39.004
66.742;71.743;50.464;39.002
67.734;71.736;50.466;39.004
68.737;71.737;50.467;39.004
69.744;71.713;50.464;39.003
70.746;71.758;50.464;39.002
71.73;71.746;50.466;39.004
72.711;71.741;50.466;39.003
73.697;71.752;50.469;39.006
74.699;71.738;50.467;39.005
75.686;71.75;50.467;39.004
76.669;71.731;50.47;39.007
77.669;71.747;50.47;39.007
78.646;71.705;50.468;39.004
79.636;71.744;50.469;39.006
80.618;71.741;50.468;39.006
81.626;71.748;50.469;39.006
82.63;71.717;50.469;39.005
83.625;71.736;50.468;39.005
84.619;71.747;50.467;39.005
85.619;71.74;50.468;39.004
86.608;71.751;50.468;39.005
87.596;71.716;50.467;39.003
88.618;71.728;50.468;39.005
89.628;71.756;50.466;39.004
90.638;71.774;50.467;39.005
91.652;71.759;50.468;39.005
92.651;71.715;50.469;39.006
93.649;71.74;50.469;39.006
94.65;71.705;50.47;39.006
95.653;71.716;50.466;39.003
96.629;71.734;50.47;39.006
97.629;71.705;50.468;39.005
98.635;71.705;50.469;39.005
99.629;71.732;50.472;39.009
100.633;71.719;50.469;39.005
101.636;71.757;50.47;39.007
102.645;71.711;50.468;39.005
103.639;71.71;50.469;39.006
104.644;71.707;50.471;39.007
105.636;71.722;50.467;39.003
106.627;71.737;50.472;39.008
107.626;71.722;50.47;39.006
108.647;71.719;50.471;39.007
109.655;71.712;50.472;39.007
110.662;71.701;50.472;39.007
111.646;71.692;50.473;39.009
112.666;71.693;50.473;39.008
113.651;71.722;50.471;39.007
114.631;71.694;50.473;39.008
115.615;71.685;50.472;39.007
116.637;71.673;50.473;39.008
117.649;71.713;50.471;39.006
118.656;71.711;50.47;39.005
119.636;71.717;50.471;39.006
120.653;71.713;50.471;39.006
121.653;71.739;50.471;39.007
122.639;71.698;50.472;39.007
