IDs:;240716_11_240712I;11_DNAJB6_00_195_uM;
Concentration [uM]:;0.195;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.965;72.221;50.401;38.951
6.972;71.323;50.435;38.951
7.972;71.597;50.428;38.956
8.952;71.532;50.433;38.958
9.959;71.582;50.43;38.957
10.936;71.647;50.434;38.963
11.945;71.643;50.436;38.965
12.923;71.652;50.434;38.965
13.918;71.652;50.439;38.968
14.897;71.624;50.433;38.963
15.893;71.665;50.439;38.97
16.887;71.622;50.434;38.964
17.886;71.672;50.44;38.971
18.889;71.695;50.441;38.969
19.889;71.678;50.442;38.972
20.888;71.602;50.441;38.97
21.891;71.75;50.445;38.975
22.866;71.706;50.446;38.975
23.846;71.667;50.445;38.974
24.84;71.643;50.445;38.974
25.841;71.625;50.444;38.973
26.845;71.631;50.445;38.973
27.849;71.63;50.447;38.976
28.837;71.679;50.449;38.976
29.831;71.638;50.448;38.977
30.806;71.641;50.447;38.976
31.804;71.625;50.447;38.976
32.804;71.706;50.451;38.98
33.796;71.641;50.453;38.981
34.806;71.703;50.452;38.98
35.808;71.651;50.449;38.978
36.813;71.709;50.454;38.982
37.795;71.643;50.45;38.978
38.787;71.69;50.456;38.984
39.808;71.629;50.45;38.979
40.801;71.645;50.45;38.979
41.795;71.69;50.456;38.983
42.784;71.644;50.454;38.982
43.782;71.633;50.455;38.983
44.774;71.655;50.452;38.981
45.774;71.649;50.454;38.983
46.789;71.673;50.458;38.984
47.805;71.635;50.454;38.983
48.807;71.657;50.455;38.984
49.808;71.675;50.46;38.986
50.794;71.686;50.459;38.986
51.775;71.639;50.452;38.981
52.768;71.616;50.459;38.986
53.764;71.656;50.452;38.982
54.759;71.605;50.458;38.984
55.758;71.598;50.459;38.986
56.75;71.653;50.462;38.989
57.743;71.617;50.455;38.983
58.736;71.71;50.458;38.986
59.714;71.682;50.46;38.987
60.716;71.657;50.46;38.988
61.7;71.593;50.456;38.983
62.699;71.696;50.464;38.991
63.707;71.694;50.463;38.989
64.685;71.641;50.458;38.986
65.689;71.7;50.465;38.991
66.688;71.629;50.459;38.986
67.689;71.614;50.46;38.988
68.683;71.621;50.46;38.988
69.684;71.652;50.459;38.987
70.663;71.698;50.464;38.991
71.689;71.637;50.458;38.986
72.682;71.626;50.46;38.988
