IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.988;71.549;50.454;38.972
6.997;72.144;50.43;38.97
8;71.305;50.467;38.976
8.987;71.656;50.461;38.982
9.988;71.807;50.452;38.979
10.977;71.809;50.456;38.982
11.955;71.554;50.464;38.981
12.966;71.68;50.464;38.984
13.96;71.728;50.463;38.985
14.946;71.666;50.467;38.988
15.949;71.671;50.467;38.988
16.928;71.677;50.466;38.986
17.909;71.668;50.47;38.989
18.902;71.638;50.469;38.99
19.898;71.655;50.472;38.992
20.872;71.661;50.47;38.989
21.854;71.665;50.471;38.991
22.866;71.661;50.475;38.994
23.843;71.691;50.475;38.996
24.854;71.675;50.475;38.995
25.839;71.619;50.472;38.992
26.831;71.686;50.476;38.996
27.826;71.607;50.472;38.992
28.825;71.631;50.474;38.994
29.825;71.682;50.475;38.995
30.828;71.679;50.477;38.997
31.811;71.666;50.477;38.997
32.809;71.668;50.481;39
33.812;71.614;50.474;38.994
34.817;71.678;50.478;38.998
35.832;71.599;50.478;38.996
36.823;71.68;50.476;38.997
37.821;71.648;50.477;38.997
38.814;71.692;50.478;38.999
39.818;71.665;50.479;38.998
40.815;71.663;50.477;38.997
41.808;71.645;50.479;38.998
42.812;71.637;50.481;39
43.804;71.634;50.477;38.997
44.814;71.664;50.481;39
45.83;71.649;50.48;38.999
46.813;71.672;50.483;39.002
47.799;71.657;50.477;38.997
48.786;71.652;50.479;38.999
49.804;71.673;50.48;38.999
50.805;71.646;50.48;38.999
51.809;71.652;50.485;39.004
52.809;71.598;50.479;38.998
53.809;71.652;50.483;39.002
54.815;71.66;50.483;39.002
55.815;71.657;50.48;39
56.794;71.697;50.483;39.004
57.803;71.662;50.481;39
58.792;71.654;50.486;39.005
59.796;71.616;50.479;38.999
60.776;71.651;50.484;39.003
61.787;71.61;50.478;38.998
62.796;71.631;50.477;38.996
63.791;71.651;50.48;38.999
64.792;71.667;50.482;39.002
65.784;71.655;50.481;39
66.772;71.639;50.481;39
67.761;71.626;50.485;39.004
68.77;71.656;50.48;38.999
69.779;71.652;50.481;39.001
70.793;71.674;50.482;39.001
71.793;71.581;50.481;38.999
72.795;71.663;50.481;39
73.8;71.648;50.485;39.004
74.793;71.658;50.484;39.003
75.783;71.636;50.481;39
76.788;71.66;50.483;39.003
77.803;71.635;50.481;39.001
78.817;71.662;50.484;39.003
79.835;71.639;50.487;39.005
80.837;71.613;50.48;38.998
81.836;71.683;50.486;39.006
82.841;71.603;50.481;38.999
83.829;71.63;50.481;39.001
84.805;71.642;50.482;39
85.798;71.656;50.485;39.004
86.788;71.636;50.483;39.002
87.777;71.613;50.482;39.001
88.78;71.637;50.485;39.004
89.756;71.649;50.488;39.006
90.762;71.644;50.485;39.003
91.753;71.661;50.484;39.003
92.742;71.625;50.487;39.004
93.742;71.608;50.483;39.002
94.746;71.619;50.491;39.009
95.735;71.637;50.488;39.006
96.728;71.633;50.488;39.006
97.725;71.632;50.489;39.007
98.745;71.67;50.488;39.007
99.739;71.644;50.491;39.009
100.739;71.632;50.489;39.007
101.757;71.639;50.489;39.007
102.752;71.64;50.489;39.007
103.745;71.617;50.486;39.005
104.766;71.646;50.488;39.007
105.773;71.629;50.488;39.006
106.778;71.602;50.484;39.002
107.766;71.643;50.489;39.007
108.75;71.624;50.49;39.008
109.752;71.607;50.489;39.007
110.75;71.639;50.49;39.008
111.753;71.583;50.489;39.008
112.739;71.641;50.491;39.009
113.741;71.635;50.492;39.011
114.737;71.644;50.491;39.01
115.724;71.648;50.492;39.01
116.728;71.621;50.491;39.009
117.741;71.623;50.493;39.011
118.747;71.651;50.491;39.011
119.753;71.632;50.489;39.007
120.759;71.63;50.49;39.008
121.752;71.627;50.492;39.011
122.761;71.611;50.486;39.005
123.745;71.618;50.491;39.009
124.74;71.657;50.486;39.006
125.752;71.612;50.49;39.008
126.739;71.636;50.485;39.004
127.742;71.617;50.486;39.005
128.73;71.618;50.488;39.007
129.732;71.63;50.489;39.007
130.734;71.634;50.489;39.007
131.717;71.619;50.49;39.008
132.729;71.624;50.491;39.009
133.725;71.629;50.489;39.008
134.723;71.636;50.49;39.009
135.727;71.63;50.488;39.007
136.733;71.646;50.49;39.009
137.722;71.628;50.489;39.007
138.713;71.594;50.488;39.006
139.707;71.623;50.49;39.008
140.704;71.635;50.487;39.006
