IDs:;240911_02_240906B_drop;13_b02_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.975;72.052;49.743;38.285
6.953;71.95;49.748;38.287
7.946;72.182;49.742;38.29
8.942;72.024;49.754;38.294
9.925;71.991;49.756;38.296
10.913;72.004;49.759;38.299
11.902;71.885;49.766;38.301
12.866;71.87;49.77;38.306
13.862;71.995;49.765;38.304
14.864;71.935;49.768;38.306
15.852;71.965;49.768;38.307
16.82;71.953;49.772;38.31
17.801;71.929;49.774;38.311
18.785;71.925;49.775;38.313
19.779;71.914;49.775;38.312
20.784;71.935;49.779;38.317
21.801;71.934;49.778;38.315
22.79;71.921;49.784;38.321
23.784;71.935;49.782;38.32
24.781;71.914;49.784;38.321
25.783;71.921;49.787;38.323
26.79;71.943;49.787;38.323
27.776;71.931;49.786;38.322
28.763;71.951;49.784;38.321
29.765;71.917;49.789;38.326
30.782;71.921;49.79;38.326
31.777;71.909;49.794;38.33
32.784;71.906;49.792;38.328
33.763;71.934;49.794;38.33
34.76;71.914;49.793;38.329
35.76;71.933;49.796;38.332
36.765;71.929;49.796;38.333
37.744;71.947;49.793;38.33
38.758;71.931;49.794;38.331
39.744;71.898;49.8;38.337
40.749;71.938;49.798;38.334
41.743;71.917;49.802;38.337
42.747;71.925;49.804;38.341
43.741;71.906;49.801;38.336
44.744;71.929;49.802;38.338
45.753;71.904;49.802;38.337
46.756;71.945;49.803;38.34
47.758;71.922;49.803;38.339
48.772;71.942;49.803;38.34
49.767;71.947;49.799;38.336
50.761;71.961;49.801;38.339
51.77;71.948;49.802;38.339
52.748;71.935;49.804;38.339
53.74;71.897;49.807;38.342
54.734;71.948;49.807;38.343
55.747;71.913;49.808;38.343
56.755;71.929;49.807;38.343
57.749;71.91;49.808;38.344
58.741;71.945;49.808;38.344
59.747;71.914;49.809;38.345
60.747;71.908;49.806;38.342
61.75;71.94;49.813;38.349
62.742;71.949;49.81;38.346
63.748;71.929;49.81;38.345
64.746;71.951;49.812;38.348
65.756;71.912;49.812;38.348
66.746;71.927;49.815;38.351
67.731;71.935;49.814;38.349
68.722;71.916;49.811;38.346
69.721;71.925;49.816;38.352
70.715;71.933;49.815;38.35
71.716;71.921;49.815;38.35
72.728;71.931;49.818;38.354
73.73;71.928;49.813;38.349
74.746;71.914;49.818;38.353
75.733;71.929;49.814;38.35
76.743;71.919;49.817;38.352
77.755;71.933;49.816;38.352
78.761;71.951;49.821;38.358
79.776;71.946;49.815;38.351
80.792;71.921;49.818;38.353
81.781;71.935;49.817;38.353
82.789;71.92;49.82;38.355
83.794;71.917;49.82;38.354
84.807;71.932;49.822;38.358
85.804;71.911;49.821;38.355
86.806;71.931;49.823;38.358
87.798;71.929;49.818;38.354
88.8;71.938;49.819;38.355
89.787;71.927;49.821;38.357
90.784;71.922;49.82;38.355
91.796;71.926;49.821;38.357
92.781;71.936;49.824;38.359
93.783;71.946;49.823;38.358
94.776;71.925;49.825;38.361
95.775;71.894;49.826;38.36
96.769;71.94;49.824;38.36
97.753;71.927;49.824;38.359
98.74;71.92;49.825;38.361
99.737;71.938;49.827;38.362
100.727;71.928;49.825;38.36
101.738;71.953;49.826;38.362
102.749;71.937;49.827;38.363
103.752;71.922;49.825;38.36
104.751;71.943;49.824;38.359
105.76;71.925;49.829;38.364
106.745;71.946;49.828;38.363
107.759;71.946;49.828;38.364
108.764;71.948;49.827;38.362
109.746;71.949;49.825;38.36
110.733;71.969;49.827;38.363
111.738;71.909;49.831;38.365
112.744;71.949;49.826;38.362
113.728;71.914;49.828;38.362
114.747;71.93;49.828;38.363
115.751;71.924;49.829;38.364
116.752;71.971;49.825;38.361
117.758;71.936;49.83;38.365
118.762;71.945;49.828;38.363
119.765;71.936;49.83;38.366
120.77;71.93;49.829;38.364
121.762;71.947;49.826;38.362
122.763;71.912;49.832;38.367
123.758;71.923;49.833;38.367
124.763;71.908;49.831;38.365
125.758;71.971;49.829;38.365
126.762;71.879;49.831;38.364
127.776;71.913;49.83;38.364
128.788;71.942;49.832;38.367
129.789;71.913;49.832;38.367
130.796;71.924;49.834;38.368
131.792;71.914;49.832;38.366
132.796;71.932;49.832;38.366
133.784;71.95;49.831;38.366
134.783;71.96;49.833;38.367
135.776;71.924;49.833;38.367
136.767;71.929;49.831;38.366
137.768;71.93;49.838;38.372
138.758;71.93;49.832;38.366
