IDs:;240717_14_240712K;14_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.035;70.772;50.452;38.945
6.025;72.38;50.386;38.945
7.033;71.372;50.43;38.947
8.022;71.461;50.429;38.951
9.023;71.991;50.411;38.952
10.001;71.851;50.421;38.957
10.988;71.686;50.43;38.96
11.968;71.705;50.431;38.962
12.966;71.592;50.432;38.959
13.969;71.719;50.434;38.965
14.975;71.704;50.434;38.965
15.948;71.702;50.436;38.966
16.952;71.685;50.438;38.969
17.933;71.697;50.439;38.97
18.947;71.683;50.442;38.972
19.965;71.644;50.436;38.967
20.961;71.673;50.442;38.973
21.932;71.691;50.442;38.972
22.941;71.699;50.443;38.974
23.925;71.666;50.44;38.971
24.922;71.669;50.448;38.977
25.919;71.662;50.445;38.975
26.923;71.676;50.447;38.977
27.929;71.677;50.449;38.979
28.916;71.649;50.446;38.975
29.913;71.692;50.449;38.979
30.917;71.668;50.448;38.978
31.914;71.67;50.449;38.979
32.903;71.668;50.447;38.977
33.897;71.682;50.453;38.982
34.885;71.642;50.448;38.978
35.878;71.682;50.452;38.982
36.892;71.693;50.453;38.982
37.89;71.632;50.45;38.98
38.896;71.67;50.453;38.981
39.903;71.67;50.452;38.982
40.905;71.661;50.456;38.985
41.909;71.677;50.456;38.985
42.903;71.648;50.454;38.983
43.903;71.669;50.455;38.983
44.896;71.672;50.453;38.982
45.902;71.664;50.455;38.984
46.892;71.66;50.454;38.983
47.886;71.691;50.458;38.987
48.896;71.708;50.455;38.985
49.908;71.668;50.456;38.984
50.907;71.652;50.458;38.987
51.905;71.679;50.458;38.987
52.888;71.645;50.457;38.987
53.891;71.679;50.457;38.986
54.879;71.656;50.46;38.989
55.896;71.672;50.46;38.989
56.901;71.638;50.459;38.988
57.907;71.628;50.456;38.985
58.881;71.649;50.46;38.988
59.876;71.661;50.461;38.99
60.858;71.629;50.46;38.988
61.849;71.676;50.461;38.99
62.84;71.665;50.459;38.988
63.844;71.676;50.463;38.991
64.844;71.648;50.459;38.988
65.855;71.655;50.46;38.989
66.849;71.658;50.462;38.989
67.851;71.662;50.459;38.987
68.853;71.666;50.461;38.99
69.864;71.661;50.46;38.988
70.864;71.636;50.461;38.989
71.876;71.651;50.462;38.99
72.863;71.654;50.462;38.99
73.859;71.671;50.462;38.991
74.846;71.642;50.458;38.986
75.832;71.676;50.463;38.991
76.822;71.614;50.461;38.989
77.834;71.613;50.462;38.989
78.843;71.676;50.462;38.991
79.828;71.652;50.464;38.992
80.835;71.67;50.463;38.992
81.838;71.644;50.462;38.99
82.847;71.651;50.464;38.992
83.842;71.657;50.465;38.993
84.834;71.638;50.463;38.99
85.828;71.658;50.466;38.994
86.833;71.659;50.462;38.99
87.825;71.655;50.463;38.992
88.817;71.642;50.464;38.993
89.827;71.635;50.463;38.991
90.823;71.646;50.465;38.994
91.828;71.647;50.464;38.993
92.837;71.618;50.465;38.993
93.841;71.662;50.466;38.994
94.834;71.634;50.464;38.991
95.831;71.672;50.466;38.994
96.826;71.615;50.465;38.992
97.829;71.652;50.465;38.992
98.821;71.658;50.464;38.993
99.832;71.631;50.464;38.991
100.832;71.628;50.466;38.994
101.846;71.65;50.464;38.992
102.832;71.637;50.465;38.993
103.851;71.645;50.466;38.994
104.857;71.649;50.464;38.992
105.848;71.627;50.463;38.991
106.869;71.645;50.465;38.994
107.873;71.65;50.466;38.993
108.869;71.669;50.467;38.995
109.883;71.665;50.465;38.993
110.877;71.641;50.464;38.992
111.87;71.617;50.468;38.997
112.886;71.621;50.465;38.992
113.894;71.635;50.465;38.992
114.887;71.64;50.47;38.998
115.886;71.647;50.467;38.995
116.885;71.622;50.466;38.994
117.873;71.618;50.466;38.993
118.86;71.647;50.467;38.995
119.849;71.632;50.47;38.997
120.853;71.616;50.469;38.996
121.853;71.63;50.466;38.994
122.861;71.642;50.47;38.997
123.865;71.682;50.47;38.999
124.852;71.621;50.469;38.997
125.841;71.629;50.469;38.996
126.85;71.627;50.469;38.997
127.865;71.615;50.469;38.997
128.861;71.652;50.471;38.998
129.847;71.655;50.474;39.002
130.865;71.662;50.471;38.999
131.865;71.628;50.47;38.997
132.868;71.637;50.472;38.999
133.855;71.641;50.469;38.997
134.84;71.624;50.473;39
135.86;71.651;50.476;39.003
136.851;71.592;50.468;38.995
137.849;71.642;50.473;39
138.851;71.637;50.472;38.999
139.865;71.635;50.472;39
140.868;71.671;50.472;39
141.844;71.637;50.474;39.001
142.828;71.608;50.47;38.998
143.816;71.647;50.472;38.999
144.803;71.622;50.471;38.999
145.807;71.621;50.472;38.999
146.793;71.647;50.468;38.995
147.789;71.62;50.477;39.003
148.792;71.665;50.468;38.997
149.793;71.599;50.472;38.999
150.794;71.658;50.475;39.002
151.785;71.62;50.47;38.997
152.766;71.633;50.475;39.003
153.758;71.623;50.475;39.002
154.754;71.632;50.472;38.999
