IDs:;240911_03_240712D;15_b01_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.006;72.247;49.74;38.273
6.019;72.013;49.755;38.279
7.008;71.817;49.768;38.285
8.02;71.828;49.768;38.286
9.022;71.729;49.778;38.29
10.032;71.63;49.783;38.292
11.024;71.802;49.779;38.294
12.031;71.641;49.784;38.294
13.015;71.749;49.786;38.298
14.006;71.662;49.786;38.297
15.001;71.752;49.789;38.301
16;71.69;49.788;38.3
17.002;71.757;49.79;38.303
17.984;71.7;49.795;38.307
18.976;71.718;49.798;38.309
19.976;71.715;49.797;38.309
20.963;71.725;49.8;38.31
21.949;71.693;49.799;38.311
22.947;71.762;49.803;38.315
23.949;71.716;49.801;38.313
24.926;71.704;49.804;38.315
25.905;71.729;49.807;38.318
26.889;71.699;49.81;38.32
27.881;71.719;49.805;38.316
28.874;71.647;49.807;38.316
29.852;71.674;49.809;38.319
30.837;71.761;49.806;38.318
31.835;71.69;49.807;38.318
32.848;71.727;49.811;38.322
33.842;71.705;49.813;38.324
34.843;71.705;49.812;38.323
35.837;71.673;49.813;38.323
36.832;71.678;49.813;38.323
37.832;71.687;49.812;38.321
38.831;71.709;49.812;38.323
39.834;71.696;49.814;38.324
40.818;71.697;49.812;38.322
41.824;71.687;49.815;38.325
42.804;71.685;49.814;38.325
43.81;71.686;49.818;38.327
44.809;71.681;49.816;38.326
45.81;71.695;49.818;38.327
46.811;71.676;49.815;38.325
47.815;71.686;49.816;38.326
48.809;71.664;49.815;38.325
49.801;71.731;49.817;38.327
50.813;71.694;49.818;38.329
51.824;71.717;49.818;38.328
52.821;71.669;49.82;38.329
53.821;71.72;49.819;38.329
54.841;71.688;49.823;38.332
55.824;71.721;49.816;38.326
56.826;71.681;49.817;38.327
57.827;71.738;49.819;38.329
58.847;71.696;49.82;38.33
59.866;71.672;49.817;38.326
60.873;71.715;49.823;38.332
61.877;71.736;49.824;38.333
62.876;71.723;49.823;38.333
63.873;71.66;49.823;38.332
64.865;71.693;49.822;38.332
65.868;71.682;49.825;38.334
66.879;71.692;49.824;38.334
67.88;71.716;49.826;38.335
68.895;71.721;49.826;38.336
69.904;71.733;49.828;38.338
70.896;71.737;49.829;38.339
71.886;71.651;49.829;38.338
72.875;71.707;49.83;38.339
73.878;71.706;49.833;38.342
74.878;71.668;49.831;38.34
75.875;71.681;49.834;38.343
76.876;71.724;49.836;38.346
77.866;71.672;49.831;38.34
78.855;71.723;49.837;38.347
79.849;71.674;49.836;38.345
80.857;71.696;49.838;38.347
81.836;71.668;49.834;38.343
82.861;71.681;49.838;38.347
83.871;71.688;49.837;38.347
84.88;71.736;49.836;38.346
85.894;71.684;49.837;38.347
86.892;71.718;49.84;38.348
87.89;71.723;49.841;38.35
88.884;71.704;49.838;38.347
89.888;71.683;49.841;38.349
90.874;71.711;49.843;38.352
91.884;71.657;49.845;38.353
92.878;71.713;49.841;38.35
93.869;71.711;49.843;38.351
94.855;71.669;49.843;38.353
95.84;71.711;49.849;38.358
96.826;71.64;49.843;38.351
97.822;71.703;49.844;38.353
98.812;71.716;49.845;38.355
99.808;71.669;49.846;38.355
100.812;71.699;49.846;38.354
101.813;71.684;49.843;38.352
102.815;71.691;49.849;38.357
103.811;71.669;49.848;38.357
104.811;71.675;49.852;38.36
105.804;71.71;49.846;38.355
106.795;71.655;49.848;38.356
107.793;71.723;49.849;38.358
108.795;71.678;49.853;38.361
109.796;71.664;49.854;38.363
110.819;71.666;49.851;38.36
111.816;71.662;49.852;38.361
112.818;71.669;49.849;38.358
113.805;71.738;49.851;38.361
114.821;71.664;49.852;38.361
115.841;71.698;49.856;38.364
116.837;71.699;49.856;38.366
117.844;71.728;49.851;38.361
118.858;71.66;49.853;38.361
119.854;71.698;49.855;38.363
120.846;71.684;49.857;38.365
121.853;71.712;49.853;38.362
122.848;71.665;49.857;38.364
123.852;71.709;49.854;38.364
124.857;71.692;49.857;38.366
125.857;71.674;49.858;38.366
126.837;71.672;49.857;38.365
127.826;71.697;49.855;38.364
128.811;71.651;49.855;38.363
129.81;71.667;49.855;38.364
130.816;71.638;49.854;38.362
131.8;71.721;49.856;38.364
132.802;71.698;49.86;38.368
133.819;71.701;49.858;38.366
134.815;71.705;49.859;38.367
135.816;71.678;49.86;38.368
136.821;71.643;49.856;38.365
137.821;71.723;49.858;38.367
138.82;71.636;49.856;38.363
139.827;71.636;49.862;38.37
140.84;71.698;49.857;38.365
141.826;71.695;49.859;38.367
142.832;71.68;49.86;38.368
143.836;71.671;49.857;38.366
144.831;71.68;49.861;38.369
145.843;71.691;49.86;38.368
146.848;71.711;49.86;38.369
147.862;71.681;49.862;38.37
148.856;71.687;49.861;38.369
149.848;71.662;49.86;38.368
150.85;71.694;49.861;38.37
151.842;71.67;49.865;38.373
152.834;71.67;49.861;38.37
153.83;71.681;49.863;38.371
154.838;71.681;49.862;38.37
