IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.964;71.282;26.395;15.164
6.938;71.42;26.4;15.169
7.917;71.168;26.405;15.171
8.911;71.537;26.406;15.173
9.965;71.21;26.412;15.177
10.938;71.392;26.396;15.165
12.014;71.504;26.397;15.166
13.012;71.165;26.385;15.156
14.005;70.119;26.373;15.144
14.984;71.405;26.368;15.144
15.987;70.97;26.366;15.143
16.979;71.498;26.351;15.131
17.958;71.075;26.347;15.129
19.01;71.08;26.347;15.129
19.988;71.117;26.354;15.132
20.978;70.986;26.332;15.116
21.984;70.794;26.331;15.116
22.972;71.164;26.336;15.118
23.962;71.105;26.333;15.117
24.937;70.763;26.313;15.101
25.916;70.889;26.309;15.097
26.89;70.906;26.308;15.097
27.89;71.057;26.309;15.098
28.877;70.926;26.305;15.096
29.875;71.499;26.295;15.086
30.886;71.306;26.286;15.081
31.93;71.21;26.285;15.08
32.928;71.207;26.28;15.078
33.934;71.092;26.284;15.079
34.949;71.173;26.284;15.079
35.943;71.229;26.284;15.078
36.94;71.173;26.285;15.079
37.952;70.971;26.286;15.08
38.961;71.309;26.262;15.062
39.959;71.103;26.261;15.06
40.949;70.9;26.262;15.061
41.947;71.016;26.261;15.06
42.97;70.969;26.261;15.061
43.953;71.059;26.261;15.06
45.008;70.949;26.259;15.059
46.009;70.922;26.26;15.06
47.061;70.97;26.261;15.06
48.081;70.908;26.261;15.059
49.104;70.993;26.261;15.06
50.089;71.551;26.245;15.049
51.081;71.059;26.24;15.044
52.077;71.091;26.239;15.044
53.079;70.869;26.234;15.041
54.088;70.962;26.238;15.043
55.083;71.06;26.238;15.042
56.11;71.088;26.239;15.044
57.137;70.94;26.24;15.044
58.144;71.208;26.239;15.044
59.132;70.973;26.235;15.042
60.123;71.021;26.243;15.046
61.129;70.915;26.241;15.045
62.272;70.579;26.239;15.044
63.254;70.946;26.219;15.028
64.238;70.844;26.217;15.026
65.232;70.625;26.216;15.025
66.223;70.949;26.217;15.027
67.222;70.572;26.217;15.025
68.26;70.348;26.215;15.024
69.263;70.735;26.215;15.024
70.251;70.812;26.216;15.025
71.245;70.749;26.218;15.026
72.227;70.875;26.217;15.027
73.225;70.654;26.219;15.027
74.202;70.877;26.219;15.028
75.198;70.64;26.217;15.026
76.185;70.68;26.217;15.026
77.181;70.655;26.218;15.027
78.171;70.764;26.22;15.028
79.184;70.751;26.219;15.027
80.163;70.878;26.219;15.028
81.173;70.897;26.22;15.029
82.181;70.697;26.224;15.031
83.167;70.914;26.205;15.017
84.152;70.68;26.203;15.015
85.122;70.674;26.201;15.013
86.129;70.733;26.2;15.013
87.124;70.458;26.202;15.014
88.122;70.928;26.198;15.012
89.119;70.723;26.201;15.013
90.096;70.571;26.202;15.014
91.094;70.895;26.201;15.014
92.087;70.576;26.203;15.015
93.067;70.692;26.205;15.016
94.06;70.693;26.206;15.017
95.069;70.568;26.207;15.018
96.043;70.605;26.209;15.019
97.036;70.298;26.21;15.02
98.025;70.78;26.211;15.021
99.016;70.837;26.211;15.021
100.008;70.464;26.212;15.021
101.007;71.014;26.192;15.008
101.989;70.63;26.192;15.007
102.992;70.579;26.187;15.003
103.991;70.672;26.19;15.005
104.987;70.496;26.188;15.003
106.011;70.749;26.189;15.004
106.985;70.585;26.191;15.005
108.05;70.538;26.189;15.004
109.05;70.549;26.19;15.005
110.042;70.656;26.191;15.005
