IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.966;71.124;26.421;15.18
7.023;70.778;26.426;15.184
8.053;70.983;26.428;15.186
9.056;70.671;26.432;15.188
10.051;70.732;26.434;15.19
11.053;71.355;26.395;15.16
12.026;70.992;26.396;15.16
13.006;71.061;26.397;15.162
13.991;70.871;26.4;15.164
14.975;70.859;26.401;15.165
15.953;70.35;26.373;15.141
16.945;70.862;26.368;15.138
17.954;70.894;26.368;15.139
18.959;70.981;26.368;15.138
19.955;70.829;26.373;15.142
21.015;71.169;26.376;15.143
22.003;70.91;26.34;15.117
22.998;71.033;26.339;15.116
23.997;70.794;26.339;15.116
25.047;70.844;26.339;15.116
26.043;70.897;26.338;15.116
27.069;70.977;26.338;15.116
28.055;70.446;26.309;15.093
29.053;70.593;26.311;15.094
30.059;70.791;26.31;15.095
31.05;70.952;26.307;15.093
32.078;70.629;26.31;15.095
33.085;71.07;26.306;15.092
34.072;70.957;26.309;15.094
35.074;70.875;26.306;15.092
36.093;70.798;26.308;15.093
37.114;70.357;26.277;15.068
38.117;70.994;26.271;15.064
39.12;70.673;26.272;15.064
40.131;70.856;26.269;15.062
41.12;70.596;26.271;15.063
42.123;70.907;26.269;15.063
43.106;70.559;26.275;15.066
44.131;71.029;26.27;15.063
45.132;70.666;26.274;15.066
46.146;70.614;26.275;15.067
47.154;70.671;26.277;15.069
48.157;70.283;26.283;15.072
49.19;70.686;26.281;15.071
50.205;70.338;26.25;15.046
51.218;71.101;26.243;15.042
52.199;70.643;26.238;15.039
53.248;71.126;26.24;15.04
54.248;70.967;26.24;15.04
55.241;70.988;26.24;15.039
56.239;70.904;26.239;15.039
57.244;70.754;26.235;15.037
58.244;71.267;26.239;15.039
59.258;70.99;26.24;15.039
60.246;71.091;26.24;15.041
61.272;70.778;26.242;15.041
62.317;70.751;26.24;15.039
63.335;70.942;26.239;15.039
64.338;70.087;26.241;15.04
65.329;70.789;26.243;15.041
66.316;70.517;26.238;15.039
67.362;70.779;26.24;15.039
68.369;71.003;26.237;15.037
69.401;70.344;26.236;15.037
70.397;71.049;26.24;15.04
71.392;70.643;26.243;15.041
72.385;70.581;26.242;15.04
73.392;70.529;26.244;15.042
74.39;70.269;26.24;15.04
75.393;71.363;26.21;15.017
76.381;70.492;26.21;15.015
77.395;70.823;26.206;15.014
78.413;70.622;26.208;15.014
79.487;70.371;26.206;15.012
80.497;70.664;26.205;15.012
81.502;70.618;26.206;15.012
82.528;70.565;26.205;15.011
83.519;70.611;26.205;15.012
84.526;70.863;26.206;15.013
85.572;70.66;26.206;15.012
86.568;70.588;26.209;15.014
87.574;70.759;26.209;15.015
88.585;70.497;26.209;15.014
89.598;70.417;26.207;15.013
90.585;70.581;26.209;15.015
91.59;70.607;26.209;15.014
92.59;70.39;26.205;15.011
93.591;70.535;26.206;15.012
94.603;70.489;26.204;15.01
95.611;70.464;26.208;15.013
96.604;70.651;26.208;15.014
97.588;70.475;26.206;15.012
98.578;70.477;26.207;15.013
99.577;70.468;26.209;15.014
100.581;70.613;26.206;15.013
101.579;70.41;26.207;15.013
102.57;70.336;26.21;15.015
103.564;70.56;26.209;15.014
104.565;70.556;26.209;15.014
105.574;70.441;26.204;15.01
106.577;70.339;26.205;15.011
107.557;70.386;26.205;15.011
108.543;70.513;26.205;15.011
109.536;70.333;26.203;15.009
110.524;70.613;26.201;15.009
