IDs:;DNAJB6_meas3;01_DNAJB6_00_439_uM_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.03;71.4049427544748;49.792;38.628
6.024;72.6743333499367;49.759;38.638
7.013;72.4527841068086;49.78;38.647
8.016;72.2484786522862;49.792;38.652
8.994;72.2562341241692;49.796;38.656
10.001;71.8961729692767;49.806;38.657
10.994;72.1506834006015;49.808;38.665
11.988;72.0786221632961;49.812;38.666
12.989;72.0843158392296;49.817;38.671
13.965;72.0302545468949;49.819;38.672
14.948;71.9971319346882;49.821;38.674
15.939;72.0098252434482;49.827;38.679
16.908;72.0245183224087;49.83;38.684
17.884;72.002763877632;49.828;38.68
18.892;72.0365797250122;49.829;38.683
19.879;72.0613954895947;49.832;38.686
20.873;72.0485797250122;49.83;38.683
21.879;72.0473340593802;49.833;38.687
22.86;72.0472111713269;49.837;38.689
23.848;72.0349037899596;49.842;38.694
24.845;71.9732111713269;49.835;38.689
25.845;72.0677807728783;49.843;38.696
26.821;72.058534628;49.847;38.7
27.831;72.033534628;49.848;38.7
28.816;72.0364730687033;49.849;38.701
29.817;72.0263499224037;49.851;38.703
30.834;72.0304115001718;49.85;38.702
31.833;72.0102267391495;49.853;38.705
32.826;72.0151035189253;49.856;38.707
33.83;71.9717336362766;49.86;38.713
34.838;71.9579802617154;49.856;38.709
35.831;72.0178569675044;49.859;38.711
36.833;72.0265485699945;49.863;38.716
37.846;72.0036719567766;49.862;38.714
38.857;72.0124868627086;49.865;38.717
39.831;71.9536719567766;49.861;38.714
40.827;71.9468569675044;49.859;38.711
41.812;71.9547336362766;49.86;38.713
42.816;72.0331781872525;49.87;38.722
43.821;72.0261164243423;49.872;38.723
44.808;72.0121781872525;49.871;38.722
45.802;72.0281164243423;49.872;38.723
46.81;71.9994251461568;49.868;38.718
47.796;71.994301685248;49.869;38.72
48.797;71.9818692799071;49.876;38.727
49.801;72.0087456519856;49.879;38.729
50.789;72.0037456519856;49.878;38.729
51.778;72.011931079939;49.876;38.726
52.781;72.0044982846568;49.883;38.733
53.787;72.0044982846568;49.882;38.733
54.775;72.0003126615491;49.885;38.736
55.772;72.0092507685768;49.886;38.737
56.78;72.0191269547163;49.888;38.739
57.785;71.9087456519856;49.878;38.729
58.801;72.0731888662999;49.886;38.738
59.794;71.877683824092;49.879;38.73
60.801;71.9791269547163;49.89;38.739
61.788;72.0322507685768;49.886;38.737
62.784;72.035065033824;49.89;38.74
63.788;71.99781725713;49.894;38.744
64.786;71.9841888662999;49.889;38.738
65.777;71.92581725713;49.893;38.744
66.771;71.9427552896655;49.894;38.745
67.79;72.0126313267738;49.897;38.747
68.786;71.9558792152761;49.894;38.743
69.781;71.8876313267738;49.897;38.747
70.787;71.9016933128807;49.895;38.746
71.786;71.9046313267738;49.896;38.747
72.785;71.9548792152761;49.894;38.743
73.789;71.96681725713;49.894;38.744
74.797;71.9725693313426;49.9;38.748
75.811;71.9643212563374;49.904;38.752
76.8;71.8915073265853;49.899;38.749
77.806;71.9163212563374;49.904;38.752
78.811;71.8975073265853;49.899;38.749
79.793;71.9574453125;49.901;38.75
80.802;71.9444453125;49.902;38.75
81.805;71.9391351020845;49.905;38.755
82.813;71.8395073265853;49.901;38.749
83.803;71.9338867656488;49.911;38.759
84.79;71.9291971628393;49.907;38.754
85.784;71.9012592142563;49.906;38.753
86.79;71.900824658176;49.913;38.76
87.781;71.8300109525539;49.908;38.757
88.781;71.9077625413538;49.913;38.761
