IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.986;66.360998612736;51.423;39.96
6.973;65.3019238757394;51.495;39.961
7.972;64.458175862822;51.566;39.971
8.97;63.75665155753;51.625;39.978
9.971;63.19865155753;51.668;39.978
10.967;62.8012767022718;51.708;39.983
11.968;62.4979766069918;51.742;39.987
12.971;62.2179766069918;51.766;39.987
13.955;62.0089766069918;51.787;39.987
14.948;61.7698264889512;51.809;39.989
15.942;61.6099015538399;51.824;39.988
16.945;61.4826763239562;51.842;39.991
17.925;61.3373758530405;51.858;39.995
18.92;61.2440751941203;51.873;39.999
19.923;61.1069247941197;51.887;40.001
20.902;61.057;51.895;40
21.888;60.9636991058993;51.907;40.004
22.882;60.9158495764774;51.914;40.002
23.878;60.83754858825;51.926;40.006
24.881;60.7523227234838;51.937;40.009
25.89;60.71254858825;51.941;40.006
26.876;60.6476238529595;51.947;40.005
27.864;60.56554858825;51.955;40.006
28.861;60.4813980235141;51.963;40.008
29.869;60.4331720880888;51.973;40.011
30.856;60.3841720880888;51.979;40.011
31.857;60.3416238529595;51.979;40.005
32.864;60.2823227234838;51.989;40.009
33.872;60.2433227234838;51.994;40.009
34.872;60.1953227234838;51.998;40.009
35.872;60.1399460466309;52.01;40.014
36.87;60.0653227234838;52.012;40.009
37.878;60.0343980235141;52.016;40.008
38.86;59.9861720880888;52.022;40.011
39.854;59.9573227234838;52.026;40.009
40.854;59.9251720880888;52.032;40.011
41.854;59.8910967527201;52.038;40.012
42.859;59.8517198990882;52.047;40.017
43.847;59.8047198990882;52.052;40.017
44.821;59.7466444929904;52.059;40.018
45.826;59.7340214055682;52.057;40.013
46.808;59.726946046631;52.062;40.014
47.811;59.7065690750977;52.07;40.019
48.83;59.6577198990882;52.072;40.017
49.82;59.6070967527201;52.071;40.012
50.826;59.5995690750977;52.082;40.019
51.834;59.5886444929904;52.084;40.018
52.831;59.5304182039194;52.091;40.021
53.824;59.528493645408;52.093;40.02
54.837;59.4894182039194;52.098;40.021
55.853;59.4498706759065;52.095;40.015
56.856;59.4287952933929;52.1;40.016
57.854;59.3716444929904;52.105;40.018
58.86;59.3626444929904;52.108;40.018
59.854;59.3427952933929;52.108;40.016
60.851;59.3557198990882;52.114;40.017
61.863;59.3255690750977;52.117;40.019
62.852;59.2617198990882;52.119;40.017
63.861;59.2864182039194;52.125;40.021
64.862;59.2632672855379;52.13;40.023
65.851;59.226493645408;52.131;40.02
66.842;59.1635690750977;52.132;40.019
67.842;59.1627952933929;52.131;40.016
68.837;59.1247952933929;52.133;40.016
69.824;59.111946046631;52.135;40.014
70.804;59.104946046631;52.136;40.014
71.798;59.081946046631;52.139;40.014
72.798;59.0897952933929;52.144;40.016
73.802;59.0675690750977;52.149;40.019
74.796;59.0517198990882;52.149;40.017
75.791;59.0256444929904;52.153;40.018
76.789;59.0075690750977;52.156;40.019
77.79;58.993946046631;52.154;40.014
78.786;58.9807198990882;52.159;40.017
79.784;58.9827198990882;52.16;40.017
80.771;58.938493645408;52.165;40.02
81.757;58.9146444929904;52.166;40.018
82.777;58.9016444929904;52.169;40.018
83.782;58.8907198990882;52.169;40.017
84.765;58.8767952933929;52.17;40.016
85.748;58.8637952933929;52.172;40.016
86.749;58.8465690750977;52.178;40.019
87.749;58.8357952933929;52.177;40.016
88.734;58.8286444929904;52.179;40.018
89.725;58.8185690750977;52.183;40.019
90.735;58.7917952933929;52.182;40.016
91.742;58.7927198990882;52.184;40.017
92.741;58.7527952933929;52.186;40.016
93.729;58.7277198990882;52.19;40.017
94.723;58.7337952933929;52.189;40.016
95.744;58.717946046631;52.19;40.014
96.743;58.717493645408;52.197;40.02
97.752;58.7205690750977;52.197;40.019
98.749;58.7084182039194;52.201;40.021
99.731;58.6845690750977;52.202;40.019
100.716;58.6684182039194;52.206;40.021
101.719;58.6474182039194;52.207;40.021
102.725;58.6385690750977;52.206;40.019
103.741;58.649493645408;52.208;40.02
104.743;58.6273427506301;52.213;40.022
105.742;58.609493645408;52.213;40.02
106.749;58.5973427506301;52.216;40.022
107.759;58.596493645408;52.216;40.02
108.757;58.5753427506301;52.22;40.022
109.752;58.5675690750977;52.218;40.019
110.744;58.5654182039194;52.222;40.021
111.739;58.5662672855379;52.225;40.023
112.726;58.545191808641;52.228;40.024
113.741;58.536493645408;52.226;40.02
114.744;58.5042672855379;52.231;40.023
115.753;58.5033427506301;52.231;40.022
116.736;58.4960408194254;52.236;40.026
117.743;58.4901163199375;52.236;40.025
118.742;58.4732672855379;52.236;40.023
119.737;58.486191808641;52.238;40.024
120.734;58.4691163199375;52.241;40.025
121.718;58.4512672855379;52.24;40.023
122.707;58.436191808641;52.243;40.024
123.706;58.4509653071027;52.246;40.027
124.692;58.413191808641;52.247;40.024
125.708;58.4150408194254;52.249;40.026
126.702;58.4072672855379;52.247;40.023
127.702;58.4035690750977;52.245;40.019
128.717;58.3982672855379;52.25;40.023
129.733;58.3742672855379;52.251;40.023
130.721;58.3672672855379;52.253;40.023
131.717;58.3672672855379;52.254;40.023
132.73;58.3541163199375;52.257;40.025
