IDs:;240814 01_240812A_elasticity;03_DNAJB6_00_439_uM_exchange_expansion_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.139;71.8868144779449;26.22;15.163
6.16;71.8366454535354;26.22;15.164
7.17;73.9049835308623;26.211;15.162
8.18;71.9481526122924;26.214;15.161
9.179;71.3899835308623;26.221;15.162
10.217;71.8519835308623;26.218;15.162
11.216;71.0238144779449;26.224;15.163
12.226;71.9958144779449;26.219;15.163
13.227;72.6179835308623;26.216;15.162
14.214;72.55932172224;26.212;15.16
15.185;72.45632172224;26.213;15.16
16.163;72.8111526122924;26.212;15.161
17.166;72.82032172224;26.213;15.16
18.161;72.47332172224;26.214;15.16
19.161;73.29549086071;26.207;15.159
20.209;73.3785783018319;26.169;15.129
21.23;72.79240830543;26.174;15.13
22.221;72.5589183806598;26.17;15.127
23.226;72.7532383376963;26.175;15.131
24.202;72.4985783018319;26.173;15.129
25.241;72.5455783018319;26.173;15.129
26.242;70.8150594562575;26.131;15.091
27.224;71.9567173063208;26.127;15.093
28.206;73.8287173063208;26.121;15.093
29.188;71.8002042977638;26.134;15.096
30.184;72.8030594562575;26.123;15.091
31.183;72.8537173063208;26.125;15.093
32.187;72.4078883668627;26.125;15.092
33.191;72.4227173063208;26.126;15.093
34.171;72.4828883668627;26.126;15.092
35.158;72.6478883668627;26.125;15.092
36.135;72.8938883668627;26.124;15.092
37.164;72.7148883668627;26.124;15.092
38.182;72.6380594562575;26.123;15.091
39.201;72.5960594562575;26.123;15.091
40.234;73.4847216245593;26.077;15.058
41.244;72.3245822812596;26.075;15.053
42.295;73.806549580293;26.078;15.059
43.299;73.4108936978437;26.077;15.057
44.293;72.2452379314862;26.078;15.055
45.307;72.4088936978437;26.079;15.057
46.298;72.5358936978437;26.079;15.057
47.304;72.3600658001511;26.079;15.056
48.293;72.6430658001511;26.079;15.056
49.296;72.4582379314863;26.077;15.055
50.279;72.5188936978437;26.08;15.057
51.264;72.986549580293;26.081;15.059
52.274;72.204065800151;26.079;15.056
53.268;72.7758936978437;26.079;15.057
54.267;72.617065800151;26.078;15.056
55.278;72.4718936978437;26.079;15.057
56.285;72.6098936978437;26.079;15.057
57.294;72.3888936978437;26.08;15.057
58.304;72.599065800151;26.078;15.056
59.307;72.523065800151;26.077;15.056
60.309;72.7128936978437;26.079;15.057
61.334;70.6688936978437;26.089;15.057
62.317;74.994549580293;26.074;15.059
63.298;72.8052379314863;26.075;15.055
64.278;70.5758936978437;26.09;15.057
65.257;73.7867216245593;26.081;15.058
66.264;72.86137756504;26.086;15.06
67.252;73.2252379314863;26.074;15.055
68.265;73.7401077031486;26.03;15.021
69.278;72.3246272418761;26.029;15.018
70.264;72.6024540330942;26.03;15.019
71.262;72.81228085352;26.031;15.02
72.274;72.31628085352;26.032;15.02
73.286;72.74128085352;26.03;15.02
74.317;72.6051077031486;26.032;15.021
75.319;72.46328085352;26.032;15.02
76.346;72.28728085352;26.033;15.02
77.353;72.32028085352;26.033;15.02
78.396;72.4261077031486;26.034;15.021
79.385;72.6617614899947;26.035;15.023
80.371;72.2521077031486;26.035;15.021
81.382;72.4111077031486;26.035;15.021
82.373;72.27228085352;26.033;15.02
83.364;72.5711077031486;26.033;15.021
84.343;72.4191077031486;26.034;15.021
85.326;72.4649345819751;26.035;15.022
86.326;72.6029345819751;26.034;15.022
87.325;72.4839345819751;26.035;15.022
88.312;72.5949345819751;26.034;15.022
89.344;72.4307614899947;26.035;15.023
