IDs:;model_03_330_uM
Concentration [uM]:;03.330
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
0.0;72.0;Inf;Inf
1.0;72.0;Inf;Inf
2.0;72.0;Inf;Inf
3.0;72.0;Inf;Inf
4.0;72.0;Inf;Inf
5.0;71.12111858642514;Inf;Inf
6.0;69.27143497339628;Inf;Inf
7.0;67.69131180154777;Inf;Inf
8.0;66.38650210205711;Inf;Inf
9.0;65.39715906469416;Inf;Inf
10.0;64.68741435279102;Inf;Inf
11.0;64.16811803163954;Inf;Inf
12.0;63.76987858808021;Inf;Inf
13.0;63.45100550550775;Inf;Inf
14.0;63.18687616476373;Inf;Inf
15.0;62.96231655441717;Inf;Inf
16.0;62.76749379128169;Inf;Inf
17.0;62.595738895291504;Inf;Inf
18.0;62.442349141535864;Inf;Inf
19.0;62.30389768840659;Inf;Inf
20.0;62.17781725995607;Inf;Inf
21.0;62.062138701326205;Inf;Inf
22.0;61.95532082752369;Inf;Inf
23.0;61.85613617203981;Inf;Inf
24.0;61.76359214000919;Inf;Inf
25.0;61.67687526692878;Inf;Inf
26.0;61.59531096271436;Inf;Inf
27.0;61.518333882676416;Inf;Inf
28.0;61.445465747332555;Inf;Inf
29.0;61.37629848363589;Inf;Inf
30.0;61.310481233567934;Inf;Inf
31.0;61.247710217369786;Inf;Inf
32.0;61.18772073387703;Inf;Inf
33.0;61.13028078156098;Inf;Inf
34.0;61.075185923282696;Inf;Inf
35.0;61.022255115890964;Inf;Inf
36.0;60.97132729587255;Inf;Inf
37.0;60.9222585629663;Inf;Inf
38.0;60.874919840797325;Inf;Inf
39.0;60.82919492110973;Inf;Inf
40.0;60.78497881878213;Inf;Inf
41.0;60.74217638039541;Inf;Inf
42.0;60.70070110101672;Inf;Inf
43.0;60.66047411302191;Inf;Inf
44.0;60.62142331788527;Inf;Inf
45.0;60.58348263742472;Inf;Inf
46.0;60.54659136537091;Inf;Inf
47.0;60.510693603599364;Inf;Inf
48.0;60.47573777013935;Inf;Inf
49.0;60.44167616829861;Inf;Inf
50.0;60.408464608041164;Inf;Inf
51.0;60.376062072216456;Inf;Inf
52.0;60.3444304214295;Inf;Inf
53.0;60.31353413232145;Inf;Inf
54.0;60.28334006483356;Inf;Inf
55.0;60.25381725469841;Inf;Inf
56.0;60.22493672795474;Inf;Inf
57.0;60.19667133474695;Inf;Inf
58.0;60.1689956000587;Inf;Inf
59.0;60.141885589357024;Inf;Inf
60.0;60.11531878739874;Inf;Inf
61.0;60.089273988686564;Inf;Inf
62.0;60.063731198258665;Inf;Inf
63.0;60.038671541667064;Inf;Inf
64.0;60.01407718314492;Inf;Inf
65.0;59.98993125108688;Inf;Inf
66.0;59.96621777007342;Inf;Inf
67.0;59.94292159876408;Inf;Inf
68.0;59.92002837306202;Inf;Inf
69.0;59.89752445402453;Inf;Inf
70.0;59.875396880052094;Inf;Inf
71.0;59.853633322942294;Inf;Inf
72.0;59.832222047440425;Inf;Inf
73.0;59.81115187395891;Inf;Inf
74.0;59.790412144172905;Inf;Inf
75.0;59.769992689230705;Inf;Inf
76.0;59.749883800344115;Inf;Inf
77.0;59.730076201548854;Inf;Inf
78.0;59.710561024446186;Inf;Inf
79.0;59.69132978475512;Inf;Inf
80.0;59.67237436052305;Inf;Inf
81.0;59.65368697185511;Inf;Inf
82.0;59.63526016203819;Inf;Inf
83.0;59.61708677994541;Inf;Inf
84.0;59.599159963619464;Inf;Inf
85.0;59.5814731249406;Inf;Inf
86.0;59.56401993529463;Inf;Inf
87.0;59.546794312164835;Inf;Inf
88.0;59.52979040657597;Inf;Inf
89.0;59.513002591327016;Inf;Inf
90.0;59.49642544995432;Inf;Inf
91.0;59.48005376637124;Inf;Inf
92.0;59.46388251513478;Inf;Inf
93.0;59.447906852295034;Inf;Inf
94.0;59.432122106785926;Inf;Inf
95.0;59.416523772319024;Inf;Inf
96.0;59.40110749974598;Inf;Inf
97.0;59.385869089857295;Inf;Inf
98.0;59.370804486587865;Inf;Inf
99.0;59.35590977060282;Inf;Inf
100.0;59.34118115323716;Inf;Inf
101.0;59.326614970766876;Inf;Inf
102.0;59.31220767899033;Inf;Inf
103.0;59.29795584809905;Inf;Inf
104.0;59.28385615782057;Inf;Inf
105.0;59.269905392815694;Inf;Inf
106.0;59.25610043831422;Inf;Inf
107.0;59.242438275975275;Inf;Inf
108.0;59.22891597995751;Inf;Inf
109.0;59.21553071318746;Inf;Inf
110.0;59.20227972381344;Inf;Inf
111.0;59.189160341834906;Inf;Inf
112.0;59.17616997589564;Inf;Inf
113.0;59.163306110233385;Inf;Inf
114.0;59.150566301774326;Inf;Inf
115.0;59.13794817736672;Inf;Inf
116.0;59.12544943114382;Inf;Inf
117.0;59.113067822010116;Inf;Inf
118.0;59.100801171243404;Inf;Inf
119.0;59.088647360207;Inf;Inf
120.0;59.076604328165125;Inf;Inf
121.0;59.06467007019711;Inf;Inf
122.0;59.05284263520403;Inf;Inf
123.0;59.04112012400363;Inf;Inf
124.0;59.02950068750853;Inf;Inf
125.0;59.017982524983644;Inf;Inf
126.0;59.00656388237825;Inf;Inf
127.0;58.995243050729755;Inf;Inf
128.0;58.98401836463448;Inf;Inf
129.0;58.97288820078289;Inf;Inf
130.0;58.961850976555844;Inf;Inf
131.0;58.95090514867846;Inf;Inf
132.0;58.940049211929306;Inf;Inf
133.0;58.92928169790229;Inf;Inf
134.0;58.9186011738177;Inf;Inf
135.0;58.908006241381266;Inf;Inf
136.0;58.897495535688726;Inf;Inf
137.0;58.88706772417266;Inf;Inf
138.0;58.87672150559124;Inf;Inf
139.0;58.8664556090556;Inf;Inf
140.0;58.85626879309502;Inf;Inf
141.0;58.84615984475738;Inf;Inf
142.0;58.83612757874409;Inf;Inf
143.0;58.82617083657708;Inf;Inf
144.0;58.81628848579713;Inf;Inf
145.0;58.80647941919205;Inf;Inf
146.0;58.79674255405292;Inf;Inf
147.0;58.787076831457206;Inf;Inf
148.0;58.777481215578966;Inf;Inf
149.0;58.76795469302259;Inf;Inf
150.0;58.758496272181034;Inf;Inf
151.0;58.749104982616565;Inf;Inf
152.0;58.73977987446359;Inf;Inf
153.0;58.73052001785205;Inf;Inf
154.0;58.72132450235086;Inf;Inf
155.0;58.71219243643115;Inf;Inf
156.0;58.70312294694666;Inf;Inf
157.0;58.69411517863344;Inf;Inf
158.0;58.68516829362491;Inf;Inf
159.0;58.67628147098421;Inf;Inf
160.0;58.66745390625152;Inf;Inf
161.0;58.65868481100726;Inf;Inf
162.0;58.649973412448404;Inf;Inf
163.0;58.64131895297994;Inf;Inf
164.0;58.63272068981843;Inf;Inf
165.0;58.624177894609396;Inf;Inf
166.0;58.615689853056345;Inf;Inf
167.0;58.60725586456186;Inf;Inf
168.0;58.59887524187982;Inf;Inf
169.0;58.59054731077891;Inf;Inf
170.0;58.58227140971645;Inf;Inf
171.0;58.57404688952241;Inf;Inf
172.0;58.56587311309313;Inf;Inf
173.0;58.55774945509469;Inf;Inf
174.0;58.54967530167481;Inf;Inf
175.0;58.54165005018418;Inf;Inf
176.0;58.533673108905546;Inf;Inf
177.0;58.52574389679143;Inf;Inf
178.0;58.51786184320922;Inf;Inf
179.0;58.5100263876943;Inf;Inf
180.0;58.50223697970993;Inf;Inf
181.0;58.49449307841476;Inf;Inf
182.0;58.48679415243627;Inf;Inf
183.0;58.479139679651716;Inf;Inf
184.0;58.47152914697464;Inf;Inf
185.0;58.463962050147956;Inf;Inf
186.0;58.45643789354265;Inf;Inf
187.0;58.448956189962296;Inf;Inf
188.0;58.44151646045297;Inf;Inf
189.0;58.434118234118806;Inf;Inf
190.0;58.42676104794212;Inf;Inf
191.0;58.419444446608956;Inf;Inf
192.0;58.4121679823394;Inf;Inf
193.0;58.40493121472222;Inf;Inf
194.0;58.39773371055447;Inf;Inf
195.0;58.39057504368505;Inf;Inf
196.0;58.38345479486258;Inf;Inf
197.0;58.37637255158765;Inf;Inf
198.0;58.36932790796836;Inf;Inf
199.0;58.362320464580364;Inf;Inf
200.0;58.35534982833036;Inf;Inf
201.0;58.34841561232279;Inf;Inf
202.0;58.341517435730594;Inf;Inf
203.0;58.33465492366915;Inf;Inf
204.0;58.327827707073155;Inf;Inf
205.0;58.32103542257701;Inf;Inf
206.0;58.31427771239831;Inf;Inf
207.0;58.307554224223765;Inf;Inf
208.0;58.30086461109879;Inf;Inf
209.0;58.29420853131909;Inf;Inf
210.0;58.28758564832583;Inf;Inf
211.0;58.280995630602455;Inf;Inf
212.0;58.27443815157478;Inf;Inf
213.0;58.267912889513106;Inf;Inf
214.0;58.261419527437454;Inf;Inf
215.0;58.25495775302405;Inf;Inf
216.0;58.24852725851469;Inf;Inf
217.0;58.24212774062859;Inf;Inf
218.0;58.23575890047578;Inf;Inf
219.0;58.22942044347281;Inf;Inf
220.0;58.22311207926063;Inf;Inf
221.0;58.216833521624004;Inf;Inf
222.0;58.21058448841337;Inf;Inf
223.0;58.20436470146804;Inf;Inf
224.0;58.198173886541426;Inf;Inf
225.0;58.192011773228145;Inf;Inf
226.0;58.185878094892516;Inf;Inf
227.0;58.17977258859891;Inf;Inf
228.0;58.173694995043725;Inf;Inf
229.0;58.16764505848868;Inf;Inf
230.0;58.16162252669592;Inf;Inf
231.0;58.155627150864376;Inf;Inf
232.0;58.1496586855678;Inf;Inf
233.0;58.14371688869374;Inf;Inf
234.0;58.137801521384496;Inf;Inf
235.0;58.13191234797894;Inf;Inf
236.0;58.12604913595578;Inf;Inf
237.0;58.12021165587797;Inf;Inf
238.0;58.11439968133854;Inf;Inf
239.0;58.108612988907545;Inf;Inf
240.0;58.10285135808007;Inf;Inf
241.0;58.0971145712253;Inf;Inf
242.0;58.091402413536834;Inf;Inf
243.0;58.08571467298444;Inf;Inf
244.0;58.08005114026577;Inf;Inf
245.0;58.07441160876037;Inf;Inf
246.0;58.068795874483776;Inf;Inf
247.0;58.06320373604302;Inf;Inf
248.0;58.05763499459292;Inf;Inf
249.0;58.05208945379309;Inf;Inf
250.0;58.04656691976641;Inf;Inf
251.0;58.04106720105772;Inf;Inf
252.0;58.03559010859382;Inf;Inf
253.0;58.03013545564418;Inf;Inf
254.0;58.02470305778226;Inf;Inf
255.0;58.01929273284783;Inf;Inf
256.0;58.01390430090995;Inf;Inf
257.0;58.00853758423092;Inf;Inf
258.0;58.003192407230785;Inf;Inf
259.0;57.9978685964522;Inf;Inf
260.0;57.99256598052696;Inf;Inf
261.0;57.98728439014193;Inf;Inf
262.0;57.982023658007016;Inf;Inf
263.0;57.97678361882256;Inf;Inf
264.0;57.97156410924789;Inf;Inf
265.0;57.96636496787104;Inf;Inf
266.0;57.961186035177874;Inf;Inf
267.0;57.956027153522754;Inf;Inf
268.0;57.950888167099514;Inf;Inf
269.0;57.94576892191289;Inf;Inf
270.0;57.94066926575055;Inf;Inf
271.0;57.93558904815579;Inf;Inf
272.0;57.93052812040051;Inf;Inf
273.0;57.9254863354588;Inf;Inf
274.0;57.920463547981356;Inf;Inf
275.0;57.915459614269764;Inf;Inf
276.0;57.91047439225185;Inf;Inf
277.0;57.90550774145698;Inf;Inf
278.0;57.90055952299237;Inf;Inf
279.0;57.89562959951939;Inf;Inf
280.0;57.89071783523041;Inf;Inf
281.0;57.8858240958264;Inf;Inf
282.0;57.88094824849422;Inf;Inf
283.0;57.87609016188504;Inf;Inf
284.0;57.87124970609312;Inf;Inf
285.0;57.86642675263437;Inf;Inf
286.0;57.86162117442598;Inf;Inf
287.0;57.85683284576582;Inf;Inf
288.0;57.85206164231275;Inf;Inf
289.0;57.84730744106708;Inf;Inf
290.0;57.84257012035109;Inf;Inf
291.0;57.8378495597904;Inf;Inf
292.0;57.83314564029524;Inf;Inf
293.0;57.82845824404235;Inf;Inf
294.0;57.82378725445712;Inf;Inf
295.0;57.819132556195974;Inf;Inf
296.0;57.81449403512897;Inf;Inf
297.0;57.80987157832302;Inf;Inf
298.0;57.80526507402513;Inf;Inf
299.0;57.80067441164594;Inf;Inf
300.0;57.79609948174389;Inf;Inf
301.0;57.791540176009;Inf;Inf
302.0;57.78699638724765;Inf;Inf
303.0;57.78246800936716;Inf;Inf
304.0;57.77795493736083;Inf;Inf
305.0;57.773457067293016;Inf;Inf
306.0;57.76897429628486;Inf;Inf
307.0;57.7645065224996;Inf;Inf
308.0;57.76005364512922;Inf;Inf
309.0;57.75561556437982;Inf;Inf
310.0;57.75119218145878;Inf;Inf
311.0;57.746783398560865;Inf;Inf
312.0;57.742389118855556;Inf;Inf
313.0;57.73800924647372;Inf;Inf
314.0;57.733643686495405;Inf;Inf
315.0;57.729292344936844;Inf;Inf
316.0;57.7249551287384;Inf;Inf
317.0;57.720631945752714;Inf;Inf
318.0;57.71632270473249;Inf;Inf
319.0;57.71202731531897;Inf;Inf
320.0;57.70774568803032;Inf;Inf
321.0;57.70347773425046;Inf;Inf
322.0;57.699223366217865;Inf;Inf
323.0;57.694982497014635;Inf;Inf
324.0;57.69075504055559;Inf;Inf
325.0;57.68654091157801;Inf;Inf
326.0;57.682340025630644;Inf;Inf
327.0;57.67815229906399;Inf;Inf
328.0;57.67397764901976;Inf;Inf
329.0;57.669815993421196;Inf;Inf
330.0;57.66566725096322;Inf;Inf
331.0;57.661531341102766;Inf;Inf
332.0;57.65740818404913;Inf;Inf
