IDs:;model_05_000_uM
Concentration [uM]:;05.000
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
0.0;72.0;Inf;Inf
1.0;72.0;Inf;Inf
2.0;72.0;Inf;Inf
3.0;70.11885206095104;Inf;Inf
4.0;66.93691006874195;Inf;Inf
5.0;64.7798186910458;Inf;Inf
6.0;63.57013844950139;Inf;Inf
7.0;62.842117183005115;Inf;Inf
8.0;62.33894416820192;Inf;Inf
9.0;61.95839043647739;Inf;Inf
10.0;61.653734981996166;Inf;Inf
11.0;61.40032709970556;Inf;Inf
12.0;61.18371295920141;Inf;Inf
13.0;60.99473683974447;Inf;Inf
14.0;60.82725097543711;Inf;Inf
15.0;60.676935908006755;Inf;Inf
16.0;60.54064492903319;Inf;Inf
17.0;60.41601698923796;Inf;Inf
18.0;60.30123654602761;Inf;Inf
19.0;60.194878332911394;Inf;Inf
20.0;60.09580349239046;Inf;Inf
21.0;60.00308799562477;Inf;Inf
22.0;59.91597203953296;Inf;Inf
23.0;59.8338234697749;Inf;Inf
24.0;59.75611082000067;Inf;Inf
25.0;59.68238309175387;Inf;Inf
26.0;59.61225435330288;Inf;Inf
27.0;59.545391844803405;Inf;Inf
28.0;59.481506675524784;Inf;Inf
29.0;59.42034646497527;Inf;Inf
30.0;59.36168946099479;Inf;Inf
31.0;59.30533979350113;Inf;Inf
32.0;59.25112361104547;Inf;Inf
33.0;59.19888591056435;Inf;Inf
34.0;59.14848791651739;Inf;Inf
35.0;59.099804899195654;Inf;Inf
36.0;59.05272434691086;Inf;Inf
37.0;59.007144425467374;Inf;Inf
38.0;58.962972672477335;Inf;Inf
39.0;58.9201248849016;Inf;Inf
40.0;58.87852416654554;Inf;Inf
41.0;58.83810010872754;Inf;Inf
42.0;58.79878808242036;Inf;Inf
43.0;58.76052862417704;Inf;Inf
44.0;58.7232669013389;Inf;Inf
45.0;58.68695224457017;Inf;Inf
46.0;58.65153773781392;Inf;Inf
47.0;58.61697985742038;Inf;Inf
48.0;58.583238153548024;Inf;Inf
49.0;58.55027496803971;Inf;Inf
50.0;58.51805518388237;Inf;Inf
51.0;58.48654600210591;Inf;Inf
52.0;58.45571674259802;Inf;Inf
53.0;58.425538665826615;Inf;Inf
54.0;58.39598481289463;Inf;Inf
55.0;58.36702986171346;Inf;Inf
56.0;58.3386499973867;Inf;Inf
57.0;58.31082279515459;Inf;Inf
58.0;58.28352711446775;Inf;Inf
59.0;58.25674300294617;Inf;Inf
60.0;58.23045160913774;Inf;Inf
61.0;58.20463510312762;Inf;Inf
62.0;58.17927660416666;Inf;Inf
63.0;58.154360114588066;Inf;Inf
64.0;58.129870459368455;Inf;Inf
65.0;58.10579323076538;Inf;Inf
66.0;58.08211473752871;Inf;Inf
67.0;58.058821958239925;Inf;Inf
68.0;58.03590249838419;Inf;Inf
69.0;58.013344550802486;Inf;Inf
70.0;57.99113685920992;Inf;Inf
71.0;57.969268684499426;Inf;Inf
72.0;57.94772977358009;Inf;Inf
73.0;57.92651033052452;Inf;Inf
74.0;57.90560098982369;Inf;Inf
75.0;57.88499279156673;Inf;Inf
76.0;57.86467715838259;Inf;Inf
77.0;57.84464587399525;Inf;Inf
78.0;57.82489106325929;Inf;Inf
79.0;57.80540517355482;Inf;Inf
80.0;57.78618095743234;Inf;Inf
81.0;57.76721145640826;Inf;Inf
82.0;57.748489985820704;Inf;Inf
83.0;57.73001012066353;Inf;Inf
84.0;57.71176568232393;Inf;Inf
85.0;57.69375072615517;Inf;Inf
86.0;57.6759595298222;Inf;Inf
87.0;57.65838658236344;Inf;Inf
88.0;57.641026573916456;Inf;Inf
89.0;57.62387438605975;Inf;Inf
90.0;57.606925082727024;Inf;Inf
91.0;57.59017390165361;Inf;Inf
92.0;57.573616246318146;Inf;Inf
93.0;57.55724767834554;Inf;Inf
94.0;57.54106391033994;Inf;Inf
95.0;57.52506079911876;Inf;Inf
96.0;57.509234339321196;Inf;Inf
97.0;57.49358065736673;Inf;Inf
98.0;57.47809600574076;Inf;Inf
99.0;57.46277675758648;Inf;Inf
100.0;57.44761940158326;Inf;Inf
101.0;57.43262053709404;Inf;Inf
102.0;57.417776869564314;Inf;Inf
103.0;57.403085206157876;Inf;Inf
104.0;57.38854245161426;Inf;Inf
105.0;57.374145604315025;Inf;Inf
106.0;57.35989175254596;Inf;Inf
107.0;57.34577807094405;Inf;Inf
108.0;57.3318018171178;Inf;Inf
109.0;57.317960328431624;Inf;Inf
110.0;57.304251018943994;Inf;Inf
111.0;57.29067137649126;Inf;Inf
112.0;57.27721895990876;Inf;Inf
113.0;57.263891396381204;Inf;Inf
114.0;57.25068637891562;Inf;Inf
115.0;57.23760166392998;Inf;Inf
116.0;57.2246350689511;Inf;Inf
117.0;57.21178447041603;Inf;Inf
118.0;57.19904780157137;Inf;Inf
119.0;57.18642305046544;Inf;Inf
120.0;57.17390825802822;Inf;Inf
121.0;57.16150151623462;Inf;Inf
122.0;57.14920096634686;Inf;Inf
123.0;57.137004797231704;Inf;Inf
124.0;57.12491124374897;Inf;Inf
125.0;57.11291858520747;Inf;Inf
126.0;57.10102514388538;Inf;Inf
127.0;57.08922928361154;Inf;Inf
128.0;57.07752940840469;Inf;Inf
129.0;57.06592396116817;Inf;Inf
130.0;57.05441142243698;Inf;Inf
131.0;57.04299030917495;Inf;Inf
132.0;57.03165917361951;Inf;Inf
133.0;57.02041660217203;Inf;Inf
134.0;57.009261214331225;Inf;Inf
135.0;56.99819166166803;Inf;Inf
136.0;56.9872066268397;Inf;Inf
137.0;56.9763048226416;Inf;Inf
138.0;56.96548499109482;Inf;Inf
139.0;56.95474590256803;Inf;Inf
140.0;56.94408635493209;Inf;Inf
141.0;56.933505172745875;Inf;Inf
142.0;56.92300120647214;Inf;Inf
143.0;56.91257333172173;Inf;Inf
144.0;56.9022204485254;Inf;Inf
145.0;56.89194148063161;Inf;Inf
146.0;56.88173537482944;Inf;Inf
147.0;56.87160110029553;Inf;Inf
148.0;56.86153764796393;Inf;Inf
149.0;56.851544029917946;Inf;Inf
150.0;56.84161927880317;Inf;Inf
151.0;56.8317624472606;Inf;Inf
152.0;56.82197260737933;Inf;Inf
153.0;56.812248850167606;Inf;Inf
154.0;56.80259028504204;Inf;Inf
155.0;56.79299603933355;Inf;Inf
156.0;56.78346525781019;Inf;Inf
157.0;56.77399710221544;Inf;Inf
158.0;56.7645907508218;Inf;Inf
159.0;56.75524539799896;Inf;Inf
160.0;56.745960253796;Inf;Inf
161.0;56.7367345435369;Inf;Inf
162.0;56.72756750742929;Inf;Inf
163.0;56.71845840018535;Inf;Inf
164.0;56.7094064906549;Inf;Inf
165.0;56.700411061469964;Inf;Inf
166.0;56.69147140870035;Inf;Inf
167.0;56.6825868415201;Inf;Inf
168.0;56.67375668188401;Inf;Inf
169.0;56.664980264214236;Inf;Inf
170.0;56.65625693509637;Inf;Inf
171.0;56.647586052984785;Inf;Inf
172.0;56.63896698791668;Inf;Inf
173.0;56.630399121234944;Inf;Inf
174.0;56.621881845319;Inf;Inf
175.0;56.61341456332382;Inf;Inf
176.0;56.6049966889265;Inf;Inf
177.0;56.59662764608018;Inf;Inf
178.0;56.588306868775334;Inf;Inf
179.0;56.58003380080767;Inf;Inf
180.0;56.57180789555298;Inf;Inf
181.0;56.56362861574816;Inf;Inf
182.0;56.555495433278644;Inf;Inf
183.0;56.54740782897174;Inf;Inf
184.0;56.53936529239578;Inf;Inf
185.0;56.5313673216649;Inf;Inf
186.0;56.52341342324925;Inf;Inf
187.0;56.515503111790395;Inf;Inf
188.0;56.50763590992182;Inf;Inf
189.0;56.49981134809432;Inf;Inf
190.0;56.492028964406195;Inf;Inf
191.0;56.48428830443792;Inf;Inf
192.0;56.47658892109132;Inf;Inf
193.0;56.4689303744331;Inf;Inf
194.0;56.461312231542436;Inf;Inf
195.0;56.4537340663626;Inf;Inf
196.0;56.446195459556606;Inf;Inf
197.0;56.4386959983665;Inf;Inf
198.0;56.43123527647633;Inf;Inf
199.0;56.4238128938788;Inf;Inf
200.0;56.41642845674513;Inf;Inf
201.0;56.40908157729854;Inf;Inf
202.0;56.40177187369062;Inf;Inf
203.0;56.39449896988115;Inf;Inf
204.0;56.38726249552077;Inf;Inf
205.0;56.38006208583664;Inf;Inf
206.0;56.37289738152099;Inf;Inf
207.0;56.36576802862237;Inf;Inf
208.0;56.35867367843974;Inf;Inf
209.0;56.35161398741893;Inf;Inf
210.0;56.34458861705183;Inf;Inf
211.0;56.33759723377805;Inf;Inf
212.0;56.330639508888765;Inf;Inf
213.0;56.3237151184331;Inf;Inf
214.0;56.316823743126676;Inf;Inf
215.0;56.309965068262265;Inf;Inf
216.0;56.30313878362278;Inf;Inf
217.0;56.296344583396056;Inf;Inf
218.0;56.28958216609191;Inf;Inf
219.0;56.28285123446089;Inf;Inf
220.0;56.2761514954152;Inf;Inf
221.0;56.269482659951144;Inf;Inf
222.0;56.26284444307367;Inf;Inf
223.0;56.25623656372247;Inf;Inf
224.0;56.24965874469978;Inf;Inf
225.0;56.243110712599965;Inf;Inf
226.0;56.23659219774048;Inf;Inf
227.0;56.230102934094624;Inf;Inf
228.0;56.223642659225696;Inf;Inf
229.0;56.21721111422255;Inf;Inf
230.0;56.21080804363674;Inf;Inf
231.0;56.20443319542103;Inf;Inf
232.0;56.19808632086912;Inf;Inf
233.0;56.19176717455694;Inf;Inf
234.0;56.18547551428495;Inf;Inf
235.0;56.17921110102201;Inf;Inf
236.0;56.172973698850114;Inf;Inf
237.0;56.16676307491073;Inf;Inf
238.0;56.16057899935195;Inf;Inf
239.0;56.15442124527685;Inf;Inf
240.0;56.14828958869318;Inf;Inf
241.0;56.142183808463805;Inf;Inf
242.0;56.1361036862584;Inf;Inf
243.0;56.13004900650612;Inf;Inf
244.0;56.124019556349175;Inf;Inf
245.0;56.11801512559753;Inf;Inf
246.0;56.112035506684485;Inf;Inf
247.0;56.106080494623015;Inf;Inf
248.0;56.10014988696332;Inf;Inf
249.0;56.09424348375102;Inf;Inf
250.0;56.0883610874863;Inf;Inf
251.0;56.08250250308376;Inf;Inf
252.0;56.07666753783331;Inf;Inf
253.0;56.07085600136165;Inf;Inf
254.0;56.06506770559464;Inf;Inf
255.0;56.059302464720375;Inf;Inf
256.0;56.05356009515297;Inf;Inf
257.0;56.04784041549721;Inf;Inf
258.0;56.04214324651371;Inf;Inf
259.0;56.03646841108489;Inf;Inf
260.0;56.030815734181544;Inf;Inf
261.0;56.02518504283019;Inf;Inf
262.0;56.019576166080874;Inf;Inf
263.0;56.01398893497577;Inf;Inf
264.0;56.00842318251824;Inf;Inf
265.0;56.00287874364264;Inf;Inf
266.0;55.9973554551846;Inf;Inf
267.0;55.99185315585188;Inf;Inf
268.0;55.98637168619589;Inf;Inf
269.0;55.980910888583544;Inf;Inf
270.0;55.975470607169896;Inf;Inf
271.0;55.9700506878711;Inf;Inf
272.0;55.96465097833795;Inf;Inf
273.0;55.95927132792994;Inf;Inf
274.0;55.953911587689724;Inf;Inf
275.0;55.948571610318204;Inf;Inf
276.0;55.94325125014986;Inf;Inf
277.0;55.93795036312874;Inf;Inf
278.0;55.932668806784804;Inf;Inf
279.0;55.92740644021065;Inf;Inf
280.0;55.92216312403877;Inf;Inf
281.0;55.91693872041916;Inf;Inf
282.0;55.911733092997345;Inf;Inf
283.0;55.906546106892755;Inf;Inf
284.0;55.90137762867758;Inf;Inf
285.0;55.896227526355965;Inf;Inf
286.0;55.891095669343564;Inf;Inf
287.0;55.8859819284474;Inf;Inf
288.0;55.880886175846236;Inf;Inf
289.0;55.87580828507116;Inf;Inf
290.0;55.870748130986556;Inf;Inf
291.0;55.865705589771395;Inf;Inf
292.0;55.86068053890089;Inf;Inf
293.0;55.8556728571284;Inf;Inf
294.0;55.85068242446776;Inf;Inf
295.0;55.84570912217581;Inf;Inf
296.0;55.84075283273525;Inf;Inf
297.0;55.83581343983779;Inf;Inf
298.0;55.83089082836772;Inf;Inf
299.0;55.825984884385484;Inf;Inf
300.0;55.82109549511175;Inf;Inf
301.0;55.81622254891179;Inf;Inf
302.0;55.811365935279866;Inf;Inf
303.0;55.80652554482414;Inf;Inf
304.0;55.80170126925171;Inf;Inf
305.0;55.79689300135391;Inf;Inf
306.0;55.792100634991904;Inf;Inf
307.0;55.787324065082416;Inf;Inf
308.0;55.78256318758381;Inf;Inf
309.0;55.777817899482386;Inf;Inf
310.0;55.773088098778764;Inf;Inf
311.0;55.76837368447466;Inf;Inf
312.0;55.76367455655988;Inf;Inf
313.0;55.75899061599927;Inf;Inf
314.0;55.75432176472023;Inf;Inf
315.0;55.74966790560024;Inf;Inf
316.0;55.74502894245456;Inf;Inf
317.0;55.74040478002417;Inf;Inf
318.0;55.735795323964005;Inf;Inf
319.0;55.731200480831205;Inf;Inf
320.0;55.72662015807366;Inf;Inf
321.0;55.7220542640187;Inf;Inf
322.0;55.717502707862;Inf;Inf
323.0;55.71296539965659;Inf;Inf
324.0;55.70844225030214;Inf;Inf
325.0;55.7039331715343;Inf;Inf
326.0;55.69943807591426;Inf;Inf
327.0;55.69495687681855;Inf;Inf
328.0;55.690489488428824;Inf;Inf
329.0;55.68603582572196;Inf;Inf
330.0;55.68159580446022;Inf;Inf
331.0;55.67716934118164;Inf;Inf
