IDs:;240814 04_240812A_elasticity2;04_DNAJB6_00_439_uM_expansion_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
5.025;70.8699740773575;26.832;17.199
6.009;72.9536435795395;26.864;17.232
7.001;72.0016357726075;26.872;17.236
7.987;71.9441396234002;26.868;17.234
8.979;73.772628387008;26.872;17.24
9.963;70.7272046020781;26.84;17.206
10.951;72.1199519254457;26.836;17.207
11.948;71.9736992751959;26.838;17.208
12.933;71.910194053837;26.841;17.21
13.919;71.824194053837;26.841;17.21
14.918;71.841194053837;26.841;17.21
15.916;72.0096889379878;26.843;17.212
16.891;72.3096889379878;26.842;17.212
17.878;71.8651839276347;26.845;17.214
18.881;71.9821839276347;26.845;17.214
19.887;71.873679022764;26.847;17.216
20.902;72.299679022764;26.846;17.216
21.889;72.2021742233624;26.848;17.218
22.88;72.1381742233623;26.849;17.218
23.875;72.2219218632081;26.85;17.219
24.873;74.267660457835;26.853;17.224
25.873;71.6801649409114;26.854;17.222
26.878;72.0521649409114;26.853;17.222
27.859;72.3189126861956;26.856;17.223
28.844;71.681660457835;26.857;17.224
29.841;72.0894082558281;26.857;17.225
30.848;72.0589039308685;26.86;17.227
31.849;72.2349039308685;26.86;17.227
32.84;72.0269039308685;26.86;17.227
33.82;71.8039039308685;26.861;17.227
34.83;72.3896518079124;26.861;17.228
35.828;72.2671560801732;26.858;17.226
36.823;71.8336518079124;26.861;17.228
37.825;72.5273997113031;26.861;17.229
38.811;71.9536518079124;26.862;17.228
39.812;71.8333997113031;26.863;17.229
40.821;72.0241396234002;26.869;17.234
41.811;72.0886435795395;26.866;17.232
42.831;71.9018955971183;26.864;17.231
43.835;71.6956435795395;26.866;17.232
44.824;71.8703915883006;26.868;17.233
45.823;72.3946435795395;26.865;17.232
46.824;72.2938876848364;26.869;17.235
47.815;72.2046357726076;26.87;17.236
48.815;71.984147641039;26.863;17.23
49.83;71.6296435795395;26.867;17.232
50.846;71.6588955971184;26.866;17.231
51.849;72.2881396234002;26.867;17.234
52.85;71.380147641039;26.864;17.23
53.842;72.1178876848364;26.869;17.235
54.866;72.1926357726076;26.872;17.236
55.874;71.794628387008;26.876;17.24
56.877;71.8996357726076;26.869;17.236
57.87;71.948628387008;26.877;17.24
58.861;71.5796357726076;26.87;17.236
59.861;72.2158731242423;26.88;17.243
60.863;71.478628387008;26.877;17.24
61.87;71.8843766064286;26.875;17.241
62.863;71.5366214226321;26.881;17.244
63.845;71.6308731242423;26.879;17.243
64.858;71.7121248521739;26.878;17.242
65.858;72.2363697473416;26.881;17.245
66.862;72.1301180983691;26.882;17.246
67.876;72.0413697473416;26.882;17.245
68.878;72.2958664757129;26.882;17.247
69.887;72.0156214226321;26.881;17.244
70.872;72.1628731242423;26.877;17.243
71.863;71.5118731242423;26.879;17.243
72.872;71.6666214226321;26.881;17.244
73.852;71.8946214226321;26.879;17.244
74.839;72.0448664757129;26.883;17.247
75.819;71.0933697473416;26.881;17.245
76.823;71.7203697473416;26.882;17.245
77.834;72.4458664757129;26.883;17.247
78.828;71.9576214226321;26.879;17.244
79.823;71.6831180983691;26.884;17.246
80.821;71.5063697473416;26.881;17.245
81.806;72.2383633093426;26.886;17.249
82.787;71.7116214226321;26.88;17.244
83.772;71.8553766064286;26.875;17.241
84.768;71.9201248521739;26.876;17.242
85.764;72.4971180983691;26.882;17.246
86.764;72.0381248521739;26.879;17.242
87.767;71.5918731242423;26.88;17.243
