Temperature for Cap.1 (Â°C)	Ratio 350 nm / 330 nm for Cap.1 	Temperature (refolding) for Cap.1 (Â°C)	Ratio 350 nm / 330 nm for Cap.1 	Temperature for Cap.1 (Â°C)	350 nm for Cap.1 	Temperature (refolding) for Cap.1 (Â°C)	350 nm for Cap.1 	Temperature for Cap.1 (Â°C)	330 nm for Cap.1 	Temperature (refolding) for Cap.1 (Â°C)	330 nm for Cap.1 	Temperature for Cap.2 (Â°C)	Ratio 350 nm / 330 nm for Cap.2 	Temperature (refolding) for Cap.2 (Â°C)	Ratio 350 nm / 330 nm for Cap.2 	Temperature for Cap.2 (Â°C)	350 nm for Cap.2 	Temperature (refolding) for Cap.2 (Â°C)	350 nm for Cap.2 	Temperature for Cap.2 (Â°C)	330 nm for Cap.2 	Temperature (refolding) for Cap.2 (Â°C)	330 nm for Cap.2 	Temperature for Cap.3 (Â°C)	Ratio 350 nm / 330 nm for Cap.3 	Temperature (refolding) for Cap.3 (Â°C)	Ratio 350 nm / 330 nm for Cap.3 	Temperature for Cap.3 (Â°C)	350 nm for Cap.3 	Temperature (refolding) for Cap.3 (Â°C)	350 nm for Cap.3 	Temperature for Cap.3 (Â°C)	330 nm for Cap.3 	Temperature (refolding) for Cap.3 (Â°C)	330 nm for Cap.3 	Temperature for Cap.4 (Â°C)	Ratio 350 nm / 330 nm for Cap.4 	Temperature (refolding) for Cap.4 (Â°C)	Ratio 350 nm / 330 nm for Cap.4 	Temperature for Cap.4 (Â°C)	350 nm for Cap.4 	Temperature (refolding) for Cap.4 (Â°C)	350 nm for Cap.4 	Temperature for Cap.4 (Â°C)	330 nm for Cap.4 	Temperature (refolding) for Cap.4 (Â°C)	330 nm for Cap.4 	Temperature for Cap.5 (Â°C)	Ratio 350 nm / 330 nm for Cap.5 	Temperature (refolding) for Cap.5 (Â°C)	Ratio 350 nm / 330 nm for Cap.5 	Temperature for Cap.5 (Â°C)	350 nm for Cap.5 	Temperature (refolding) for Cap.5 (Â°C)	350 nm for Cap.5 	Temperature for Cap.5 (Â°C)	330 nm for Cap.5 	Temperature (refolding) for Cap.5 (Â°C)	330 nm for Cap.5 	Temperature for Cap.6 (Â°C)	Ratio 350 nm / 330 nm for Cap.6 	Temperature (refolding) for Cap.6 (Â°C)	Ratio 350 nm / 330 nm for Cap.6 	Temperature for Cap.6 (Â°C)	350 nm for Cap.6 	Temperature (refolding) for Cap.6 (Â°C)	350 nm for Cap.6 	Temperature for Cap.6 (Â°C)	330 nm for Cap.6 	Temperature (refolding) for Cap.6 (Â°C)	330 nm for Cap.6 	Temperature for Cap.7 (Â°C)	Ratio 350 nm / 330 nm for Cap.7 	Temperature (refolding) for Cap.7 (Â°C)	Ratio 350 nm / 330 nm for Cap.7 	Temperature for Cap.7 (Â°C)	350 nm for Cap.7 	Temperature (refolding) for Cap.7 (Â°C)	350 nm for Cap.7 	Temperature for Cap.7 (Â°C)	330 nm for Cap.7 	Temperature (refolding) for Cap.7 (Â°C)	330 nm for Cap.7 	Temperature for Cap.8 (Â°C)	Ratio 350 nm / 330 nm for Cap.8 	Temperature (refolding) for Cap.8 (Â°C)	Ratio 350 nm / 330 nm for Cap.8 	Temperature for Cap.8 (Â°C)	350 nm for Cap.8 	Temperature (refolding) for Cap.8 (Â°C)	350 nm for Cap.8 	Temperature for Cap.8 (Â°C)	330 nm for Cap.8 	Temperature (refolding) for Cap.8 (Â°C)	330 nm for Cap.8 	Temperature for Cap.9 (Â°C)	Ratio 350 nm / 330 nm for Cap.9 	Temperature (refolding) for Cap.9 (Â°C)	Ratio 350 nm / 330 nm for Cap.9 	Temperature for Cap.9 (Â°C)	350 nm for Cap.9 	Temperature (refolding) for Cap.9 (Â°C)	350 nm for Cap.9 	Temperature for Cap.9 (Â°C)	330 nm for Cap.9 	Temperature (refolding) for Cap.9 (Â°C)	330 nm for Cap.9 	Temperature for Cap.10 (Â°C)	Ratio 350 nm / 330 nm for Cap.10 	Temperature (refolding) for Cap.10 (Â°C)	Ratio 350 nm / 330 nm for Cap.10 	Temperature for Cap.10 (Â°C)	350 nm for Cap.10 	Temperature (refolding) for Cap.10 (Â°C)	350 nm for Cap.10 	Temperature for Cap.10 (Â°C)	330 nm for Cap.10 	Temperature (refolding) for Cap.10 (Â°C)	330 nm for Cap.10 	Temperature for Cap.11 (Â°C)	Ratio 350 nm / 330 nm for Cap.11 	Temperature (refolding) for Cap.11 (Â°C)	Ratio 350 nm / 330 nm for Cap.11 	Temperature for Cap.11 (Â°C)	350 nm for Cap.11 	Temperature (refolding) for Cap.11 (Â°C)	350 nm for Cap.11 	Temperature for Cap.11 (Â°C)	330 nm for Cap.11 	Temperature (refolding) for Cap.11 (Â°C)	330 nm for Cap.11 	Temperature for Cap.12 (Â°C)	Ratio 350 nm / 330 nm for Cap.12 	Temperature (refolding) for Cap.12 (Â°C)	Ratio 350 nm / 330 nm for Cap.12 	Temperature for Cap.12 (Â°C)	350 nm for Cap.12 	Temperature (refolding) for Cap.12 (Â°C)	350 nm for Cap.12 	Temperature for Cap.12 (Â°C)	330 nm for Cap.12 	Temperature (refolding) for Cap.12 (Â°C)	330 nm for Cap.12 	Temperature for Cap.13 (Â°C)	Ratio 350 nm / 330 nm for Cap.13 	Temperature (refolding) for Cap.13 (Â°C)	Ratio 350 nm / 330 nm for Cap.13 	Temperature for Cap.13 (Â°C)	350 nm for Cap.13 	Temperature (refolding) for Cap.13 (Â°C)	350 nm for Cap.13 	Temperature for Cap.13 (Â°C)	330 nm for Cap.13 	Temperature (refolding) for Cap.13 (Â°C)	330 nm for Cap.13 	Temperature for Cap.14 (Â°C)	Ratio 350 nm / 330 nm for Cap.14 	Temperature (refolding) for Cap.14 (Â°C)	Ratio 350 nm / 330 nm for Cap.14 	Temperature for Cap.14 (Â°C)	350 nm for Cap.14 	Temperature (refolding) for Cap.14 (Â°C)	350 nm for Cap.14 	Temperature for Cap.14 (Â°C)	330 nm for Cap.14 	Temperature (refolding) for Cap.14 (Â°C)	330 nm for Cap.14 	Temperature for Cap.15 (Â°C)	Ratio 350 nm / 330 nm for Cap.15 	Temperature (refolding) for Cap.15 (Â°C)	Ratio 350 nm / 330 nm for Cap.15 	Temperature for Cap.15 (Â°C)	350 nm for Cap.15 	Temperature (refolding) for Cap.15 (Â°C)	350 nm for Cap.15 	Temperature for Cap.15 (Â°C)	330 nm for Cap.15 	Temperature (refolding) for Cap.15 (Â°C)	330 nm for Cap.15 	Temperature for Cap.16 (Â°C)	Ratio 350 nm / 330 nm for Cap.16 	Temperature (refolding) for Cap.16 (Â°C)	Ratio 350 nm / 330 nm for Cap.16 	Temperature for Cap.16 (Â°C)	350 nm for Cap.16 	Temperature (refolding) for Cap.16 (Â°C)	350 nm for Cap.16 	Temperature for Cap.16 (Â°C)	330 nm for Cap.16 	Temperature (refolding) for Cap.16 (Â°C)	330 nm for Cap.16 
20.00114	0.8001262	20.01596	0.8055111	20.00114	5089.942	20.01596	4399.718	20.00114	6361.424	20.01596	5462.02	20.00109	0.7929868	20.01554	0.7982329	20.00109	4786.381	20.01554	4168.808	20.00109	6035.89	20.01554	5222.546	20.00105	0.792974	20.01512	0.7980075	20.00105	4854.132	20.01512	4210.952	20.00105	6121.426	20.01512	5276.833	20.00101	0.7939479	20.0147	0.798996	20.00101	4868.708	20.0147	4061.489	20.00101	6132.276	20.0147	5083.241	20.00097	0.7977319	20.01428	0.8023107	20.00097	4730.392	20.01428	3844.913	20.00097	5929.801	20.01428	4792.299	20.00092	0.8004042	20.01386	0.8019517	20.00092	4718.771	20.01386	3739.637	20.00092	5895.486	20.01386	4663.169	20.00088	0.8177369	20.01344	0.8307726	20.00088	3854.229	20.01344	2838.198	20.00088	4713.287	20.01344	3416.335	20.00084	0.8534741	20.01302	0.8623831	20.00084	2717.257	20.01302	2056.411	20.00084	3183.76	20.01302	2384.568	20.0008	0.9119145	20.0126	0.9139426	20.0008	1996.922	20.0126	1614.897	20.0008	2189.813	20.0126	1766.956	20.00075	0.9420919	20.01218	0.9306636	20.00075	1783.982	20.01218	1495.491	20.00075	1893.639	20.01218	1606.908	20.00071	0.9467681	20.01176	0.9358425	20.00071	1779.157	20.01176	1483.745	20.00071	1879.19	20.01176	1585.464	20.00067	0.9526374	20.01134	0.9385557	20.00067	1824.321	20.01134	1543.403	20.00067	1915.021	20.01134	1644.445	20.00062	0.9508168	20.01092	0.9403397	20.00062	1797.447	20.01092	1516.228	20.00062	1890.424	20.01092	1612.426	20.00058	0.9745429	20.0105	0.959561	20.00058	1838.966	20.0105	1702.785	20.00058	1887.004	20.0105	1774.546	20.00054	0.9742645	20.01008	0.6097007	20.00054	1928.09	20.01008	17.07205	20.00054	1979.021	20.01008	28.0007	20.0005	0.9758214	20.00966	0.9588857	20.0005	2040.22	20.00966	1766.483	20.0005	2090.771	20.00966	1842.224
20.05378	0.8003775	20.08092	0.8035993	20.05378	5089.882	20.08092	4392.99	20.05378	6359.352	20.08092	5466.643	20.05431	0.793214	20.08138	0.7977661	20.05431	4784.301	20.08138	4160.229	20.05431	6031.539	20.08138	5214.848	20.05483	0.7933105	20.08184	0.7975254	20.05483	4854.871	20.08184	4205.122	20.05483	6119.761	20.08184	5272.711	20.05536	0.7943103	20.0823	0.7992468	20.05536	4866.065	20.0823	4056.315	20.05536	6126.151	20.0823	5075.172	20.05588	0.7959563	20.08276	0.8037328	20.05588	4722.124	20.08276	3846.173	20.05588	5932.642	20.08276	4785.388	20.05641	0.8032539	20.08323	0.8022667	20.05641	4728.365	20.08323	3737.737	20.05641	5886.513	20.08323	4658.971	20.05693	0.8177497	20.08368	0.8306167	20.05693	3855.736	20.08368	2831.661	20.05693	4715.057	20.08368	3409.106	20.05746	0.852313	20.08415	0.8620614	20.05746	2705.108	20.08415	2054.386	20.05746	3173.843	20.08415	2383.109	20.05799	0.9115254	20.08461	0.9116292	20.05799	1993.603	20.08461	1613.628	20.05799	2187.107	20.08461	1770.048	20.05851	0.9422057	20.08507	0.9316836	20.05851	1779.339	20.08507	1495.078	20.05851	1888.483	20.08507	1604.706	20.05904	0.9464251	20.08553	0.9342787	20.05904	1779.066	20.08553	1481.319	20.05904	1879.775	20.08553	1585.522	20.05956	0.952423	20.08599	0.9401014	20.05956	1819.813	20.08599	1545.105	20.05956	1910.719	20.08599	1643.552	20.06009	0.9486302	20.08645	0.9389227	20.06009	1799.209	20.08645	1512.1	20.06009	1896.639	20.08645	1610.463	20.06061	0.9743977	20.08691	0.958551	20.06061	1837.224	20.08691	1702.782	20.06061	1885.497	20.08691	1776.412	20.06114	0.9728287	20.08737	0.6192163	20.06114	1927.283	20.08737	17.33236	20.06114	1981.113	20.08737	27.9908	20.06166	0.9759971	20.08783	0.9606189	20.06166	2036.452	20.08783	1762.726	20.06166	2086.534	20.08783	1834.99
20.06825	0.7985303	20.10021	0.8064492	20.06825	5082.259	20.10021	4399.146	20.06825	6364.515	20.10021	5454.957	20.06795	0.7918615	20.09952	0.7971712	20.06795	4787.663	20.09952	4160.707	20.06795	6046.086	20.09952	5219.339	20.06764	0.792998	20.09883	0.797519	20.06764	4848.797	20.09883	4205.86	20.06764	6114.514	20.09883	5273.68	20.06734	0.7939343	20.09813	0.7990149	20.06734	4862.618	20.09813	4053.283	20.06734	6124.71	20.09813	5072.851	20.06704	0.7966312	20.09744	0.8042682	20.06704	4730.029	20.09744	3841.333	20.06704	5937.54	20.09744	4776.184	20.06673	0.8031738	20.09675	0.8023139	20.06673	4726.45	20.09675	3739.732	20.06673	5884.716	20.09675	4661.184	20.06643	0.816966	20.09606	0.8320674	20.06643	3853.694	20.09606	2834.928	20.06643	4717.081	20.09606	3407.089	20.06613	0.8491058	20.09537	0.8639988	20.06613	2704.767	20.09537	2058.726	20.06613	3185.43	20.09537	2382.788	20.06582	0.9138452	20.09468	0.9124556	20.06582	1994.242	20.09468	1614.028	20.06582	2182.253	20.09468	1768.884	20.06552	0.9400607	20.09399	0.9333574	20.06552	1780.384	20.09399	1494.634	20.06552	1893.903	20.09399	1601.352	20.06522	0.947075	20.0933	0.9352922	20.06522	1779.614	20.0933	1480.694	20.06522	1879.063	20.0933	1583.135	20.06492	0.953729	20.09261	0.9426081	20.06492	1825.214	20.09261	1544.89	20.06492	1913.766	20.09261	1638.953	20.06461	0.9493408	20.09192	0.9370468	20.06461	1796.01	20.09192	1510.344	20.06461	1891.85	20.09192	1611.813	20.06431	0.9738194	20.09122	0.9603795	20.06431	1834.6	20.09122	1704.363	20.06431	1883.922	20.09122	1774.677	20.06401	0.9739154	20.09053	0.6308443	20.06401	1927.58	20.09053	17.5255	20.06401	1979.207	20.09053	27.78102	20.0637	0.9742829	20.08984	0.9602378	20.0637	2035.356	20.08984	1763.603	20.0637	2089.081	20.08984	1836.631
20.16828	0.7994931	20.20953	0.8032972	20.16828	5074.092	20.20953	4385.531	20.16828	6346.636	20.20953	5459.413	20.16886	0.7928949	20.21014	0.7979189	20.16886	4782.29	20.21014	4164.49	20.16886	6031.43	20.21014	5219.19	20.16944	0.7936106	20.21074	0.7971612	20.16944	4847.206	20.21074	4198.896	20.16944	6107.789	20.21074	5267.311	20.17002	0.7943324	20.21135	0.7999447	20.17002	4863.364	20.21135	4053.722	20.17002	6122.581	20.21135	5067.503	20.1706	0.7960611	20.21195	0.8052214	20.1706	4712.656	20.21195	3841.258	20.1706	5919.967	20.21195	4770.437	20.17119	0.8030339	20.21256	0.8015345	20.17119	4724.788	20.21256	3727.375	20.17119	5883.672	20.21256	4650.298	20.17177	0.8167417	20.21317	0.8309361	20.17177	3846.193	20.21317	2827.87	20.17177	4709.191	20.21317	3403.234	20.17235	0.8534839	20.21377	0.8642747	20.17235	2705.662	20.21377	2049.798	20.17235	3170.138	20.21377	2371.697	20.17293	0.9138179	20.21438	0.9156008	20.17293	1986.793	20.21438	1610.975	20.17293	2174.168	20.21438	1759.473	20.17351	0.9434356	20.21498	0.9337964	20.17351	1777.326	20.21498	1494.973	20.17351	1883.887	20.21498	1600.962	20.1741	0.9460884	20.21559	0.9347497	20.1741	1773.427	20.21559	1479.315	20.1741	1874.483	20.21559	1582.579	20.17468	0.9503316	20.21619	0.9399815	20.17468	1817.613	20.21619	1543.615	20.17468	1912.609	20.21619	1642.176	20.17526	0.9486476	20.2168	0.9370887	20.17526	1794.899	20.2168	1505.644	20.17526	1892.061	20.2168	1606.726	20.17584	0.9757234	20.2174	0.9584199	20.17584	1833.11	20.2174	1698.149	20.17584	1878.719	20.2174	1771.822	20.17642	0.9708339	20.21801	0.6509012	20.17642	1918.139	20.21801	18.23633	20.17642	1975.764	20.21801	28.01706	20.177	0.9752092	20.21861	0.95919	20.177	2032.666	20.21861	1762.282	20.177	2084.339	20.21861	1837.26
20.18757	0.7994084	20.2349	0.8047429	20.18757	5082.092	20.2349	4381.466	20.18757	6357.316	20.2349	5444.554	20.1871	0.7920585	20.23394	0.7967325	20.1871	4777.391	20.23394	4152.65	20.1871	6031.614	20.23394	5212.1	20.18663	0.7925078	20.23299	0.7983571	20.18663	4848.329	20.23299	4207.49	20.18663	6117.705	20.23299	5270.186	20.18616	0.7931143	20.23203	0.7998077	20.18616	4855.283	20.23203	4052.069	20.18616	6121.795	20.23203	5066.304	20.18569	0.7963316	20.23108	0.8031047	20.18569	4719.868	20.23108	3829.475	20.18569	5927.013	20.23108	4768.339	20.18522	0.8009481	20.23012	0.8030692	20.18522	4709.941	20.23012	3732.458	20.18522	5880.458	20.23012	4647.741	20.18475	0.8190947	20.22917	0.8306975	20.18475	3850.703	20.22917	2819.27	20.18475	4701.169	20.22917	3393.859	20.18428	0.8541055	20.22821	0.8641935	20.18428	2704.069	20.22821	2048.963	20.18428	3165.966	20.22821	2370.954	20.18381	0.9121519	20.22725	0.9161535	20.18381	1988.049	20.22725	1612.632	20.18381	2179.515	20.22725	1760.22	20.18334	0.9453408	20.2263	0.9344462	20.18334	1781.179	20.2263	1493.252	20.18334	1884.166	20.2263	1598.007	20.18287	0.9457201	20.22534	0.9341409	20.18287	1776.489	20.22534	1479.668	20.18287	1878.452	20.22534	1583.988	20.18241	0.9512022	20.22439	0.9410426	20.18241	1820.641	20.22439	1543.018	20.18241	1914.042	20.22439	1639.69	20.18194	0.9541178	20.22343	0.9373524	20.18194	1796.904	20.22343	1508.775	20.18194	1883.314	20.22343	1609.613	20.18147	0.9730953	20.22248	0.9581223	20.18147	1832.981	20.22248	1694.53	20.18147	1883.661	20.22248	1768.594	20.181	0.9704873	20.22152	0.6370106	20.181	1918.551	20.22152	17.62958	20.181	1976.894	20.22152	27.6755	20.18053	0.9734947	20.22057	0.9578766	20.18053	2032.254	20.22057	1757.067	20.18053	2087.586	20.22057	1834.336
20.30576	0.7989291	20.37798	0.8045478	20.30576	5070.461	20.37798	4373.679	20.30576	6346.572	20.37798	5436.194	20.30655	0.7924592	20.37849	0.7984454	20.30655	4775.021	20.37849	4157.475	20.30655	6025.574	20.37849	5206.962	20.30735	0.7926431	20.37901	0.7978625	20.30735	4843.749	20.37901	4192.575	20.30735	6110.882	20.37901	5254.758	20.30815	0.7930417	20.37952	0.8001402	20.30815	4846.421	20.37952	4046.017	20.30815	6111.181	20.37952	5056.635	20.30895	0.7970427	20.38004	0.8047549	20.30895	4711.333	20.38004	3826.055	20.30895	5911.017	20.38004	4754.311	20.30975	0.8024818	20.38055	0.8034102	20.30975	4706.018	20.38055	3721.404	20.30975	5864.331	20.38055	4632.009	20.31055	0.8181936	20.38107	0.8304323	20.31055	3830.997	20.38107	2810.315	20.31055	4682.262	20.38107	3384.159	20.31135	0.8523461	20.38158	0.8640983	20.31135	2689.012	20.38158	2041.914	20.31135	3154.835	20.38158	2363.057	20.31215	0.910032	20.38209	0.9153041	20.31215	1977.483	20.38209	1606.227	20.31215	2172.982	20.38209	1754.857	20.31294	0.9412432	20.38261	0.9335698	20.31294	1769.883	20.38261	1488.435	20.31294	1880.368	20.38261	1594.347	20.31374	0.9442927	20.38312	0.9352777	20.31374	1770.47	20.38312	1474.27	20.31374	1874.916	20.38312	1576.291	20.31454	0.9512953	20.38363	0.9403553	20.31454	1814.926	20.38363	1538.038	20.31454	1907.847	20.38363	1635.593	20.31534	0.9483732	20.38415	0.9408765	20.31534	1791.216	20.38415	1506.59	20.31534	1888.725	20.38415	1601.262	20.31614	0.9729488	20.38466	0.9587601	20.31614	1826.531	20.38466	1689.381	20.31614	1877.315	20.38466	1762.047	20.31693	0.9737051	20.38518	0.6487956	20.31693	1918.153	20.38518	18.05182	20.31693	1969.953	20.38518	27.82358	20.31773	0.9731375	20.38569	0.958546	20.31773	2026.307	20.38569	1752.923	20.31773	2082.241	20.38569	1828.731
20.32871	0.7996529	20.40182	0.8061128	20.32871	5067.425	20.40182	4378.113	20.32871	6337.03	20.40182	5431.142	20.32812	0.793017	20.40086	0.7966713	20.32812	4774.528	20.40086	4145.472	20.32812	6020.713	20.40086	5203.491	20.32752	0.7925045	20.3999	0.7974508	20.32752	4835.302	20.3999	4191.455	20.32752	6101.293	20.3999	5256.067	20.32693	0.7940186	20.39894	0.8000543	20.32693	4856.659	20.39894	4040.688	20.32693	6116.556	20.39894	5050.518	20.32634	0.7962623	20.39798	0.8035101	20.32634	4706.662	20.39798	3820.99	20.32634	5910.944	20.39798	4755.373	20.32574	0.8013286	20.39702	0.8012501	20.32574	4706.425	20.39702	3714.929	20.32574	5873.277	20.39702	4636.416	20.32515	0.8194664	20.39606	0.832133	20.32515	3834.935	20.39606	2808.56	20.32515	4679.796	20.39606	3375.133	20.32455	0.8516915	20.3951	0.8644827	20.32455	2691.483	20.3951	2039.966	20.32455	3160.162	20.3951	2359.753	20.32396	0.9150739	20.39414	0.9166194	20.32396	1984.932	20.39414	1605.956	20.32396	2169.149	20.39414	1752.042	20.32336	0.9433632	20.39318	0.9336821	20.32336	1773.458	20.39318	1490.03	20.32336	1879.931	20.39318	1595.864	20.32277	0.9439835	20.39223	0.9305468	20.32277	1770.724	20.39223	1469.323	20.32277	1875.8	20.39223	1578.989	20.32218	0.9530442	20.39127	0.9376658	20.32218	1817.234	20.39127	1538.056	20.32218	1906.767	20.39127	1640.303	20.32158	0.9494913	20.39031	0.9388186	20.32158	1788.296	20.39031	1504.999	20.32158	1883.425	20.39031	1603.078	20.32099	0.9745809	20.38935	0.9595723	20.32099	1831.105	20.38935	1694.008	20.32099	1878.864	20.38935	1765.379	20.32039	0.9738924	20.38839	0.625975	20.32039	1918.167	20.38839	17.52727	20.32039	1969.589	20.38839	27.99996	20.3198	0.9729648	20.38743	0.958904	20.3198	2026.686	20.38743	1751.714	20.3198	2083	20.38743	1826.787
20.46769	0.7996238	20.52126	0.8053824	20.46769	5065.176	20.52126	4370.771	20.46769	6334.448	20.52126	5426.951	20.46843	0.7932742	20.52191	0.7965078	20.46843	4766.917	20.52191	4135.105	20.46843	6009.167	20.52191	5191.543	20.46916	0.7940499	20.52256	0.7972226	20.46916	4832.41	20.52256	4181.975	20.46916	6085.776	20.52256	5245.681	20.4699	0.7937374	20.52321	0.7997617	20.4699	4842.597	20.52321	4035.667	20.4699	6101.007	20.52321	5046.087	20.47064	0.7981834	20.52386	0.8049444	20.47064	4702.347	20.52386	3818.6	20.47064	5891.312	20.52386	4743.93	20.47137	0.8000793	20.5245	0.8015036	20.47137	4687.008	20.5245	3707.542	20.47137	5858.179	20.5245	4625.733	20.47211	0.8192315	20.52515	0.8307546	20.47211	3821.825	20.52515	2803.956	20.47211	4665.135	20.52515	3375.192	20.47284	0.8523839	20.5258	0.865549	20.47284	2675.076	20.5258	2034.753	20.47284	3138.347	20.5258	2350.824	20.47358	0.9134645	20.52645	0.9158502	20.47358	1971.68	20.52645	1601.885	20.47358	2158.464	20.52645	1749.069	20.47432	0.9404981	20.5271	0.9336832	20.47432	1764.141	20.5271	1484.336	20.47432	1875.751	20.5271	1589.764	20.47505	0.9458965	20.52774	0.9357594	20.47505	1768.724	20.52774	1469.305	20.47505	1869.892	20.52774	1570.174	20.47579	0.9498964	20.52839	0.9400585	20.47579	1811.713	20.52839	1537.132	20.47579	1907.274	20.52839	1635.145	20.47652	0.9485764	20.52904	0.9388816	20.47652	1786.16	20.52904	1501.681	20.47652	1882.99	20.52904	1599.435	20.47726	0.9733324	20.52969	0.9589323	20.47726	1824.363	20.52969	1687.16	20.47726	1874.347	20.52969	1759.415	20.47799	0.9711772	20.53033	0.6360185	20.47799	1910.492	20.53033	17.708	20.47799	1967.192	20.53033	27.84196	20.47873	0.9727397	20.53098	0.959625	20.47873	2018.707	20.53098	1749.194	20.47873	2075.28	20.53098	1822.79
20.48832	0.799329	20.54657	0.8053592	20.48832	5063.285	20.54657	4368.67	20.48832	6334.419	20.54657	5424.499	20.48783	0.7918892	20.54568	0.796734	20.48783	4760.449	20.54568	4138.635	20.48783	6011.508	20.54568	5194.5	20.48734	0.793435	20.54478	0.7974477	20.48734	4826.934	20.54478	4183.749	20.48734	6083.591	20.54478	5246.425	20.48685	0.7943349	20.54388	0.798326	20.48685	4842.044	20.54388	4029.965	20.48685	6095.721	20.54388	5048.019	20.48635	0.7982148	20.54299	0.803298	20.48635	4704.518	20.54299	3808.253	20.48635	5893.799	20.54299	4740.772	20.48586	0.8020938	20.54209	0.8022761	20.48586	4693.093	20.54209	3709.2	20.48586	5851.052	20.54209	4623.346	20.48537	0.8208545	20.54119	0.8338484	20.48537	3825.027	20.54119	2803.546	20.48537	4659.811	20.54119	3362.177	20.48488	0.8532266	20.5403	0.865897	20.48488	2678.15	20.5403	2034.387	20.48488	3138.85	20.5403	2349.457	20.48438	0.9132258	20.5394	0.9142148	20.48438	1974.061	20.5394	1599.879	20.48438	2161.635	20.5394	1750.003	20.48389	0.9410393	20.53851	0.9318682	20.48389	1762.715	20.53851	1482.391	20.48389	1873.157	20.53851	1590.774	20.4834	0.9456554	20.53761	0.9345487	20.4834	1764.992	20.53761	1470.395	20.4834	1866.422	20.53761	1573.374	20.48291	0.9538143	20.53671	0.9404152	20.48291	1810.411	20.53671	1536.395	20.48291	1898.075	20.53671	1633.741	20.48242	0.9510247	20.53582	0.9454355	20.48242	1786.665	20.53582	1507.045	20.48242	1878.674	20.53582	1594.022	20.48192	0.9727393	20.53492	0.9617651	20.48192	1822.826	20.53492	1688.577	20.48192	1873.911	20.53492	1755.707	20.48143	0.9719717	20.53402	0.633437	20.48143	1910.616	20.53402	17.65221	20.48143	1965.712	20.53402	27.86735	20.48094	0.9727054	20.53313	0.9602586	20.48094	2019.266	20.53313	1749.211	20.48094	2075.927	20.53313	1821.604
20.60578	0.8008977	20.66387	0.8048152	20.60578	5066.441	20.66387	4356.604	20.60578	6325.953	20.66387	5413.173	20.60656	0.7920181	20.66437	0.79656	20.60656	4751.499	20.66437	4132.862	20.60656	5999.231	20.66437	5188.388	20.60734	0.7922297	20.66488	0.7972788	20.60734	4815.983	20.66488	4175.377	20.60734	6079.024	20.66488	5237.036	20.60812	0.7945348	20.66538	0.7994585	20.60812	4836.394	20.66538	4023.144	20.60812	6087.076	20.66538	5032.336	20.6089	0.7979833	20.66589	0.8034406	20.6089	4689.821	20.66589	3805.638	20.6089	5877.092	20.66589	4736.676	20.60968	0.801227	20.66639	0.8040935	20.60968	4679.639	20.66639	3706.227	20.60968	5840.59	20.66639	4609.199	20.61046	0.8195535	20.6669	0.8323659	20.61046	3805.167	20.6669	2796.449	20.61046	4642.975	20.6669	3359.639	20.61123	0.8513364	20.6674	0.8637334	20.61123	2662.269	20.6674	2025.885	20.61123	3127.165	20.6674	2345.499	20.61201	0.9126801	20.66791	0.915454	20.61201	1963.55	20.66791	1598.115	20.61201	2151.411	20.66791	1745.708	20.61279	0.9420927	20.66841	0.9331588	20.61279	1761.972	20.66841	1480.533	20.61279	1870.275	20.66841	1586.582	20.61357	0.9468426	20.66892	0.9330175	20.61357	1758.627	20.66892	1466.254	20.61357	1857.359	20.66892	1571.519	20.61435	0.9487972	20.66942	0.9393845	20.61435	1800.65	20.66942	1534.674	20.61435	1897.824	20.66942	1633.702	20.61513	0.9504191	20.66993	0.9425461	20.61513	1783.222	20.66993	1501.296	20.61513	1876.248	20.66993	1592.809	20.61591	0.9746376	20.67043	0.9604025	20.61591	1818.272	20.67043	1684.095	20.61591	1865.588	20.67043	1753.53	20.61669	0.9730455	20.67094	0.6441903	20.61669	1906.292	20.67094	17.95856	20.61669	1959.098	20.67094	27.87772	20.61747	0.9713903	20.67144	0.9593387	20.61747	2014.287	20.67144	1743.357	20.61747	2073.612	20.67144	1817.248
