temperature (K)	full-length	temperature (K)	NTD	temperature (K)	CTD
293.33	-14.745	283.09	-20.6729	277.94	-29.063
294.44	-14.736	284.52	-20.5634	279.53	-29.338
295.65	-14.833	285.32	-20.3485	280.65	-29.26
296.51	-14.85	286.46	-20.6005	281.67	-29.322
297.67	-14.705	287.55	-20.3504	282.56	-29.458
298.54	-14.73	288.48	-20.4806	283.56	-29.412
299.45	-14.602	289.47	-20.3916	284.55	-29.544
300.49	-14.565	290.42	-20.3596	285.46	-29.656
301.42	-14.546	291.39	-20.1027	286.61	-29.559
302.3	-14.43	292.48	-20.1799	287.54	-29.667
303.46	-14.293	293.48	-20.0671	288.62	-29.435
304.43	-14.296	294.43	-20.0747	289.5	-29.635
305.65	-14.344	295.43	-20.3002	290.52	-29.599
306.55	-14.318	296.54	-20.1025	291.62	-29.607
307.59	-14.23	297.31	-19.8532	292.67	-29.591
308.53	-14.1	298.42	-19.964	293.57	-29.623
309.61	-14.14	299.32	-19.6224	294.59	-29.509
310.67	-14.171	300.47	-19.9996	295.44	-29.615
311.7	-14.119	301.4	-19.7998	296.42	-29.434
312.67	-13.934	302.37	-19.6211	297.32	-29.471
313.71	-13.98	303.4	-19.652	298.6	-29.384
314.44	-13.832	304.47	-19.4478	299.51	-29.388
315.45	-13.845	305.3	-19.4297	300.53	-29.26
316.34	-13.788	306.5	-19.373	301.42	-29.072
317.49	-13.786	307.29	-19.5318	302.57	-29.115
318.41	-13.581	308.4	-19.3233	303.46	-29.117
319.47	-13.675	309.35	-19.4785	304.59	-28.892
320.64	-13.458	310.43	-19.0002	305.41	-28.82
321.47	-13.243	311.41	-19.0947	306.48	-28.714
322.38	-13.285	312.22	-18.9856	307.57	-28.497
323.61	-13.028	313.28	-19.1534	308.64	-28.448
324.75	-12.991	314.38	-18.888	309.53	-28.356
325.27	-13.016	315.24	-18.7611	310.64	-28.216
326.36	-12.987	316.43	-18.8132	311.51	-27.934
327.42	-13.026	317.26	-18.7957	312.7	-27.704
328.43	-12.697	318.51	-18.7511	313.42	-27.571
329.67	-12.685	319.41	-18.69	314.56	-27.444
330.51	-12.74	320.5	-18.5416	315.61	-27.164
331.6	-12.437	321.31	-18.449	316.72	-26.888
332.5	-12.386	322.41	-18.3222	317.77	-26.539
333.29	-12.518	323.54	-18.2323	318.69	-26.206
334.28	-12.262	324.1	-18.2617	319.63	-25.986
335.83	-12.143	325.57	-18.1433	320.7	-25.593
336.53	-12.121	326.33	-18.1437	321.39	-25.277
337.56	-12.146	327.24	-17.9288	322.48	-24.796
338.54	-11.993	328.38	-17.5298	323.53	-24.124
339.31	-11.774	329.54	-17.5125	324.74	-23.783
340.58	-11.686	330.23	-17.4203	325.59	-23.323
341.57	-11.575	331.39	-17.1403	326.37	-22.92
342.44	-11.319	332.4	-16.6326	327.22	-22.528
343.32	-11.215	333.4	-16.6422	328.37	-21.737
344.46	-11.099	334.72	-16.1616	329.46	-21.192
345.36	-10.92	335.2	-16.0508	330.38	-20.649
346.64	-10.409	336.26	-15.4985	331.48	-20.121
347.66	-10.33	337.34	-15.104	332.36	-19.341
348.47	-10.033	338.4	-14.4431	333.42	-18.987
349.52	-9.7283	339.22	-13.7256	334.4	-18.264
350.6	-9.0966	340.42	-13.3221	335.62	-17.63
351.8	-8.8835	341.41	-12.7769	336.69	-16.969
352.48	-8.5216	342.33	-12.0917	337.38	-16.742
353.26	-8.2614	343.03	-11.0658	338.36	-16.144
353.93	-7.9371	344.28	-10.3605	339.48	-15.446
355.44	-7.6069	345.29	-9.53449	340.44	-15.014
356.47	-7.5561	346.51	-8.87311	341.34	-14.505
357.5	-7.1169	347.15	-8.70667	342.32	-14.224
358.27	-7.3143	348.08	-8.19331	343.44	-13.862
359.34	-6.9823	349.74	-7.76885	344.65	-13.405
360.84	-7.025	350.11	-7.24156	345.44	-13.131
361.43	-6.6864	351.56	-7.06769	346.65	-12.681
362.46	-6.6594	352.39	-6.71842	347.69	-12.524
363.27	-6.8236	353.29	-6.56399	348.4	-12.243
364.33	-6.6731	354.46	-6.477	349.32	-12.049
365.34	-6.7517	355.53	-6.24718	350.39	-11.802
366.47	-6.6664	356.4	-6.02397	351.46	-11.763
367.47	-6.6339	357.04	-5.98686	352.4	-11.513
368.08	-6.5245	358.29	-5.93133	353.37	-11.31
				354.46	-11.329
				355.4	-11.035
				356.39	-11.085
				357.73	-10.918
				358.63	-10.756
				359.85	-10.755
				360.32	-10.736
				361.24	-10.743
				362.23	-10.747
				363.45	-10.649
				364.35	-10.691
				365.4	-10.715
				366.38	-10.671
				367.53	-10.757
				367.93	-10.531
